"Group_name","IU_ID","IU_ID2"
"1","18630","ETH18630"
"2","46610","TZA46610"
"3","13915","COD13915"
"4","16424","GNQ16424"
"5","19069","ETH19069"
"6","18707","ETH18707"
"7","19184","ETH19184"
"8","54047","KEN54047"
"9","56007","SOM56007"
"10","2096","AGO02096"
"11","19084","ETH19084"
"12","18560","ETH18560"
"13","54230","KEN54230"
"14","37057","NGA37057"
"15","46579","TZA46579"
"16","12785","COG12785"
"17","53237","SDN53237"
"18","19082","ETH19082"
"19","49709","UGA49709"
"20","34274","NAM34274"
"21","18744","ETH18744"
"22","14318","COD14318"
"23","17440","ERI17440"
"24","15339","CIV15339"
"25","49728","UGA49728"
"26","49761","UGA49761"
"27","17446","ERI17446"
"28","52929","ZWE52929"
"29","49784","UGA49784"
"30","45415","SWZ45415"
"31","49710","UGA49710"
"32","7545","CMR07545"
"33","18855","ETH18855"
"34","27886","MDG27886"
"35","49796","UGA49796"
"36","27915","MDG27915"
"37","46527","TZA46527"
"38","9655","CAF09655"
"39","33106","MOZ33106"
"40","14207","COD14207"
"41","46612","TZA46612"
"42","14327","COD14327"
"43","27880","MDG27880"
"44","38125","RWA38125"
"45","49765","UGA49765"
"46","38138","RWA38138"
"47","49738","UGA49738"
"48","51896","TZZ51896"
"49","27840","MDG27840"
"50","49805","UGA49805"
"51","49816","UGA49816"
"52","54212","KEN54212"
"53","49707","UGA49707"
"54","45426","SWZ45426"
"55","7439","CMR07439"
"56","7427","CMR07427"
"57","7543","CMR07543"
"58","50878","ZMB50878"
"59","27866","MDG27866"
"60","27864","MDG27864"
"61","18555","ETH18555"
"62","21455","GHA21455"
"63","33188","MOZ33188"
"64","35321","NER35321"
"65","33236","MOZ33236"
"66","35334","NER35334"
"67","21379","GHA21379"
"68","5359","BFA05359"
"69","49811","UGA49811"
"70","36604","NGA36604"
"71","54058","KEN54058"
"72","46636","TZA46636"
"73","18651","ETH18651"
"74","33208","MOZ33208"
"75","13921","COD13921"
"76","15405","CIV15405"
"77","49746","UGA49746"
"78","49706","UGA49706"
"79","49730","UGA49730"
"80","49766","UGA49766"
"81","38114","RWA38114"
"82","18714","ETH18714"
"83","49754","UGA49754"
"84","49713","UGA49713"
"85","50884","ZMB50884"
"86","49733","UGA49733"
"87","27900","MDG27900"
"88","13880","COD13880"
"89","51901","TZZ51901"
"90","49767","UGA49767"
"91","27922","MDG27922"
"92","52940","ZWE52940"
"93","54013","KEN54013"
"94","28948","MWI28948"
"95","28950","MWI28950"
"96","54168","KEN54168"
"97","45405","SWZ45405"
"98","45408","SWZ45408"
"99","7482","CMR07482"
"100","7530","CMR07530"
"101","7435","CMR07435"
"102","7505","CMR07505"
"103","7475","CMR07475"
"104","7595","CMR07595"
"105","21593","GHA21593"
"106","19140","ETH19140"
"107","37090","NGA37090"
"108","19332","ETH19332"
"109","33136","MOZ33136"
"110","19149","ETH19149"
"111","33203","MOZ33203"
"112","23668","GNB23668"
"113","48689","TGO48689"
"114","18954","ETH18954"
"115","18866","ETH18866"
"116","36369","NGA36369"
"117","19122","ETH19122"
"118","18838","ETH18838"
"119","10735","TCD10735"
"120","49755","UGA49755"
"121","49768","UGA49768"
"122","49743","UGA49743"
"123","27856","MDG27856"
"124","49762","UGA49762"
"125","49782","UGA49782"
"126","38117","RWA38117"
"127","49729","UGA49729"
"128","49797","UGA49797"
"129","50889","ZMB50889"
"130","50839","ZMB50839"
"131","13882","COD13882"
"132","54220","KEN54220"
"133","28963","MWI28963"
"134","50882","ZMB50882"
"135","45422","SWZ45422"
"136","7528","CMR07528"
"137","7466","CMR07466"
"138","7429","CMR07429"
"139","7520","CMR07520"
"140","21453","GHA21453"
"141","18943","ETH18943"
"142","35336","NER35336"
"143","33248","MOZ33248"
"144","36890","NGA36890"
"145","49799","UGA49799"
"146","38112","RWA38112"
"147","27879","MDG27879"
"148","51899","TZZ51899"
"149","50879","ZMB50879"
"150","48677","TGO48677"
"151","7431","CMR07431"
"152","7588","CMR07588"
"153","36412","NGA36412"
"154","14036","COD14036"
"155","27901","MDG27901"
"156","49794","UGA49794"
"157","49727","UGA49727"
"158","6377","BDI06377"
"159","53179","ZMB53179"
"160","7586","CMR07586"
"161","27877","MDG27877"
"162","6414","BDI06414"
"163","6404","BDI06404"
"164","6408","BDI06408"
"165","38118","RWA38118"
"166","38120","RWA38120"
"167","6399","BDI06399"
"168","6386","BDI06386"
"169","6419","BDI06419"
"170","6385","BDI06385"
