"Group_name","IU_ID","IU_ID2"
"1","36997","NGA36997"
"2","7519","CMR07519"
"3","53276","SDN53276"
"4","18986","ETH18986"
"5","47651","GMB47651"
"6","46598","TZA46598"
"7","19304","ETH19304"
"8","23646","GNB23646"
"9","18864","ETH18864"
"10","27943","MDG27943"
"11","31039","MRT31039"
"12","38129","RWA38129"
"13","2177","AGO02177"
"14","54081","KEN54081"
"15","56002","SOM56002"
"16","14016","COD14016"
"17","47641","GMB47641"
"18","21393","GHA21393"
"19","14017","COD14017"
"20","46546","TZA46546"
"21","18531","ETH18531"
"22","23740","GNB23740"
"23","17440","ERI17440"
"24","15329","CIV15329"
"25","38137","RWA38137"
"26","49756","UGA49756"
"27","17446","ERI17446"
"28","52929","ZWE52929"
"29","49749","UGA49749"
"30","45432","SWZ45432"
"31","49710","UGA49710"
"32","7424","CMR07424"
"33","33254","MOZ33254"
"34","19257","ETH19257"
"35","36403","NGA36403"
"36","19322","ETH19322"
"37","46527","TZA46527"
"38","21411","GHA21411"
"39","33178","MOZ33178"
"40","44361","SSD44361"
"41","46641","TZA46641"
"42","44354","SSD44354"
"43","27923","MDG27923"
