"Group_name","IU_ID","IU_ID2"
"1","36997","NGA36997"
"2","7519","CMR07519"
"3","53276","SDN53276"
"4","18986","ETH18986"
"5","47651","GMB47651"
"6","46598","TZA46598"
"7","19304","ETH19304"
"8","23646","GNB23646"
"9","18864","ETH18864"
"10","27943","MDG27943"
"11","31039","MRT31039"
"12","38129","RWA38129"
"13","2177","AGO02177"
"14","54081","KEN54081"
"15","56002","SOM56002"
"16","14016","COD14016"
"17","47641","GMB47641"
"18","21393","GHA21393"
"19","14017","COD14017"
"20","46546","TZA46546"
"21","18531","ETH18531"
"22","23740","GNB23740"
"23","17440","ERI17440"
"24","15329","CIV15329"
"25","38137","RWA38137"
"26","49756","UGA49756"
"27","17446","ERI17446"
"28","52929","ZWE52929"
"29","49749","UGA49749"
"30","45432","SWZ45432"
"31","49710","UGA49710"
"32","7424","CMR07424"
"33","33254","MOZ33254"
"34","19257","ETH19257"
"35","36403","NGA36403"
"36","19322","ETH19322"
"37","46527","TZA46527"
"38","21411","GHA21411"
"39","33178","MOZ33178"
"40","44361","SSD44361"
"41","46641","TZA46641"
"42","44354","SSD44354"
"43","27923","MDG27923"
"44","38125","RWA38125"
"45","49765","UGA49765"
"46","38138","RWA38138"
"47","49732","UGA49732"
"48","51896","TZZ51896"
"49","28953","MWI28953"
"50","49805","UGA49805"
"51","49758","UGA49758"
"52","54212","KEN54212"
"53","49707","UGA49707"
"54","45425","SWZ45425"
"55","7439","CMR07439"
"56","7427","CMR07427"
"57","7525","CMR07525"
"58","50883","ZMB50883"
"59","27866","MDG27866"
"60","21399","GHA21399"
"61","18555","ETH18555"
"62","21512","GHA21512"
"63","18656","ETH18656"
"64","27861","MDG27861"
"65","33195","MOZ33195"
"66","37001","NGA37001"
"67","21383","GHA21383"
"68","3269","BEN03269"
"69","49811","UGA49811"
"70","36835","NGA36835"
"71","54171","KEN54171"
"72","22616","GIN22616"
"73","10698","TCD10698"
"74","22604","GIN22604"
"75","10718","TCD10718"
"76","13935","COD13935"
"77","49745","UGA49745"
"78","49781","UGA49781"
"79","49730","UGA49730"
"80","49766","UGA49766"
"81","38126","RWA38126"
"82","18714","ETH18714"
"83","49776","UGA49776"
"84","49713","UGA49713"
"85","50884","ZMB50884"
"86","49733","UGA49733"
"87","27900","MDG27900"
"88","13880","COD13880"
"89","51901","TZZ51901"
"90","49767","UGA49767"
"91","27922","MDG27922"
"92","52940","ZWE52940"
"93","54276","KEN54276"
"94","28948","MWI28948"
"95","28950","MWI28950"
"96","54227","KEN54227"
"97","45405","SWZ45405"
"98","45411","SWZ45411"
"99","7482","CMR07482"
"100","7530","CMR07530"
"101","7422","CMR07422"
"102","7514","CMR07514"
"103","7475","CMR07475"
"104","7595","CMR07595"
"105","21526","GHA21526"
"106","19140","ETH19140"
"107","18957","ETH18957"
"108","36962","NGA36962"
"109","33134","MOZ33134"
"110","19034","ETH19034"
"111","33203","MOZ33203"
"112","23719","GNB23719"
"113","29998","MLI29998"
"114","18954","ETH18954"
"115","18818","ETH18818"
"116","36833","NGA36833"
"117","19122","ETH19122"
"118","18936","ETH18936"
"119","36789","NGA36789"
"120","49755","UGA49755"
"121","49768","UGA49768"
"122","49743","UGA49743"
"123","27856","MDG27856"
"124","49762","UGA49762"
"125","49782","UGA49782"
"126","38117","RWA38117"
"127","49729","UGA49729"
"128","49744","UGA49744"
"129","53189","ZMB53189"
"130","50839","ZMB50839"
"131","13882","COD13882"
"132","54017","KEN54017"
"133","28962","MWI28962"
"134","50881","ZMB50881"
"135","45422","SWZ45422"
"136","7495","CMR07495"
"137","7464","CMR07464"
"138","7429","CMR07429"
"139","7606","CMR07606"
"140","5347","BFA05347"
"141","36426","NGA36426"
"142","37015","NGA37015"
"143","33156","MOZ33156"
"144","19281","ETH19281"
"145","49799","UGA49799"
"146","38112","RWA38112"
"147","27879","MDG27879"
"148","51899","TZZ51899"
"149","50847","ZMB50847"
"150","48677","TGO48677"
"151","7442","CMR07442"
"152","7588","CMR07588"
"153","36693","NGA36693"
"154","36635","NGA36635"
"155","27839","MDG27839"
"156","49794","UGA49794"
"157","49727","UGA49727"
"158","6377","BDI06377"
"159","50830","ZMB50830"
"160","7582","CMR07582"
"161","27877","MDG27877"
"162","6414","BDI06414"
"163","6404","BDI06404"
"164","6408","BDI06408"
"165","38118","RWA38118"
"166","38120","RWA38120"
"167","6399","BDI06399"
"168","6412","BDI06412"
"169","6419","BDI06419"
"170","6375","BDI06375"
