"IU_ID","IU_ID2","scen","group","median","97.5 qtl"
"46493","TZA46493",0,1,0.089995,0.1534075
"19044","ETH19044",0,1,0.08841,0.1244025
"18630","ETH18630",0,1,0.0612,0.13852
"18961","ETH18961",0,1,0.096355,0.207305
"19039","ETH19039",0,1,0.0463,0.145925
"18533","ETH18533",0,1,0.0583,0.149045
"36446","NGA36446",0,2,0.004812,0.0719734999999999
"36483","NGA36483",0,2,0.0033195,0.07803125
"36491","NGA36491",0,2,0.0031425,0.0679099999999999
"36433","NGA36433",0,2,0.003932,0.07858375
"37083","NGA37083",0,2,0.0049595,0.0680444999999999
"37094","NGA37094",0,2,0.003085,0.058998
"3215","BEN03215",0,2,0.003538,0.061465
"44351","SSD44351",0,2,0.005553,0.0783994999999998
"44365","SSD44365",0,2,0.003777,0.0613629999999998
"44322","SSD44322",0,2,0.004208,0.059026
"44324","SSD44324",0,2,0.0040365,0.07633625
"44332","SSD44332",0,2,0.0036105,0.06681325
"44390","SSD44390",0,2,0.004447,0.079867
"44398","SSD44398",0,2,0.003584,0.0710707499999999
"44396","SSD44396",0,2,0.0030145,0.06636075
"44341","SSD44341",0,2,0.0036955,0.05835125
"44338","SSD44338",0,2,0.0027295,0.06758125
"44336","SSD44336",0,2,0.0029415,0.0677775
"44379","SSD44379",0,2,0.031825,0.06980175
"47659","GMB47659",0,2,0.0034365,0.07500075
"47624","GMB47624",0,2,0.003056,0.06174475
"47660","GMB47660",0,2,0.0039935,0.067553
"47636","GMB47636",0,2,0.0050425,0.0783904999999999
"47657","GMB47657",0,2,0.0039955,0.06512175
"47661","GMB47661",0,2,0.004122,0.0676509999999999
"47641","GMB47641",0,2,0.004192,0.0753917499999999
"47628","GMB47628",0,2,0.0039725,0.069351
"47627","GMB47627",0,2,0.0045195,0.06082125
"47643","GMB47643",0,2,0.0040765,0.068539
"47650","GMB47650",0,2,0.003273,0.065068
"17451","ERI17451",0,2,0.003403,0.06321975
"34267","NAM34267",0,2,0.002443,0.0577974999999999
"34268","NAM34268",0,2,0.0040855,0.07780225
"34271","NAM34271",0,2,0.004854,0.0722742499999999
"34273","NAM34273",0,2,0.0033895,0.0597935
"34290","NAM34290",0,2,0.004048,0.05830925
"31060","MRT31060",0,2,0.0032115,0.0632769999999999
"31053","MRT31053",0,2,0.003931,0.07347875
"31043","MRT31043",0,2,0.004615,0.0624435
"2077","AGO02077",0,2,0.004364,0.0781225
"2084","AGO02084",0,2,0.004824,0.07285825
"2115","AGO02115",0,2,0.003266,0.05756775
"27913","MDG27913",0,2,0.002126,0.07635875
"9659","CAF09659",0,2,0.0043265,0.0687274999999999
"53192","ZMB53192",0,2,0.0035085,0.0702677499999998
"53185","ZMB53185",0,2,0.00606,0.07834125
"10683","TCD10683",0,2,0.0034855,0.06410475
"10691","TCD10691",0,2,0.00321,0.0686715
"10726","TCD10726",0,2,0.0042515,0.0696284999999999
"10728","TCD10728",0,2,0.003016,0.06270625
"10745","TCD10745",0,2,0.0021245,0.05976325
"10729","TCD10729",0,2,0.0023485,0.0611237499999999
"10673","TCD10673",0,2,0.00483,0.0764485
"10680","TCD10680",0,2,0.004242,0.0769777499999999
"10684","TCD10684",0,2,0.003768,0.0704987499999999
"10685","TCD10685",0,2,0.004573,0.0711749999999999
"10687","TCD10687",0,2,0.004511,0.0703325
"10674","TCD10674",0,2,0.0034795,0.06319575
"10670","TCD10670",0,2,0.003732,0.06146225
"10661","TCD10661",0,2,0.0040275,0.05988225
"10660","TCD10660",0,2,0.0032225,0.0754695
"10722","TCD10722",0,2,0.0048605,0.0777319999999999
"21382","GHA21382",0,2,0.0043875,0.0724485
"21459","GHA21459",0,2,0.0036495,0.0779065
"21479","GHA21479",0,2,0.002574,0.0781484999999999
"21572","GHA21572",0,2,0.0018355,0.0586609999999999
"21493","GHA21493",0,2,0.001941,0.061545
"21497","GHA21497",0,2,0.001104,0.07073325
"21562","GHA21562",0,2,0.002528,0.06010225
"21428","GHA21428",0,2,0.0030205,0.0763872499999996
"46600","TZA46600",0,2,0.0031355,0.0754862499999999
"46607","TZA46607",0,2,0.003916,0.05811075
"46603","TZA46603",0,2,0.0028325,0.0733385
"46459","TZA46459",0,2,0.0028515,0.0684784999999999
"46474","TZA46474",0,2,0.0024585,0.064684
"46620","TZA46620",0,2,0.00437,0.0785044999999999
"46461","TZA46461",0,2,0.003477,0.0787665
"46597","TZA46597",0,2,0.0041095,0.0581932499999999
"46507","TZA46507",0,2,0.004131,0.0671479999999999
"46610","TZA46610",0,2,0.003632,0.06873675
"46465","TZA46465",0,2,0.004561,0.0670175
"46469","TZA46469",0,2,0.0018915,0.0687205
"46613","TZA46613",0,2,0.003352,0.0599915
"46555","TZA46555",0,2,0.0045045,0.07811275
"46615","TZA46615",0,2,0.003688,0.05906375
"46537","TZA46537",0,2,0.0034455,0.0673719999999999
"46503","TZA46503",0,2,0.02564,0.0744702499999999
"46546","TZA46546",0,2,0.0031995,0.07389475
"46544","TZA46544",0,2,0.002989,0.0748459999999999
"46621","TZA46621",0,2,0.003136,0.072303
"46519","TZA46519",0,2,0.003467,0.06656375
"46521","TZA46521",0,2,0.0033095,0.079327
"46522","TZA46522",0,2,0.002498,0.05899325
"46601","TZA46601",0,2,0.0028345,0.0629407499999999
"54251","KEN54251",0,2,0.0041995,0.0624354999999999
"54127","KEN54127",0,2,0.0039345,0.07066325
"54085","KEN54085",0,2,0.003115,0.0721335
"54036","KEN54036",0,2,0.004346,0.07068225
"54039","KEN54039",0,2,0.004007,0.07960375
"54281","KEN54281",0,2,0.003629,0.05946825
"54289","KEN54289",0,2,0.0050935,0.07104175
"54052","KEN54052",0,2,0.0040825,0.06572
"54185","KEN54185",0,2,0.0033645,0.066586
"54193","KEN54193",0,2,0.0024415,0.0607759999999999
"54187","KEN54187",0,2,0.0024245,0.067533
"54032","KEN54032",0,2,0.004216,0.0714362499999999
"54140","KEN54140",0,2,0.0050255,0.06786625
"54136","KEN54136",0,2,0.004417,0.0718825
"54241","KEN54241",0,2,0.0033915,0.0662584999999999
"54242","KEN54242",0,2,0.0044125,0.0623415
"49759","UGA49759",0,2,0.0056535,0.07449225
"49788","UGA49788",0,2,0.004184,0.05930925
"49790","UGA49790",0,2,0.0051545,0.0668157499999999
"49795","UGA49795",0,2,0.0039105,0.0665747499999999
"49708","UGA49708",0,2,0.003983,0.064128
"49750","UGA49750",0,2,0.0042185,0.06807425
"49721","UGA49721",0,2,0.0043145,0.0640795
"14215","COD14215",0,2,0.004636,0.06957975
"13837","COD13837",0,2,0.0035185,0.06808325
"19295","ETH19295",0,2,0.004327,0.0715275
"18582","ETH18582",0,2,0.028165,0.06345825
"18500","ETH18500",0,2,0.0035925,0.07136625
"18517","ETH18517",0,2,0.003368,0.0752712499999999
"18497","ETH18497",0,2,0.0035895,0.0653949999999999
"18513","ETH18513",0,2,0.022635,0.06428825
"18901","ETH18901",0,2,0.023905,0.07147575
"19296","ETH19296",0,2,0.003183,0.05967
"18524","ETH18524",0,2,0.0050785,0.07234425
"19276","ETH19276",0,2,0.0034605,0.0710272499999999
"19302","ETH19302",0,2,0.001546,0.0669447499999999
"23688","GNB23688",0,2,0.0036735,0.07032
"23680","GNB23680",0,2,0.0024385,0.05775375
"23691","GNB23691",0,2,0.0033195,0.058257
"23737","GNB23737",0,2,0.0030845,0.0796012499999999
"23736","GNB23736",0,2,0.004464,0.0603612499999999
"23750","GNB23750",0,2,0.003014,0.0677219999999999
"23654","GNB23654",0,2,0.0032345,0.07248625
"23746","GNB23746",0,2,0.005616,0.0629945
"23699","GNB23699",0,2,0.0033305,0.07517075
"23760","GNB23760",0,2,0.0031965,0.0725495
"23649","GNB23649",0,2,0.0037125,0.076081
"53338","SDN53338",0,2,0.0023915,0.06549975
"53222","SDN53222",0,2,0.0025395,0.0716575
"53228","SDN53228",0,2,0.0026305,0.0583
"53325","SDN53325",0,2,0.002353,0.0590399999999998
"53220","SDN53220",0,2,0.0041675,0.0658669999999999
"53211","SDN53211",0,2,0.002864,0.0707052499999999
"53208","SDN53208",0,2,0.004039,0.075055
"53210","SDN53210",0,2,0.0017045,0.0597185
"53214","SDN53214",0,2,0.0027475,0.066561
"22634","GIN22634",0,3,0.06878,0.589835
"36576","NGA36576",0,3,0.06678,0.6124325
"37040","NGA37040",0,3,0.068305,0.6551125
"36395","NGA36395",0,3,0.1068,0.6058025
"36999","NGA36999",0,3,0.05516,0.6300525
"36845","NGA36845",0,3,0.1098,0.6295225
"36847","NGA36847",0,3,0.093765,0.6208025
"36393","NGA36393",0,3,0.07521,0.6297925
"36375","NGA36375",0,3,0.0931,0.6590075
"36904","NGA36904",0,3,0.095,0.6051
"36390","NGA36390",0,3,0.10055,0.634115
"36982","NGA36982",0,3,0.075445,0.6000575
"36477","NGA36477",0,3,0.08173,0.64303
"36518","NGA36518",0,3,0.077005,0.59994
"36534","NGA36534",0,3,0.11195,0.647795
"36544","NGA36544",0,3,0.059505,0.638025
"36839","NGA36839",0,3,0.074275,0.603565
"36906","NGA36906",0,3,0.1019,0.59672
"12823","COG12823",0,3,0.07158,0.6503875
"12804","COG12804",0,3,0.080495,0.63852
"38121","RWA38121",0,3,0.10385,0.6476025
"43288","ZAF43288",0,3,0.07299,0.582965
"43298","ZAF43298",0,3,0.06542,0.6304825
"4293","BWA04293",0,3,0.07969,0.6297825
"2051","AGO02051",0,3,0.06648,0.6356825
"2091","AGO02091",0,3,0.078125,0.6212975
"2097","AGO02097",0,3,0.08631,0.65226
"2104","AGO02104",0,3,0.07051,0.6013025
"2101","AGO02101",0,3,0.06426,0.613225
"2212","AGO02212",0,3,0.03196,0.5980775
"2148","AGO02148",0,3,0.049605,0.60824
"2163","AGO02163",0,3,0.064375,0.6051325
"2164","AGO02164",0,3,0.074205,0.5981975
"2169","AGO02169",0,3,0.05956,0.6250375
"33141","MOZ33141",0,3,0.05051,0.654085
"53172","ZMB53172",0,3,0.052715,0.6117325
"20373","GAB20373",0,3,0.08259,0.5973575
"20334","GAB20334",0,3,0.071365,0.631025
"54238","KEN54238",0,3,0.076315,0.5824375
"54180","KEN54180",0,3,0.1037,0.632665
"54043","KEN54043",0,3,0.088315,0.5746075
"54103","KEN54103",0,3,0.090715,0.651105
"14029","COD14029",0,3,0.08089,0.6096575
"14053","COD14053",0,3,0.09603,0.61041
"13954","COD13954",0,3,0.082405,0.63287
"13968","COD13968",0,3,0.05965,0.6118675
"13989","COD13989",0,3,0.0762,0.56974
"13969","COD13969",0,3,0.092585,0.599505
"14183","COD14183",0,3,0.075735,0.6361275
"14027","COD14027",0,3,0.09219,0.6332225
"14336","COD14336",0,3,0.09054,0.60238
"14046","COD14046",0,3,0.08912,0.613425
"14015","COD14015",0,3,0.098905,0.621425
"14208","COD14208",0,3,0.06179,0.5884
"14212","COD14212",0,3,0.08869,0.6418325
"13891","COD13891",0,3,0.088475,0.613775
"13819","COD13819",0,3,0.1062,0.56599
"14254","COD14254",0,3,0.071435,0.57346
"14323","COD14323",0,3,0.066495,0.6136175
"14226","COD14226",0,3,0.06356,0.58264
"13957","COD13957",0,3,0.10495,0.6389425
"13909","COD13909",0,3,0.07482,0.5996075
"14155","COD14155",0,3,0.048335,0.5825375
"14153","COD14153",0,3,0.074365,0.594715
"14144","COD14144",0,3,0.098695,0.6436625
"14156","COD14156",0,3,0.0661,0.6430275
"14151","COD14151",0,3,0.068345,0.6137525
"14150","COD14150",0,3,0.04659,0.591835
"14149","COD14149",0,3,0.096695,0.659005
"14158","COD14158",0,3,0.087495,0.5896925
"13937","COD13937",0,3,0.082465,0.6442375
"13904","COD13904",0,3,0.08103,0.5814975
"13916","COD13916",0,3,0.1003,0.628005
"13922","COD13922",0,3,0.10765,0.632515
"13955","COD13955",0,3,0.09394,0.5870625
