"Group_name","IU_ID","IU_ID2"
"1","18914","ETH18914"
"2","44322","SSD44322"
"3","54232","KEN54232"
"4","27855","MDG27855"
"5","38141","RWA38141"
"6","22634","GIN22634"
"7","14145","COD14145"
"8","46463","TZA46463"
"9","53203","SDN53203"
"10","18813","ETH18813"
"11","46565","TZA46565"
"12","13953","COD13953"
"13","27843","MDG27843"
"14","53277","SDN53277"
"15","36978","NGA36978"
"16","14126","COD14126"
"17","16414","GNQ16414"
"18","14137","COD14137"
"19","53171","ZMB53171"
"20","18574","ETH18574"
"21","18512","ETH18512"
"22","14307","COD14307"
"23","17440","ERI17440"
"24","15337","CIV15337"
"25","49728","UGA49728"
"26","49760","UGA49760"
"27","17446","ERI17446"
"28","52929","ZWE52929"
"29","49820","UGA49820"
"30","25811","LSO25811"
"31","49710","UGA49710"
"32","7452","CMR07452"
"33","18631","ETH18631"
"34","18546","ETH18546"
"35","49812","UGA49812"
"36","19307","ETH19307"
"37","46593","TZA46593"
"38","9655","CAF09655"
"39","33101","MOZ33101"
"40","3230","BEN03230"
"41","33221","MOZ33221"
"42","43271","ZAF43271"
"43","27880","MDG27880"
"44","38127","RWA38127"
"45","49765","UGA49765"
"46","38138","RWA38138"
"47","49738","UGA49738"
"48","17444","ERI17444"
"49","54016","KEN54016"
"50","49805","UGA49805"
"51","49816","UGA49816"
"52","54212","KEN54212"
"53","49707","UGA49707"
"54","45425","SWZ45425"
"55","7439","CMR07439"
"56","7427","CMR07427"
"57","7433","CMR07433"
"58","50878","ZMB50878"
"59","27866","MDG27866"
"60","27929","MDG27929"
"61","18555","ETH18555"
"62","21528","GHA21528"
"63","18656","ETH18656"
"64","21394","GHA21394"
"65","46497","TZA46497"
"66","37001","NGA37001"
"67","2117","AGO02117"
"68","5362","BFA05362"
"69","49811","UGA49811"
"70","36835","NGA36835"
"71","54063","KEN54063"
"72","46636","TZA46636"
"73","18651","ETH18651"
"74","33144","MOZ33144"
"75","14198","COD14198"
"76","36588","NGA36588"
"77","49746","UGA49746"
"78","49706","UGA49706"
"79","49730","UGA49730"
"80","49766","UGA49766"
"81","38114","RWA38114"
"82","18714","ETH18714"
"83","49754","UGA49754"
"84","49713","UGA49713"
"85","50884","ZMB50884"
"86","49733","UGA49733"
"87","27904","MDG27904"
"88","13870","COD13870"
"89","51901","TZZ51901"
"90","49767","UGA49767"
"91","27922","MDG27922"
"92","52940","ZWE52940"
"93","54013","KEN54013"
"94","28948","MWI28948"
"95","28950","MWI28950"
"96","54027","KEN54027"
"97","45409","SWZ45409"
"98","45408","SWZ45408"
"99","7482","CMR07482"
"100","7530","CMR07530"
"101","7435","CMR07435"
"102","7504","CMR07504"
"103","7475","CMR07475"
"104","7595","CMR07595"
"105","21527","GHA21527"
"106","19140","ETH19140"
"107","21471","GHA21471"
"108","40198","SEN40198"
"109","14032","COD14032"
"110","19251","ETH19251"
"111","33203","MOZ33203"
"112","36936","NGA36936"
"113","29985","MLI29985"
"114","18954","ETH18954"
"115","18818","ETH18818"
"116","36605","NGA36605"
"117","19122","ETH19122"
"118","36591","NGA36591"
"119","36507","NGA36507"
"120","49755","UGA49755"
"121","49768","UGA49768"
"122","49743","UGA49743"
"123","27838","MDG27838"
"124","49762","UGA49762"
"125","49782","UGA49782"
"126","38117","RWA38117"
"127","49729","UGA49729"
"128","49797","UGA49797"
"129","53189","ZMB53189"
"130","53178","ZMB53178"
"131","13881","COD13881"
"132","54099","KEN54099"
"133","28971","MWI28971"
"134","17459","ERI17459"
"135","45406","SWZ45406"
"136","7492","CMR07492"
"137","7544","CMR07544"
"138","7469","CMR07469"
"139","7503","CMR07503"
"140","21397","GHA21397"
"141","36651","NGA36651"
"142","36865","NGA36865"
"143","36558","NGA36558"
"144","22612","GIN22612"
"145","49799","UGA49799"
"146","38112","RWA38112"
"147","27879","MDG27879"
"148","51899","TZZ51899"
"149","50847","ZMB50847"
"150","48678","TGO48678"
"151","7571","CMR07571"
"152","7588","CMR07588"
"153","15351","CIV15351"
"154","18814","ETH18814"
"155","27901","MDG27901"
"156","49794","UGA49794"
"157","49727","UGA49727"
"158","6377","BDI06377"
"159","50824","ZMB50824"
"160","7441","CMR07441"
"161","27877","MDG27877"
"162","6414","BDI06414"
"163","6404","BDI06404"
"164","6400","BDI06400"
"165","38118","RWA38118"
"166","38120","RWA38120"
"167","6399","BDI06399"
"168","6386","BDI06386"
"169","6419","BDI06419"
"170","6389","BDI06389"
