"Group_name","IU_ID","IU_ID2","Coverage Group"
"30_1","15409","CIV15409","1"
"31_1","36837","NGA36837","1"
"31_2","46547","TZA46547","2"
"32_1","35336","NER35336","1"
"33_2","21601","GHA21601","2"
"33_1","36620","NGA36620","1"
"34_2","46553","TZA46553","2"
"34_1","36824","NGA36824","1"
"35_2","19303","ETH19303","2"
"35_1","36889","NGA36889","1"
"36_1","49748","UGA49748","1"
"37_2","18656","ETH18656","2"
"37_1","2167","AGO02167","1"
"38_1","36719","NGA36719","1"
"38_2","53003","BFA53003","2"
"39_2","18657","ETH18657","2"
"40_1","10716","TCD10716","1"
"40_2","19324","ETH19324","2"
"41_1","35331","NER35331","1"
"42_2","21507","GHA21507","2"
"43_1","36787","NGA36787","1"
"43_2","18555","ETH18555","2"
"44_1","36881","NGA36881","1"
"45_1","35305","NER35305","1"
"46_1","51897","TZZ51897","1"
"46_2","51897","TZZ51897","2"
"48_2","40166","SEN40166","2"
"48_1","48704","TGO48704","1"
"49_2","21471","GHA21471","2"
"49_1","36565","NGA36565","1"
"50_2","18650","ETH18650","2"
"51_1","49766","UGA49766","1"
"52_1","33133","MOZ33133","1"
"52_2","27885","MDG27885","2"
"53_1","37108","NGA37108","1"
"53_2","5340","BFA05340","2"
"54_1","33217","MOZ33217","1"
"55_1","33212","MOZ33212","1"
"56_2","46618","TZA46618","2"
"56_1","36931","NGA36931","1"
"57_1","35309","NER35309","1"
"58_2","46511","TZA46511","2"
"58_1","37042","NGA37042","1"
"59_1","2201","AGO02201","1"
"60_2","21424","GHA21424","2"
"61_2","18644","ETH18644","2"
"62_2","21474","GHA21474","2"
"63_1","36700","NGA36700","1"
"63_2","19281","ETH19281","2"
"64_1","49732","UGA49732","1"
"64_2","49732","UGA49732","2"
"65_1","36786","NGA36786","1"
"66_1","36892","NGA36892","1"
