"Group_name","IU_ID","IU_ID2","Coverage Group"
"109_2","7575","CMR07575","2"
"109_1","36865","NGA36865","1"
"110_2","21534","GHA21534","2"
"111_2","21560","GHA21560","2"
"112_2","7509","CMR07509","2"
"113_2","40210","SEN40210","2"
"114_2","18579","ETH18579","2"
"115_1","49805","UGA49805","1"
"116_1","35323","NER35323","1"
"117_1","33246","MOZ33246","1"
"118_2","21425","GHA21425","2"
"119_2","5347","BFA05347","2"
"120_1","35312","NER35312","1"
"121_2","28967","MWI28967","2"
"122_1","36509","NGA36509","1"
"122_2","18704","ETH18704","2"
"123_2","28945","MWI28945","2"
"123_1","48699","TGO48699","1"
"124_2","29984","MLI29984","2"
"125_2","28972","MWI28972","2"
"126_2","28954","MWI28954","2"
"126_1","49734","UGA49734","1"
"127_2","28955","MWI28955","2"
"128_1","35327","NER35327","1"
"129_2","28948","MWI28948","2"
"130_2","18670","ETH18670","2"
"131_1","15384","CIV15384","1"
"132_2","18616","ETH18616","2"
"133_1","48669","TGO48669","1"
"133_2","7501","CMR07501","2"
"134_1","49740","UGA49740","1"
"135_1","35304","NER35304","1"
"136_1","33114","MOZ33114","1"
"137_1","48676","TGO48676","1"
"138_1","17441","ERI17441","1"
"139_1","49713","UGA49713","1"
"140_2","28961","MWI28961","2"
"141_2","28958","MWI28958","2"
"141_1","48689","TGO48689","1"
"142_2","42256","SLE42256","2"
"143_2","28968","MWI28968","2"
"144_2","28969","MWI28969","2"
"144_1","49789","UGA49789","1"
"146_1","49801","UGA49801","1"
"147_2","28959","MWI28959","2"
"148_1","49816","UGA49816","1"
"149_2","28963","MWI28963","2"
"150_1","48703","TGO48703","1"
"151_2","5330","BFA05330","2"
"152_1","35316","NER35316","1"
"153_2","5315","BFA05315","2"
"154_2","5326","BFA05326","2"
