"Group_name","IU_ID","IU_ID2","Coverage Group"
"78_1","2204","AGO02204","1"
"79_2","40224","SEN40224","2"
"80_2","18641","ETH18641","2"
"81_1","49745","UGA49745","1"
"82_1","37060","NGA37060","1"
"82_2","6387","BDI06387","2"
"83_1","33200","MOZ33200","1"
"84_1","33108","MOZ33108","1"
"84_2","30032","MLI30032","2"
"85_1","33254","MOZ33254","1"
"86_1","33235","MOZ33235","1"
"87_1","49710","UGA49710","1"
"88_1","2069","AGO02069","1"
"88_2","28946","MWI28946","2"
"89_1","48677","TGO48677","1"
"89_2","29982","MLI29982","2"
"90_2","29983","MLI29983","2"
"91_2","18585","ETH18585","2"
"92_1","48700","TGO48700","1"
"93_1","36898","NGA36898","1"
"94_1","48667","TGO48667","1"
"95_2","29988","MLI29988","2"
"96_1","36788","NGA36788","1"
"96_2","30011","MLI30011","2"
"97_2","18903","ETH18903","2"
"98_2","28952","MWI28952","2"
"99_1","35298","NER35298","1"
"100_2","42258","SLE42258","2"
"101_1","49782","UGA49782","1"
"102_1","35303","NER35303","1"
"103_1","49725","UGA49725","1"
"104_1","51892","TZZ51892","1"
"104_2","51892","TZZ51892","2"
"105_1","33102","MOZ33102","1"
"106_1","48702","TGO48702","1"
"106_2","30005","MLI30005","2"
"107_2","53005","BFA53005","2"
"107_1","17467","ERI17467","1"
"108_1","49731","UGA49731","1"
"109_2","7575","CMR07575","2"
"109_1","36865","NGA36865","1"
"110_2","21534","GHA21534","2"
"111_2","21560","GHA21560","2"
"112_2","7509","CMR07509","2"
"113_2","40210","SEN40210","2"
