"IU_ID","IU_ID2","scen","group","median","97.5 qtl"
"22624","GIN22624",0,1,0.01665,0.36654
"22626","GIN22626",0,1,0.0197,0.36906
"22619","GIN22619",0,1,0.01985,0.3689475
"37057","NGA37057",0,1,0.01408,0.3592125
"36986","NGA36986",0,1,0.02202,0.341455
"36997","NGA36997",0,1,0.01628,0.344555
"37000","NGA37000",0,1,0.01736,0.359535
"36854","NGA36854",0,1,0.018505,0.341205
"36430","NGA36430",0,1,0.01981,0.36937
"36834","NGA36834",0,1,0.014905,0.3388375
"12781","COG12781",0,1,0.016375,0.34937
"44392","SSD44392",0,1,0.043965,0.36411
"47663","GMB47663",0,1,0.012345,0.3325375
"34284","NAM34284",0,1,0.009884,0.3383225
"34290","NAM34290",0,1,0.017335,0.3569325
"43280","ZAF43280",0,1,0.046565,0.362325
"43284","ZAF43284",0,1,0.046775,0.3577275
"4313","BWA04313",0,1,0.014775,0.366805
"2057","AGO02057",0,1,0.014495,0.339215
"2059","AGO02059",0,1,0.01608,0.3496625
"2060","AGO02060",0,1,0.01797,0.3629725
"2072","AGO02072",0,1,0.01319,0.34018
"2073","AGO02073",0,1,0.01267,0.34982
"2085","AGO02085",0,1,0.021895,0.3357475
"2096","AGO02096",0,1,0.012205,0.3430825
"2100","AGO02100",0,1,0.01335,0.345225
"2107","AGO02107",0,1,0.011385,0.35767
"2167","AGO02167",0,1,0.01568,0.3392025
"2110","AGO02110",0,1,0.013015,0.3402425
"2133","AGO02133",0,1,0.014875,0.3430525
"2129","AGO02129",0,1,0.016875,0.33593
"2130","AGO02130",0,1,0.013335,0.341805
"2136","AGO02136",0,1,0.02019,0.33727
"2163","AGO02163",0,1,0.014535,0.3438625
"2164","AGO02164",0,1,0.018105,0.3676775
"2162","AGO02162",0,1,0.0137,0.36003
"2173","AGO02173",0,1,0.01905,0.356825
"2174","AGO02174",0,1,0.019435,0.3542225
"2222","AGO02222",0,1,0.014855,0.3447175
"2196","AGO02196",0,1,0.016775,0.3436275
"4310","BWA04310",0,1,0.01366,0.357265
"27843","MDG27843",0,1,0.0181,0.3446275
"27946","MDG27946",0,1,0.01414,0.3418475
"33166","MOZ33166",0,1,0.0164,0.3366375
"33130","MOZ33130",0,1,0.013805,0.3559
"9646","CAF09646",0,1,0.017055,0.3490025
"50833","ZMB50833",0,1,0.017195,0.3316
"10712","TCD10712",0,1,0.01816,0.36414
"20359","GAB20359",0,1,0.019135,0.3418425
"20362","GAB20362",0,1,0.01924,0.36586
"20354","GAB20354",0,1,0.01964,0.37093
"20351","GAB20351",0,1,0.01941,0.345075
"20360","GAB20360",0,1,0.018005,0.33923
"21424","GHA21424",0,1,0.0092385,0.3328575
"21422","GHA21422",0,1,0.0191,0.3602925
"46600","TZA46600",0,1,0.016965,0.354665
"46492","TZA46492",0,1,0.123155,0.347425
"46461","TZA46461",0,1,0.01498,0.3680325
"46469","TZA46469",0,1,0.01451,0.3613325
"46617","TZA46617",0,1,0.015005,0.3692275
"46547","TZA46547",0,1,0.012925,0.338215
"46544","TZA46544",0,1,0.01371,0.35069
"46521","TZA46521",0,1,0.01441,0.3299275
"46523","TZA46523",0,1,0.015675,0.3566175
"54125","KEN54125",0,1,0.015985,0.341335
"54170","KEN54170",0,1,0.01525,0.3335
"49708","UGA49708",0,1,0.021495,0.3720325
"49813","UGA49813",0,1,0.016855,0.357655
"14238","COD14238",0,1,0.0222,0.3499875
"14009","COD14009",0,1,0.017675,0.3580075
"14210","COD14210",0,1,0.01662,0.3326475
"14051","COD14051",0,1,0.017805,0.354405
"13879","COD13879",0,1,0.01583,0.3413175
"13821","COD13821",0,1,0.015685,0.3337375
"14335","COD14335",0,1,0.017435,0.369155
"13831","COD13831",0,1,0.014055,0.3378175
"13858","COD13858",0,1,0.015245,0.343635
"13854","COD13854",0,1,0.019875,0.335185
"14318","COD14318",0,1,0.019605,0.3668925
"14133","COD14133",0,1,0.01536,0.373119999999999
"14156","COD14156",0,1,0.01321,0.371855
"14157","COD14157",0,1,0.015695,0.355517499999999
"14149","COD14149",0,1,0.01583,0.35564
"13981","COD13981",0,1,0.0144,0.3304225
"13930","COD13930",0,1,0.023585,0.357899999999999
"13910","COD13910",0,1,0.01918,0.3688075
"13937","COD13937",0,1,0.01967,0.3372525
"13916","COD13916",0,1,0.018885,0.33317
"14257","COD14257",0,1,0.0083435,0.37272
"14118","COD14118",0,1,0.013975,0.3517325
"14066","COD14066",0,1,0.015015,0.3414925
"13844","COD13844",0,1,0.01622,0.345525
"13867","COD13867",0,1,0.016485,0.3583425
"13931","COD13931",0,1,0.014895,0.3390075
"13902","COD13902",0,1,0.020855,0.348555
"13940","COD13940",0,1,0.014315,0.340855
"13907","COD13907",0,1,0.019825,0.349069999999999
"13912","COD13912",0,1,0.015985,0.361385
"13915","COD13915",0,1,0.02005,0.3618175
"14059","COD14059",0,1,0.018075,0.3679625
"14114","COD14114",0,1,0.014265,0.3332325
"14104","COD14104",0,1,0.011255,0.3505025
"14113","COD14113",0,1,0.01621,0.3531625
"14071","COD14071",0,1,0.0157,0.35337
"14090","COD14090",0,1,0.01824,0.3318275
"18958","ETH18958",0,1,0.014105,0.34312
"19256","ETH19256",0,1,0.019275,0.34372
"18581","ETH18581",0,1,0.017475,0.351335
"18908","ETH18908",0,1,0.02149,0.3703225
"19273","ETH19273",0,1,0.01269,0.35475
"19224","ETH19224",0,1,0.013925,0.3350325
"19248","ETH19248",0,1,0.019805,0.3576925
"18562","ETH18562",0,1,0.01319,0.33294
"18563","ETH18563",0,1,0.01862,0.360025
"18577","ETH18577",0,1,0.016865,0.367545
"18616","ETH18616",0,1,0.01644,0.33914
"18868","ETH18868",0,1,0.0148,0.3542275
"18928","ETH18928",0,1,0.01939,0.3395725
"31069","MRT31069",0,1,0.01296,0.3575175
"31077","MRT31077",0,1,0.010105,0.345325
"37038","NGA37038",0,2,0.084075,0.745715
"37040","NGA37040",0,2,0.079145,0.783515
"36395","NGA36395",0,2,0.086675,0.77261
"36396","NGA36396",0,2,0.08984,0.76705
"36404","NGA36404",0,2,0.0751,0.78254
"37021","NGA37021",0,2,0.11285,0.86919
"36392","NGA36392",0,2,0.089095,0.7423875
"36393","NGA36393",0,2,0.1203,0.81359
"36376","NGA36376",0,2,0.103,0.75562
"36547","NGA36547",0,2,0.1207,0.8410575
"36383","NGA36383",0,2,0.1214,0.79619
"36384","NGA36384",0,2,0.073225,0.7630275
"36389","NGA36389",0,2,0.07966,0.7414225
"37022","NGA37022",0,2,0.13405,0.8921425
"37023","NGA37023",0,2,0.075395,0.79782
"37025","NGA37025",0,2,0.1323,0.85751
"37027","NGA37027",0,2,0.07679,0.7415775
"37029","NGA37029",0,2,0.08647,0.750725
"37030","NGA37030",0,2,0.084545,0.7739875
"37035","NGA37035",0,2,0.083275,0.7651475
"37037","NGA37037",0,2,0.125,0.8613525
"36452","NGA36452",0,2,0.14025,0.82283
"36454","NGA36454",0,2,0.11225,0.8480475
"36455","NGA36455",0,2,0.085875,0.74238
"36469","NGA36469",0,2,0.1171,0.820025
"36472","NGA36472",0,2,0.082775,0.76253
"36525","NGA36525",0,2,0.1438,0.8563325
"36528","NGA36528",0,2,0.06666,0.7703525
"36535","NGA36535",0,2,0.083075,0.7566925
"36539","NGA36539",0,2,0.074915,0.8023925
"36542","NGA36542",0,2,0.10985,0.857915
"36546","NGA36546",0,2,0.075035,0.757415
"37018","NGA37018",0,2,0.0776,0.7747225
"37019","NGA37019",0,2,0.068545,0.7527125
"44320","SSD44320",0,2,0.1035,0.7694175
"44321","SSD44321",0,2,0.1019,0.78725
"44324","SSD44324",0,2,0.07163,0.7434375
"25809","LSO25809",0,2,0.11145,0.8341625
"26818","LBR26818",0,2,0.10685,0.7677325
"26827","LBR26827",0,2,0.13395,0.8252125
"34271","NAM34271",0,2,0.07254,0.74569
"34272","NAM34272",0,2,0.078045,0.737765
"34274","NAM34274",0,2,0.10465,0.7797225
"34275","NAM34275",0,2,0.12905,0.822115
"34280","NAM34280",0,2,0.10325,0.825445
"34281","NAM34281",0,2,0.07715,0.766725
"34288","NAM34288",0,2,0.074015,0.748065
"7519","CMR07519",0,2,0.088625,0.80276
"2081","AGO02081",0,2,0.07468,0.7425925
"2084","AGO02084",0,2,0.089915,0.73281
"2176","AGO02176",0,2,0.0965,0.76395
"2182","AGO02182",0,2,0.1479,0.853335
"33100","MOZ33100",0,2,0.0823,0.82241
"33115","MOZ33115",0,2,0.1066,0.79088
"53181","ZMB53181",0,2,0.084785,0.76031
"53174","ZMB53174",0,2,0.071555,0.76705
"53190","ZMB53190",0,2,0.089565,0.841825
"21572","GHA21572",0,2,0.06329,0.75593
"21564","GHA21564",0,2,0.09206,0.745384999999999
"46607","TZA46607",0,2,0.078355,0.8135525
"46479","TZA46479",0,2,0.15835,0.85594
"46542","TZA46542",0,2,0.081915,0.7495225
"46589","TZA46589",0,2,0.1682,0.85326
"46554","TZA46554",0,2,0.03008,0.76196
"46609","TZA46609",0,2,0.100055,0.8249675
"46538","TZA46538",0,2,0.054975,0.76932
"14273","COD14273",0,2,0.086165,0.7732125
"13993","COD13993",0,2,0.10785,0.786975
"13987","COD13987",0,2,0.11865,0.7855175
"14289","COD14289",0,2,0.097745,0.775905
"13984","COD13984",0,2,0.10845,0.8608325
