"IU_ID","IU_ID2","scen","group","median","97.5 qtl"
"22614","GIN22614",0,1,0.0072145,0.1263675
"36958","NGA36958",0,1,0.006489,0.13074
"36959","NGA36959",0,1,0.00696,0.12743
"36993","NGA36993",0,1,0.006274,0.12497
"36854","NGA36854",0,1,0.00931,0.14384
"36339","NGA36339",0,1,0.004287,0.1287025
"36381","NGA36381",0,1,0.0070755,0.135575
"36384","NGA36384",0,1,0.0050015,0.1474175
"37027","NGA37027",0,1,0.006126,0.1389075
"36527","NGA36527",0,1,0.0075395,0.141155
"36861","NGA36861",0,1,0.0069445,0.1301425
"36906","NGA36906",0,1,0.0072615,0.13983
"36941","NGA36941",0,1,0.007573,0.134785
"3259","BEN03259",0,1,0.0037295,0.1237125
"38129","RWA38129",0,1,0.007628,0.1384025
"25816","LSO25816",0,1,0.006809,0.1454125
"26820","LBR26820",0,1,0.0076,0.1470125
"2100","AGO02100",0,1,0.0063795,0.1240475
"2103","AGO02103",0,1,0.005848,0.1345425
"2107","AGO02107",0,1,0.005561,0.132885
"2157","AGO02157",0,1,0.004565,0.1220225
"2222","AGO02222",0,1,0.005234,0.14011
"27835","MDG27835",0,1,0.0069175,0.131805
"33111","MOZ33111",0,1,0.0058005,0.1309575
"33182","MOZ33182",0,1,0.0040425,0.145
"33131","MOZ33131",0,1,0.0060035,0.134775
"33205","MOZ33205",0,1,0.002797,0.12351
"33179","MOZ33179",0,1,0.0053795,0.143745
"33149","MOZ33149",0,1,0.00342,0.1342825
"33135","MOZ33135",0,1,0.0049475,0.1272425
"46618","TZA46618",0,1,0.0065655,0.127315
"46569","TZA46569",0,1,0.004752,0.13092
"46616","TZA46616",0,1,0.004447,0.1274825
"46567","TZA46567",0,1,0.0057975,0.13713
"46568","TZA46568",0,1,0.004338,0.1397875
"46586","TZA46586",0,1,0.003395,0.12872
"46557","TZA46557",0,1,0.005657,0.1352775
"46621","TZA46621",0,1,0.004787,0.1403575
"46520","TZA46520",0,1,0.001648,0.1373375
"54255","KEN54255",0,1,0.0073045,0.1435275
"54251","KEN54251",0,1,0.0073665,0.1435125
"54234","KEN54234",0,1,0.006378,0.135205
"54237","KEN54237",0,1,0.005645,0.1261325
"54079","KEN54079",0,1,0.006223,0.1325825
"54082","KEN54082",0,1,0.0077755,0.1272725
"54083","KEN54083",0,1,0.007965,0.12371
"54108","KEN54108",0,1,0.0067905,0.12992
