"Group_name","IU_ID","IU_ID2"
"1","15454","CIV15454"
"1","15455","CIV15455"
"1","15456","CIV15456"
"1","15457","CIV15457"
"1","15458","CIV15458"
"1","15459","CIV15459"
"1","15460","CIV15460"
"1","15461","CIV15461"
"1","15462","CIV15462"
"1","15463","CIV15463"
"1","15464","CIV15464"
"1","07420","CMR07420"
"1","07421","CMR07421"
"1","07422","CMR07422"
"1","07423","CMR07423"
"1","07424","CMR07424"
"1","07425","CMR07425"
"1","07426","CMR07426"
"1","07427","CMR07427"
"1","07428","CMR07428"
"1","07429","CMR07429"
"1","07430","CMR07430"
"1","07431","CMR07431"
"1","07432","CMR07432"
"1","07433","CMR07433"
"1","07434","CMR07434"
"1","07435","CMR07435"
"1","07436","CMR07436"
"1","07437","CMR07437"
"1","07438","CMR07438"
"1","07439","CMR07439"
"1","07440","CMR07440"
"1","07441","CMR07441"
"1","07442","CMR07442"
"1","07443","CMR07443"
"1","07444","CMR07444"
"1","07445","CMR07445"
"1","07446","CMR07446"
"1","07447","CMR07447"
"1","07448","CMR07448"
"1","07449","CMR07449"
"1","07450","CMR07450"
"1","07451","CMR07451"
"1","07452","CMR07452"
"1","07453","CMR07453"
"1","07454","CMR07454"
"1","07455","CMR07455"
"1","07456","CMR07456"
"1","07457","CMR07457"
"1","07458","CMR07458"
"1","07459","CMR07459"
"1","07460","CMR07460"
"1","07461","CMR07461"
"1","07462","CMR07462"
"1","07463","CMR07463"
"1","07464","CMR07464"
"1","07465","CMR07465"
"1","07466","CMR07466"
"1","07467","CMR07467"
"1","07468","CMR07468"
"1","07469","CMR07469"
"1","07470","CMR07470"
"1","07471","CMR07471"
"1","07472","CMR07472"
"1","07473","CMR07473"
"1","07474","CMR07474"
"1","07475","CMR07475"
"1","07476","CMR07476"
"1","07477","CMR07477"
"1","07478","CMR07478"
"1","07479","CMR07479"
"1","07480","CMR07480"
"1","07481","CMR07481"
"1","07482","CMR07482"
"1","07483","CMR07483"
"1","07484","CMR07484"
"1","07485","CMR07485"
"1","07486","CMR07486"
"1","07487","CMR07487"
"1","07488","CMR07488"
"1","07489","CMR07489"
"1","07490","CMR07490"
"1","07491","CMR07491"
"1","07492","CMR07492"
"1","07493","CMR07493"
"1","07494","CMR07494"
"1","07495","CMR07495"
"1","07496","CMR07496"
"1","07497","CMR07497"
"1","07498","CMR07498"
"1","07499","CMR07499"
"1","07500","CMR07500"
"1","07501","CMR07501"
"1","07502","CMR07502"
"1","07503","CMR07503"
"1","07504","CMR07504"
"1","07505","CMR07505"
"1","07506","CMR07506"
"1","07507","CMR07507"
"1","07508","CMR07508"
"1","07509","CMR07509"
"1","07510","CMR07510"
"1","07511","CMR07511"
"1","07512","CMR07512"
"1","07513","CMR07513"
"1","07514","CMR07514"
"1","07515","CMR07515"
"1","07516","CMR07516"
"1","07517","CMR07517"
"1","07518","CMR07518"
"1","07519","CMR07519"
"1","07520","CMR07520"
"1","07521","CMR07521"
"1","07522","CMR07522"
"1","07523","CMR07523"
"1","07524","CMR07524"
"1","07525","CMR07525"
"1","07526","CMR07526"
"1","07527","CMR07527"
"1","07528","CMR07528"
"1","07529","CMR07529"
"1","07530","CMR07530"
"1","07531","CMR07531"
"1","07532","CMR07532"
"1","07533","CMR07533"
"1","07534","CMR07534"
"1","07535","CMR07535"
"1","07536","CMR07536"
"1","07537","CMR07537"
"1","07538","CMR07538"
"1","07539","CMR07539"
"1","07540","CMR07540"
"1","07541","CMR07541"
"1","07542","CMR07542"
"1","07543","CMR07543"
"1","07544","CMR07544"
"1","07545","CMR07545"
"1","07546","CMR07546"
"1","07547","CMR07547"
"1","07548","CMR07548"
"1","07549","CMR07549"
"1","07550","CMR07550"
"1","07551","CMR07551"
"1","07552","CMR07552"
"1","07553","CMR07553"
"1","07554","CMR07554"
"1","07555","CMR07555"
"1","07556","CMR07556"
"1","07557","CMR07557"
"1","07558","CMR07558"
"1","07559","CMR07559"
"1","07560","CMR07560"
"1","07561","CMR07561"
"1","07562","CMR07562"
"1","07563","CMR07563"
"1","07564","CMR07564"
"1","07565","CMR07565"
"1","07566","CMR07566"
"1","07567","CMR07567"
"1","07568","CMR07568"
"1","07569","CMR07569"
"1","07570","CMR07570"
"1","07571","CMR07571"
"1","07572","CMR07572"
"1","07573","CMR07573"
"1","07574","CMR07574"
"1","07575","CMR07575"
"1","07576","CMR07576"
"1","07577","CMR07577"
"1","07578","CMR07578"
"1","07579","CMR07579"
"1","07580","CMR07580"
"1","07581","CMR07581"
"1","07582","CMR07582"
"1","07583","CMR07583"
