"Group_name","IU_ID","IU_ID2"
"1","13961","COD13961"
"1","13962","COD13962"
"1","13963","COD13963"
"1","13964","COD13964"
"1","13965","COD13965"
"1","13966","COD13966"
"1","13967","COD13967"
"1","13968","COD13968"
"1","13969","COD13969"
"1","13970","COD13970"
"1","13971","COD13971"
"1","13972","COD13972"
"1","13973","COD13973"
"1","13974","COD13974"
"1","13975","COD13975"
"1","13976","COD13976"
"1","13977","COD13977"
"1","13978","COD13978"
"1","13979","COD13979"
"1","13980","COD13980"
"1","13981","COD13981"
"1","13982","COD13982"
"1","13983","COD13983"
"1","13984","COD13984"
"1","13985","COD13985"
"1","13986","COD13986"
"1","13987","COD13987"
"1","13988","COD13988"
"1","13989","COD13989"
"1","13990","COD13990"
"1","13991","COD13991"
"1","13992","COD13992"
"1","13993","COD13993"
"1","13994","COD13994"
"1","13995","COD13995"
"1","13996","COD13996"
"1","13997","COD13997"
"1","13998","COD13998"
"1","13999","COD13999"
"1","14000","COD14000"
"1","14001","COD14001"
"1","14002","COD14002"
"1","14003","COD14003"
"1","14004","COD14004"
"1","14005","COD14005"
"1","14006","COD14006"
"1","14007","COD14007"
"1","14008","COD14008"
"1","14009","COD14009"
"1","14010","COD14010"
"1","14011","COD14011"
"1","14012","COD14012"
"1","14013","COD14013"
"1","14014","COD14014"
"1","14016","COD14016"
"1","14017","COD14017"
"1","14018","COD14018"
"1","14019","COD14019"
"1","14020","COD14020"
"1","14021","COD14021"
"1","14022","COD14022"
"1","14023","COD14023"
"1","14024","COD14024"
"1","14025","COD14025"
"1","14026","COD14026"
"1","14027","COD14027"
"1","14029","COD14029"
"1","14030","COD14030"
"1","14032","COD14032"
"1","14033","COD14033"
"1","14034","COD14034"
"1","14035","COD14035"
"1","14036","COD14036"
"1","14037","COD14037"
"1","14038","COD14038"
"1","14039","COD14039"
"1","14040","COD14040"
"1","14041","COD14041"
"1","14042","COD14042"
"1","14043","COD14043"
"1","14044","COD14044"
"1","14045","COD14045"
"1","14047","COD14047"
"1","14048","COD14048"
"1","14049","COD14049"
"1","14050","COD14050"
"1","14051","COD14051"
"1","14052","COD14052"
"1","14053","COD14053"
"1","14054","COD14054"
"1","14055","COD14055"
"1","14056","COD14056"
"1","14057","COD14057"
"1","14058","COD14058"
"1","14059","COD14059"
"1","14060","COD14060"
"1","14061","COD14061"
"1","14062","COD14062"
"1","14063","COD14063"
"1","14064","COD14064"
"1","14065","COD14065"
"1","14066","COD14066"
"1","14067","COD14067"
"1","14068","COD14068"
"1","14069","COD14069"
"1","14070","COD14070"
"1","14071","COD14071"
"1","14072","COD14072"
"1","14073","COD14073"
"1","14074","COD14074"
"1","14075","COD14075"
"1","14076","COD14076"
"1","14077","COD14077"
"1","14078","COD14078"
"1","14079","COD14079"
"1","14080","COD14080"
"1","14081","COD14081"
"1","14082","COD14082"
"1","14083","COD14083"
"1","14084","COD14084"
"1","14085","COD14085"
"1","14086","COD14086"
"1","14087","COD14087"
"1","14088","COD14088"
"1","14089","COD14089"
"1","14090","COD14090"
"1","14091","COD14091"
"1","14092","COD14092"
"1","14093","COD14093"
"1","14094","COD14094"
"1","14095","COD14095"
"1","14096","COD14096"
"1","14097","COD14097"
"1","14099","COD14099"
"1","14100","COD14100"
"1","14101","COD14101"
"1","14102","COD14102"
"1","14103","COD14103"
"1","14104","COD14104"
"1","14105","COD14105"
"1","14106","COD14106"
"1","14107","COD14107"
"1","14108","COD14108"
"1","14109","COD14109"
"1","14110","COD14110"
"1","14111","COD14111"
"1","14112","COD14112"
"1","14113","COD14113"
"1","14114","COD14114"
"1","14115","COD14115"
"1","14116","COD14116"
"1","14117","COD14117"
"1","14118","COD14118"
"1","14119","COD14119"
"1","14120","COD14120"
"1","14121","COD14121"
"1","14122","COD14122"
"1","14123","COD14123"
"1","14124","COD14124"
"1","14126","COD14126"
"1","14127","COD14127"
"1","14128","COD14128"
"1","14129","COD14129"
"1","14130","COD14130"
"1","14131","COD14131"
"1","14132","COD14132"
"1","14133","COD14133"
"1","14134","COD14134"
"1","14135","COD14135"
"1","14136","COD14136"
"1","14137","COD14137"
"1","14138","COD14138"
"1","14139","COD14139"
"1","14140","COD14140"
"1","14141","COD14141"
