"Group_name","IU_ID","IU_ID2"
"1","14321","COD14321"
"1","14322","COD14322"
"1","14323","COD14323"
"1","14324","COD14324"
"1","14325","COD14325"
"1","14326","COD14326"
"1","14327","COD14327"
"1","14328","COD14328"
"1","14329","COD14329"
"1","14330","COD14330"
"1","14332","COD14332"
"1","14334","COD14334"
"1","14335","COD14335"
"1","14337","COD14337"
"1","14338","COD14338"
"1","14340","COD14340"
"1","12763","COG12763"
"1","12765","COG12765"
"1","12768","COG12768"
"1","12773","COG12773"
"1","12775","COG12775"
"1","12777","COG12777"
"1","12778","COG12778"
"1","12780","COG12780"
"1","12784","COG12784"
"1","12785","COG12785"
"1","12786","COG12786"
"1","12789","COG12789"
"1","12791","COG12791"
"1","12798","COG12798"
"1","12800","COG12800"
"1","12802","COG12802"
"1","12803","COG12803"
"1","12805","COG12805"
"1","12806","COG12806"
"1","12807","COG12807"
"1","12808","COG12808"
"1","12811","COG12811"
"1","12813","COG12813"
"1","12814","COG12814"
"1","12822","COG12822"
"1","12823","COG12823"
"1","12824","COG12824"
"1","12825","COG12825"
"1","12826","COG12826"
"1","12828","COG12828"
"1","12829","COG12829"
"1","12830","COG12830"
"1","12831","COG12831"
"1","12832","COG12832"
"1","12833","COG12833"
"1","12834","COG12834"
"1","12835","COG12835"
"1","12836","COG12836"
"1","12837","COG12837"
"1","12838","COG12838"
"1","12839","COG12839"
"1","12840","COG12840"
"1","12841","COG12841"
"1","12842","COG12842"
"1","12843","COG12843"
"1","12844","COG12844"
"1","12846","COG12846"
"1","12847","COG12847"
"1","12848","COG12848"
"1","12849","COG12849"
"1","12850","COG12850"
"1","17429","ERI17429"
"1","17430","ERI17430"
"1","17431","ERI17431"
"1","17432","ERI17432"
"1","17433","ERI17433"
"1","17434","ERI17434"
"1","17435","ERI17435"
"1","17436","ERI17436"
"1","17437","ERI17437"
"1","17438","ERI17438"
"1","17439","ERI17439"
"1","17440","ERI17440"
"1","17441","ERI17441"
"1","17442","ERI17442"
"1","17443","ERI17443"
"1","17444","ERI17444"
"1","17445","ERI17445"
"1","17446","ERI17446"
"1","17447","ERI17447"
"1","17448","ERI17448"
"1","17449","ERI17449"
"1","17450","ERI17450"
"1","17451","ERI17451"
"1","17452","ERI17452"
"1","17453","ERI17453"
"1","17454","ERI17454"
"1","17455","ERI17455"
"1","17456","ERI17456"
"1","17457","ERI17457"
"1","17458","ERI17458"
"1","17459","ERI17459"
"1","17460","ERI17460"
"1","17461","ERI17461"
"1","17462","ERI17462"
"1","17463","ERI17463"
"1","17464","ERI17464"
"1","17465","ERI17465"
"1","17466","ERI17466"
"1","17467","ERI17467"
"1","17468","ERI17468"
"1","17469","ERI17469"
"1","17470","ERI17470"
"1","17471","ERI17471"
"1","17472","ERI17472"
"1","17473","ERI17473"
"1","17474","ERI17474"
"1","17475","ERI17475"
"1","17476","ERI17476"
"1","17477","ERI17477"
"1","17478","ERI17478"
"1","17479","ERI17479"
"1","17480","ERI17480"
"1","17481","ERI17481"
"1","17482","ERI17482"
"1","17483","ERI17483"
"1","17484","ERI17484"
"1","17485","ERI17485"
"1","17486","ERI17486"
"1","18487","ETH18487"
"1","18488","ETH18488"
"1","18489","ETH18489"
"1","18490","ETH18490"
"1","18491","ETH18491"
"1","18492","ETH18492"
"1","18493","ETH18493"
"1","18494","ETH18494"
"1","18495","ETH18495"
"1","18496","ETH18496"
"1","18497","ETH18497"
"1","18498","ETH18498"
"1","18499","ETH18499"
"1","18500","ETH18500"
"1","18501","ETH18501"
"1","18502","ETH18502"
"1","18503","ETH18503"
"1","18504","ETH18504"
"1","18505","ETH18505"
"1","18506","ETH18506"
"1","18507","ETH18507"
"1","18508","ETH18508"
"1","18509","ETH18509"
"1","18510","ETH18510"
"1","18511","ETH18511"
"1","18512","ETH18512"
"1","18513","ETH18513"
"1","18514","ETH18514"
"1","18515","ETH18515"
"1","18516","ETH18516"
"1","18517","ETH18517"
"1","18518","ETH18518"
"1","18520","ETH18520"
"1","18521","ETH18521"
"1","18522","ETH18522"
"1","18523","ETH18523"
"1","18524","ETH18524"
"1","18525","ETH18525"
"1","18526","ETH18526"
"1","18527","ETH18527"
"1","18528","ETH18528"
"1","18529","ETH18529"
"1","18530","ETH18530"
"1","18531","ETH18531"
"1","18532","ETH18532"
"1","18533","ETH18533"
"1","18534","ETH18534"
"1","18535","ETH18535"
"1","18536","ETH18536"
"1","18537","ETH18537"
