"Group_name","IU_ID","IU_ID2"
"1","18538","ETH18538"
"1","18539","ETH18539"
"1","18541","ETH18541"
"1","18542","ETH18542"
"1","18543","ETH18543"
"1","18544","ETH18544"
"1","18545","ETH18545"
"1","18546","ETH18546"
"1","18547","ETH18547"
"1","18548","ETH18548"
"1","18549","ETH18549"
"1","18550","ETH18550"
"1","18551","ETH18551"
"1","18552","ETH18552"
"1","18553","ETH18553"
"1","18554","ETH18554"
"1","18555","ETH18555"
"1","18556","ETH18556"
"1","18558","ETH18558"
"1","18559","ETH18559"
"1","18560","ETH18560"
"1","18561","ETH18561"
"1","18563","ETH18563"
"1","18564","ETH18564"
"1","18565","ETH18565"
"1","18566","ETH18566"
"1","18567","ETH18567"
"1","18568","ETH18568"
"1","18569","ETH18569"
"1","18570","ETH18570"
"1","18571","ETH18571"
"1","18572","ETH18572"
"1","18573","ETH18573"
"1","18574","ETH18574"
"1","18575","ETH18575"
"1","18576","ETH18576"
"1","18577","ETH18577"
"1","18578","ETH18578"
"1","18579","ETH18579"
"1","18580","ETH18580"
"1","18581","ETH18581"
"1","18583","ETH18583"
"1","18584","ETH18584"
"1","18585","ETH18585"
"1","18587","ETH18587"
"1","18588","ETH18588"
"1","18589","ETH18589"
"1","18590","ETH18590"
"1","18591","ETH18591"
"1","18592","ETH18592"
"1","18593","ETH18593"
"1","18594","ETH18594"
"1","18595","ETH18595"
"1","18596","ETH18596"
"1","18597","ETH18597"
"1","18598","ETH18598"
"1","18599","ETH18599"
"1","18600","ETH18600"
"1","18601","ETH18601"
"1","18602","ETH18602"
"1","18603","ETH18603"
"1","18604","ETH18604"
"1","18605","ETH18605"
"1","18606","ETH18606"
"1","18607","ETH18607"
"1","18608","ETH18608"
"1","18610","ETH18610"
"1","18611","ETH18611"
"1","18612","ETH18612"
"1","18613","ETH18613"
"1","18614","ETH18614"
"1","18615","ETH18615"
"1","18616","ETH18616"
"1","18617","ETH18617"
"1","18618","ETH18618"
"1","18619","ETH18619"
"1","18620","ETH18620"
"1","18621","ETH18621"
"1","18623","ETH18623"
"1","18624","ETH18624"
"1","18625","ETH18625"
"1","18627","ETH18627"
"1","18628","ETH18628"
"1","18629","ETH18629"
"1","18630","ETH18630"
"1","18631","ETH18631"
"1","18632","ETH18632"
"1","18635","ETH18635"
"1","18636","ETH18636"
"1","18637","ETH18637"
"1","18638","ETH18638"
"1","18639","ETH18639"
"1","18640","ETH18640"
"1","18641","ETH18641"
"1","18642","ETH18642"
"1","18643","ETH18643"
"1","18644","ETH18644"
"1","18645","ETH18645"
"1","18646","ETH18646"
"1","18647","ETH18647"
"1","18648","ETH18648"
"1","18649","ETH18649"
"1","18650","ETH18650"
"1","18651","ETH18651"
"1","18653","ETH18653"
"1","18654","ETH18654"
"1","18655","ETH18655"
"1","18656","ETH18656"
"1","18658","ETH18658"
"1","18659","ETH18659"
"1","18660","ETH18660"
"1","18662","ETH18662"
"1","18663","ETH18663"
"1","18664","ETH18664"
"1","18665","ETH18665"
"1","18666","ETH18666"
"1","18667","ETH18667"
"1","18668","ETH18668"
"1","18669","ETH18669"
"1","18670","ETH18670"
"1","18671","ETH18671"
"1","18672","ETH18672"
"1","18674","ETH18674"
"1","18675","ETH18675"
"1","18676","ETH18676"
"1","18677","ETH18677"
"1","18678","ETH18678"
"1","18679","ETH18679"
"1","18680","ETH18680"
"1","18681","ETH18681"
"1","18682","ETH18682"
"1","18683","ETH18683"
"1","18684","ETH18684"
"1","18685","ETH18685"
"1","18686","ETH18686"
"1","18688","ETH18688"
"1","18689","ETH18689"
"1","18690","ETH18690"
"1","18691","ETH18691"
"1","18692","ETH18692"
"1","18695","ETH18695"
"1","18698","ETH18698"
"1","18699","ETH18699"
"1","18700","ETH18700"
"1","18701","ETH18701"
"1","18702","ETH18702"
"1","18703","ETH18703"
"1","18704","ETH18704"
"1","18705","ETH18705"
"1","18706","ETH18706"
"1","18709","ETH18709"
"1","18711","ETH18711"
"1","18712","ETH18712"
"1","18713","ETH18713"
"1","18714","ETH18714"
"1","18715","ETH18715"
"1","18717","ETH18717"
"1","18718","ETH18718"
"1","18721","ETH18721"
"1","18722","ETH18722"
"1","18723","ETH18723"
"1","18724","ETH18724"
"1","18725","ETH18725"
"1","18726","ETH18726"
"1","18727","ETH18727"
"1","18728","ETH18728"
"1","18729","ETH18729"
"1","18730","ETH18730"
"1","18731","ETH18731"
"1","18732","ETH18732"
"1","18733","ETH18733"
"1","18734","ETH18734"
"1","18735","ETH18735"
"1","18736","ETH18736"
"1","18737","ETH18737"
