"Group_name","IU_ID","IU_ID2"
"1","18936","ETH18936"
"1","18937","ETH18937"
"1","18938","ETH18938"
"1","18939","ETH18939"
"1","18940","ETH18940"
"1","18941","ETH18941"
"1","18942","ETH18942"
"1","18943","ETH18943"
"1","18944","ETH18944"
"1","18946","ETH18946"
"1","18947","ETH18947"
"1","18948","ETH18948"
"1","18950","ETH18950"
"1","18951","ETH18951"
"1","18952","ETH18952"
"1","18953","ETH18953"
"1","18954","ETH18954"
"1","18955","ETH18955"
"1","18956","ETH18956"
"1","18957","ETH18957"
"1","18958","ETH18958"
"1","18961","ETH18961"
"1","18962","ETH18962"
"1","18963","ETH18963"
"1","18964","ETH18964"
"1","18965","ETH18965"
"1","18967","ETH18967"
"1","18969","ETH18969"
"1","18970","ETH18970"
"1","18972","ETH18972"
"1","18973","ETH18973"
"1","18974","ETH18974"
"1","18975","ETH18975"
"1","18976","ETH18976"
"1","18977","ETH18977"
"1","18978","ETH18978"
"1","18979","ETH18979"
"1","18980","ETH18980"
"1","18981","ETH18981"
"1","18985","ETH18985"
"1","18986","ETH18986"
"1","18987","ETH18987"
"1","18988","ETH18988"
"1","18989","ETH18989"
"1","18990","ETH18990"
"1","18991","ETH18991"
"1","18993","ETH18993"
"1","18994","ETH18994"
"1","18995","ETH18995"
"1","18996","ETH18996"
"1","18997","ETH18997"
"1","18998","ETH18998"
"1","18999","ETH18999"
"1","19000","ETH19000"
"1","19002","ETH19002"
"1","19003","ETH19003"
"1","19004","ETH19004"
"1","19005","ETH19005"
"1","19006","ETH19006"
"1","19007","ETH19007"
"1","19008","ETH19008"
"1","19009","ETH19009"
"1","19010","ETH19010"
"1","19011","ETH19011"
"1","19012","ETH19012"
"1","19013","ETH19013"
"1","19014","ETH19014"
"1","19015","ETH19015"
"1","19016","ETH19016"
"1","19017","ETH19017"
"1","19018","ETH19018"
"1","19019","ETH19019"
"1","19020","ETH19020"
"1","19022","ETH19022"
"1","19024","ETH19024"
"1","19025","ETH19025"
"1","19026","ETH19026"
"1","19027","ETH19027"
"1","19028","ETH19028"
"1","19029","ETH19029"
"1","19030","ETH19030"
"1","19031","ETH19031"
"1","19032","ETH19032"
"1","19033","ETH19033"
"1","19034","ETH19034"
"1","19036","ETH19036"
"1","19037","ETH19037"
"1","19038","ETH19038"
"1","19039","ETH19039"
"1","19040","ETH19040"
"1","19041","ETH19041"
"1","19042","ETH19042"
"1","19043","ETH19043"
"1","19044","ETH19044"
"1","19045","ETH19045"
"1","19046","ETH19046"
"1","19048","ETH19048"
"1","19051","ETH19051"
"1","19052","ETH19052"
"1","19053","ETH19053"
"1","19054","ETH19054"
"1","19055","ETH19055"
"1","19056","ETH19056"
"1","19057","ETH19057"
"1","19058","ETH19058"
"1","19059","ETH19059"
"1","19060","ETH19060"
"1","19061","ETH19061"
"1","19062","ETH19062"
"1","19063","ETH19063"
"1","19066","ETH19066"
"1","19067","ETH19067"
"1","19068","ETH19068"
"1","19069","ETH19069"
"1","19070","ETH19070"
"1","19071","ETH19071"
"1","19072","ETH19072"
"1","19073","ETH19073"
"1","19075","ETH19075"
"1","19076","ETH19076"
"1","19077","ETH19077"
"1","19078","ETH19078"
"1","19079","ETH19079"
"1","19080","ETH19080"
"1","19081","ETH19081"
"1","19082","ETH19082"
"1","19083","ETH19083"
"1","19085","ETH19085"
"1","19086","ETH19086"
"1","19087","ETH19087"
"1","19088","ETH19088"
"1","19090","ETH19090"
"1","19092","ETH19092"
"1","19094","ETH19094"
"1","19095","ETH19095"
"1","19096","ETH19096"
"1","19097","ETH19097"
"1","19098","ETH19098"
"1","19099","ETH19099"
"1","19101","ETH19101"
"1","19102","ETH19102"
"1","19105","ETH19105"
"1","19108","ETH19108"
"1","19109","ETH19109"
"1","19110","ETH19110"
"1","19111","ETH19111"
"1","19113","ETH19113"
"1","19114","ETH19114"
"1","19115","ETH19115"
"1","19116","ETH19116"
"1","19117","ETH19117"
"1","19118","ETH19118"
"1","19119","ETH19119"
"1","19120","ETH19120"
"1","19122","ETH19122"
"1","19123","ETH19123"
"1","19124","ETH19124"
"1","19125","ETH19125"
"1","19126","ETH19126"
"1","19127","ETH19127"
"1","19128","ETH19128"
"1","19130","ETH19130"
"1","19131","ETH19131"
"1","19132","ETH19132"
"1","19133","ETH19133"
"1","19134","ETH19134"
"1","19136","ETH19136"
"1","19137","ETH19137"
"1","19138","ETH19138"
"1","19140","ETH19140"
"1","19141","ETH19141"
"1","19142","ETH19142"
"1","19143","ETH19143"
"1","19145","ETH19145"
"1","19146","ETH19146"
