"Group_name","IU_ID","IU_ID2"
"1","19147","ETH19147"
"1","19149","ETH19149"
"1","19150","ETH19150"
"1","19151","ETH19151"
"1","19153","ETH19153"
"1","19154","ETH19154"
"1","19155","ETH19155"
"1","19156","ETH19156"
"1","19157","ETH19157"
"1","19158","ETH19158"
"1","19159","ETH19159"
"1","19160","ETH19160"
"1","19161","ETH19161"
"1","19162","ETH19162"
"1","19163","ETH19163"
"1","19164","ETH19164"
"1","19165","ETH19165"
"1","19166","ETH19166"
"1","19167","ETH19167"
"1","19169","ETH19169"
"1","19170","ETH19170"
"1","19171","ETH19171"
"1","19172","ETH19172"
"1","19173","ETH19173"
"1","19174","ETH19174"
"1","19175","ETH19175"
"1","19176","ETH19176"
"1","19177","ETH19177"
"1","19178","ETH19178"
"1","19179","ETH19179"
"1","19180","ETH19180"
"1","19181","ETH19181"
"1","19182","ETH19182"
"1","19183","ETH19183"
"1","19184","ETH19184"
"1","19185","ETH19185"
"1","19186","ETH19186"
"1","19187","ETH19187"
"1","19188","ETH19188"
"1","19189","ETH19189"
"1","19190","ETH19190"
"1","19191","ETH19191"
"1","19192","ETH19192"
"1","19193","ETH19193"
"1","19197","ETH19197"
"1","19199","ETH19199"
"1","19200","ETH19200"
"1","19201","ETH19201"
"1","19203","ETH19203"
"1","19204","ETH19204"
"1","19207","ETH19207"
"1","19208","ETH19208"
"1","19209","ETH19209"
"1","19212","ETH19212"
"1","19213","ETH19213"
"1","19214","ETH19214"
"1","19215","ETH19215"
"1","19216","ETH19216"
"1","19217","ETH19217"
"1","19218","ETH19218"
"1","19219","ETH19219"
"1","19220","ETH19220"
"1","19221","ETH19221"
"1","19222","ETH19222"
"1","19223","ETH19223"
"1","19224","ETH19224"
"1","19226","ETH19226"
"1","19227","ETH19227"
"1","19228","ETH19228"
"1","19229","ETH19229"
"1","19230","ETH19230"
"1","19231","ETH19231"
"1","19232","ETH19232"
"1","19233","ETH19233"
"1","19234","ETH19234"
"1","19235","ETH19235"
"1","19236","ETH19236"
"1","19237","ETH19237"
"1","19238","ETH19238"
"1","19239","ETH19239"
"1","19240","ETH19240"
"1","19241","ETH19241"
"1","19242","ETH19242"
"1","19243","ETH19243"
"1","19244","ETH19244"
"1","19245","ETH19245"
"1","19246","ETH19246"
"1","19248","ETH19248"
"1","19249","ETH19249"
"1","19250","ETH19250"
"1","19251","ETH19251"
"1","19252","ETH19252"
"1","19253","ETH19253"
"1","19254","ETH19254"
"1","19255","ETH19255"
"1","19256","ETH19256"
"1","19257","ETH19257"
"1","19258","ETH19258"
"1","19260","ETH19260"
"1","19261","ETH19261"
"1","19262","ETH19262"
"1","19264","ETH19264"
"1","19265","ETH19265"
"1","19267","ETH19267"
"1","19268","ETH19268"
"1","19269","ETH19269"
"1","19271","ETH19271"
"1","19272","ETH19272"
"1","19273","ETH19273"
"1","19274","ETH19274"
"1","19275","ETH19275"
"1","19276","ETH19276"
"1","19277","ETH19277"
"1","19278","ETH19278"
"1","19279","ETH19279"
"1","19281","ETH19281"
"1","19282","ETH19282"
"1","19283","ETH19283"
"1","19284","ETH19284"
"1","19285","ETH19285"
"1","19286","ETH19286"
"1","19287","ETH19287"
"1","19288","ETH19288"
"1","19289","ETH19289"
"1","19290","ETH19290"
"1","19291","ETH19291"
"1","19292","ETH19292"
"1","19293","ETH19293"
"1","19294","ETH19294"
"1","19295","ETH19295"
"1","19296","ETH19296"
"1","19297","ETH19297"
"1","19298","ETH19298"
"1","19299","ETH19299"
"1","19300","ETH19300"
"1","19301","ETH19301"
"1","19302","ETH19302"
"1","19303","ETH19303"
"1","19304","ETH19304"
"1","19305","ETH19305"
"1","19306","ETH19306"
"1","19307","ETH19307"
"1","19308","ETH19308"
"1","19309","ETH19309"
"1","19310","ETH19310"
"1","19311","ETH19311"
"1","19313","ETH19313"
"1","19314","ETH19314"
"1","19315","ETH19315"
"1","19316","ETH19316"
"1","19317","ETH19317"
"1","19318","ETH19318"
"1","19319","ETH19319"
"1","19320","ETH19320"
"1","19321","ETH19321"
"1","19322","ETH19322"
"1","19323","ETH19323"
"1","19324","ETH19324"
"1","19325","ETH19325"
"1","19326","ETH19326"
"1","19327","ETH19327"
"1","19328","ETH19328"
"1","19331","ETH19331"
"1","19332","ETH19332"
"1","19333","ETH19333"
"1","19334","ETH19334"
"1","19335","ETH19335"
"1","19336","ETH19336"
"1","19338","ETH19338"
"1","19339","ETH19339"
"1","19341","ETH19341"
"1","19342","ETH19342"
"1","19343","ETH19343"
"1","19344","ETH19344"
"1","19345","ETH19345"
