"Group_name","IU_ID","IU_ID2"
"1","19346","ETH19346"
"1","19347","ETH19347"
"1","19348","ETH19348"
"1","19349","ETH19349"
"1","19350","ETH19350"
"1","19351","ETH19351"
"1","19352","ETH19352"
"1","19353","ETH19353"
"1","19354","ETH19354"
"1","19355","ETH19355"
"1","19356","ETH19356"
"1","19357","ETH19357"
"1","19358","ETH19358"
"1","19359","ETH19359"
"1","19360","ETH19360"
"1","19361","ETH19361"
"1","19362","ETH19362"
"1","19363","ETH19363"
"1","19364","ETH19364"
"1","19365","ETH19365"
"1","19366","ETH19366"
"1","19368","ETH19368"
"1","19369","ETH19369"
"1","19370","ETH19370"
"1","19371","ETH19371"
"1","19372","ETH19372"
"1","19373","ETH19373"
"1","19374","ETH19374"
"1","19375","ETH19375"
"1","19376","ETH19376"
"1","19377","ETH19377"
"1","19378","ETH19378"
"1","19379","ETH19379"
"1","19380","ETH19380"
"1","19381","ETH19381"
"1","19382","ETH19382"
"1","19383","ETH19383"
"1","19384","ETH19384"
"1","19385","ETH19385"
"1","19386","ETH19386"
"1","19387","ETH19387"
"1","19388","ETH19388"
"1","19389","ETH19389"
"1","19390","ETH19390"
"1","19391","ETH19391"
"1","19392","ETH19392"
"1","19393","ETH19393"
"1","19394","ETH19394"
"1","19395","ETH19395"
"1","19396","ETH19396"
"1","19397","ETH19397"
"1","19398","ETH19398"
"1","19399","ETH19399"
"1","19400","ETH19400"
"1","19401","ETH19401"
"1","19402","ETH19402"
"1","19403","ETH19403"
"1","19404","ETH19404"
"1","19405","ETH19405"
"1","19406","ETH19406"
"1","19408","ETH19408"
"1","19409","ETH19409"
"1","19410","ETH19410"
"1","19411","ETH19411"
"1","19425","ETH19425"
"1","19426","ETH19426"
"1","19427","ETH19427"
"1","19428","ETH19428"
"1","19429","ETH19429"
"1","19430","ETH19430"
"1","19431","ETH19431"
"1","19432","ETH19432"
"1","19433","ETH19433"
"1","19434","ETH19434"
"1","19435","ETH19435"
"1","19436","ETH19436"
"1","19437","ETH19437"
"1","19438","ETH19438"
"1","19439","ETH19439"
"1","19440","ETH19440"
"1","19441","ETH19441"
"1","19442","ETH19442"
"1","19443","ETH19443"
"1","19444","ETH19444"
"1","19445","ETH19445"
"1","19446","ETH19446"
"1","19447","ETH19447"
"1","19449","ETH19449"
"1","19450","ETH19450"
"1","19451","ETH19451"
"1","19452","ETH19452"
"1","19453","ETH19453"
"1","19454","ETH19454"
"1","19455","ETH19455"
"1","19456","ETH19456"
"1","19457","ETH19457"
"1","19458","ETH19458"
"1","19459","ETH19459"
"1","19460","ETH19460"
"1","19461","ETH19461"
"1","19462","ETH19462"
"1","19463","ETH19463"
"1","19464","ETH19464"
"1","19465","ETH19465"
"1","19466","ETH19466"
"1","19467","ETH19467"
"1","19468","ETH19468"
"1","19469","ETH19469"
"1","19470","ETH19470"
"1","19471","ETH19471"
"1","19472","ETH19472"
"1","19473","ETH19473"
"1","19474","ETH19474"
"1","19475","ETH19475"
"1","19476","ETH19476"
"1","19477","ETH19477"
"1","19478","ETH19478"
"1","19479","ETH19479"
"1","19480","ETH19480"
"1","19481","ETH19481"
"1","19483","ETH19483"
"1","19484","ETH19484"
"1","19485","ETH19485"
"1","19486","ETH19486"
"1","19488","ETH19488"
"1","19489","ETH19489"
"1","19490","ETH19490"
"1","19491","ETH19491"
"1","19492","ETH19492"
"1","19493","ETH19493"
"1","19494","ETH19494"
"1","19495","ETH19495"
"1","19496","ETH19496"
"1","19497","ETH19497"
"1","19498","ETH19498"
"1","19499","ETH19499"
"1","19500","ETH19500"
"1","19501","ETH19501"
"1","19502","ETH19502"
"1","19503","ETH19503"
"1","19504","ETH19504"
"1","19505","ETH19505"
"1","19506","ETH19506"
"1","19507","ETH19507"
"1","19508","ETH19508"
"1","19509","ETH19509"
"1","19511","ETH19511"
"1","19512","ETH19512"
"1","19513","ETH19513"
"1","19514","ETH19514"
"1","19515","ETH19515"
"1","19516","ETH19516"
"1","19517","ETH19517"
"1","19518","ETH19518"
"1","19519","ETH19519"
"1","19521","ETH19521"
"1","19522","ETH19522"
"1","19524","ETH19524"
"1","19525","ETH19525"
"1","19526","ETH19526"
"1","19527","ETH19527"
"1","19528","ETH19528"
"1","19529","ETH19529"
"1","19530","ETH19530"
"1","19531","ETH19531"
"1","19532","ETH19532"
"1","19533","ETH19533"
"1","19535","ETH19535"
"1","19536","ETH19536"
"1","19537","ETH19537"
"1","19538","ETH19538"
"1","19539","ETH19539"
"1","19540","ETH19540"
"1","19541","ETH19541"
"1","19542","ETH19542"
