"Group_name","IU_ID","IU_ID2"
"1","21673","GHA21673"
"1","21674","GHA21674"
"1","21675","GHA21675"
"1","21676","GHA21676"
"1","21677","GHA21677"
"1","21678","GHA21678"
"1","22604","GIN22604"
"1","22605","GIN22605"
"1","22606","GIN22606"
"1","22607","GIN22607"
"1","22608","GIN22608"
"1","22609","GIN22609"
"1","22610","GIN22610"
"1","22611","GIN22611"
"1","22612","GIN22612"
"1","22613","GIN22613"
"1","22614","GIN22614"
"1","22615","GIN22615"
"1","22616","GIN22616"
"1","22617","GIN22617"
"1","22618","GIN22618"
"1","22619","GIN22619"
"1","22620","GIN22620"
"1","22621","GIN22621"
"1","22622","GIN22622"
"1","22623","GIN22623"
"1","22624","GIN22624"
"1","22625","GIN22625"
"1","22626","GIN22626"
"1","22627","GIN22627"
"1","22628","GIN22628"
"1","22629","GIN22629"
"1","22630","GIN22630"
"1","22631","GIN22631"
"1","22632","GIN22632"
"1","22633","GIN22633"
"1","22634","GIN22634"
"1","22635","GIN22635"
"1","22636","GIN22636"
"1","22637","GIN22637"
"1","22638","GIN22638"
"1","22639","GIN22639"
"1","22640","GIN22640"
"1","22641","GIN22641"
"1","47623","GMB47623"
"1","47624","GMB47624"
"1","47625","GMB47625"
"1","47626","GMB47626"
"1","47627","GMB47627"
"1","47628","GMB47628"
"1","47629","GMB47629"
"1","47630","GMB47630"
"1","47631","GMB47631"
"1","47632","GMB47632"
"1","47633","GMB47633"
"1","47634","GMB47634"
"1","47635","GMB47635"
"1","47636","GMB47636"
"1","47637","GMB47637"
"1","47638","GMB47638"
"1","47639","GMB47639"
"1","47641","GMB47641"
"1","47643","GMB47643"
"1","47644","GMB47644"
"1","47645","GMB47645"
"1","47646","GMB47646"
"1","47647","GMB47647"
"1","47648","GMB47648"
"1","47649","GMB47649"
"1","47650","GMB47650"
"1","47651","GMB47651"
"1","47652","GMB47652"
"1","47653","GMB47653"
"1","47654","GMB47654"
"1","47655","GMB47655"
"1","47657","GMB47657"
"1","47658","GMB47658"
"1","47659","GMB47659"
"1","47660","GMB47660"
"1","47661","GMB47661"
"1","47662","GMB47662"
"1","47663","GMB47663"
"1","47664","GMB47664"
"1","47665","GMB47665"
"1","23642","GNB23642"
"1","23643","GNB23643"
"1","23644","GNB23644"
"1","23645","GNB23645"
"1","23646","GNB23646"
"1","23647","GNB23647"
"1","23649","GNB23649"
"1","23650","GNB23650"
"1","23651","GNB23651"
"1","23652","GNB23652"
"1","23653","GNB23653"
"1","23654","GNB23654"
"1","23655","GNB23655"
"1","23656","GNB23656"
"1","23657","GNB23657"
"1","23658","GNB23658"
"1","23659","GNB23659"
"1","23660","GNB23660"
"1","23661","GNB23661"
"1","23662","GNB23662"
"1","23663","GNB23663"
"1","23664","GNB23664"
"1","23665","GNB23665"
"1","23666","GNB23666"
"1","23667","GNB23667"
"1","23668","GNB23668"
"1","23669","GNB23669"
"1","23670","GNB23670"
"1","23671","GNB23671"
"1","23672","GNB23672"
"1","23673","GNB23673"
"1","23674","GNB23674"
"1","23675","GNB23675"
"1","23676","GNB23676"
"1","23677","GNB23677"
"1","23678","GNB23678"
"1","23679","GNB23679"
"1","23680","GNB23680"
"1","23681","GNB23681"
"1","23682","GNB23682"
"1","23683","GNB23683"
"1","23684","GNB23684"
"1","23685","GNB23685"
"1","23686","GNB23686"
"1","23687","GNB23687"
"1","23688","GNB23688"
"1","23689","GNB23689"
"1","23690","GNB23690"
"1","23691","GNB23691"
"1","23692","GNB23692"
"1","23693","GNB23693"
"1","23694","GNB23694"
"1","23695","GNB23695"
"1","23696","GNB23696"
"1","23697","GNB23697"
"1","23698","GNB23698"
"1","23699","GNB23699"
"1","23700","GNB23700"
"1","23701","GNB23701"
"1","23702","GNB23702"
"1","23704","GNB23704"
"1","23705","GNB23705"
"1","23706","GNB23706"
"1","23707","GNB23707"
"1","23708","GNB23708"
"1","23709","GNB23709"
"1","23710","GNB23710"
"1","23711","GNB23711"
"1","23712","GNB23712"
"1","23713","GNB23713"
"1","23714","GNB23714"
"1","23715","GNB23715"
"1","23716","GNB23716"
"1","23717","GNB23717"
"1","23719","GNB23719"
"1","23720","GNB23720"
"1","23721","GNB23721"
"1","23722","GNB23722"
"1","23723","GNB23723"
"1","23724","GNB23724"
"1","23725","GNB23725"
"1","23726","GNB23726"
"1","23727","GNB23727"
"1","23728","GNB23728"
"1","23730","GNB23730"
"1","23731","GNB23731"
"1","23732","GNB23732"
"1","23733","GNB23733"
"1","23734","GNB23734"
"1","23735","GNB23735"
"1","23736","GNB23736"
