"Group_name","IU_ID","IU_ID2"
"1","27857","MDG27857"
"1","27858","MDG27858"
"1","27859","MDG27859"
"1","27860","MDG27860"
"1","27861","MDG27861"
"1","27862","MDG27862"
"1","27863","MDG27863"
"1","27864","MDG27864"
"1","27865","MDG27865"
"1","27866","MDG27866"
"1","27867","MDG27867"
"1","27868","MDG27868"
"1","27869","MDG27869"
"1","27870","MDG27870"
"1","27871","MDG27871"
"1","27872","MDG27872"
"1","27873","MDG27873"
"1","27874","MDG27874"
"1","27875","MDG27875"
"1","27876","MDG27876"
"1","27877","MDG27877"
"1","27878","MDG27878"
"1","27879","MDG27879"
"1","27880","MDG27880"
"1","27881","MDG27881"
"1","27882","MDG27882"
"1","27883","MDG27883"
"1","27884","MDG27884"
"1","27885","MDG27885"
"1","27886","MDG27886"
"1","27887","MDG27887"
"1","27888","MDG27888"
"1","27889","MDG27889"
"1","27890","MDG27890"
"1","27891","MDG27891"
"1","27892","MDG27892"
"1","27893","MDG27893"
"1","27894","MDG27894"
"1","27895","MDG27895"
"1","27896","MDG27896"
"1","27897","MDG27897"
"1","27898","MDG27898"
"1","27899","MDG27899"
"1","27900","MDG27900"
"1","27901","MDG27901"
"1","27902","MDG27902"
"1","27903","MDG27903"
"1","27904","MDG27904"
"1","27905","MDG27905"
"1","27906","MDG27906"
"1","27907","MDG27907"
"1","27908","MDG27908"
"1","27909","MDG27909"
"1","27910","MDG27910"
"1","27911","MDG27911"
"1","27912","MDG27912"
"1","27913","MDG27913"
"1","27914","MDG27914"
"1","27915","MDG27915"
"1","27916","MDG27916"
"1","27917","MDG27917"
"1","27918","MDG27918"
"1","27919","MDG27919"
"1","27920","MDG27920"
"1","27921","MDG27921"
"1","27922","MDG27922"
"1","27923","MDG27923"
"1","27924","MDG27924"
"1","27925","MDG27925"
"1","27926","MDG27926"
"1","27927","MDG27927"
"1","27928","MDG27928"
"1","27929","MDG27929"
"1","27930","MDG27930"
"1","27931","MDG27931"
"1","27932","MDG27932"
"1","27933","MDG27933"
"1","27934","MDG27934"
"1","27935","MDG27935"
"1","27936","MDG27936"
"1","27937","MDG27937"
"1","27938","MDG27938"
"1","27939","MDG27939"
"1","27940","MDG27940"
"1","27941","MDG27941"
"1","27942","MDG27942"
"1","27943","MDG27943"
"1","27944","MDG27944"
"1","27945","MDG27945"
"1","27946","MDG27946"
"1","29972","MLI29972"
"1","29973","MLI29973"
"1","29974","MLI29974"
"1","29975","MLI29975"
"1","29976","MLI29976"
"1","29977","MLI29977"
"1","29978","MLI29978"
"1","29979","MLI29979"
"1","29980","MLI29980"
"1","29981","MLI29981"
"1","29982","MLI29982"
"1","29983","MLI29983"
"1","29984","MLI29984"
"1","29985","MLI29985"
"1","29986","MLI29986"
"1","29987","MLI29987"
"1","29988","MLI29988"
"1","29989","MLI29989"
"1","29990","MLI29990"
"1","29991","MLI29991"
"1","29992","MLI29992"
"1","29993","MLI29993"
"1","29994","MLI29994"
"1","29995","MLI29995"
"1","29996","MLI29996"
"1","29997","MLI29997"
"1","29998","MLI29998"
"1","29999","MLI29999"
"1","30000","MLI30000"
"1","30001","MLI30001"
"1","30002","MLI30002"
"1","30003","MLI30003"
"1","30004","MLI30004"
"1","30005","MLI30005"
"1","30006","MLI30006"
"1","30007","MLI30007"
"1","30008","MLI30008"
"1","30009","MLI30009"
"1","30010","MLI30010"
"1","30011","MLI30011"
"1","30012","MLI30012"
"1","30013","MLI30013"
"1","30014","MLI30014"
"1","30015","MLI30015"
"1","30016","MLI30016"
"1","30017","MLI30017"
"1","30018","MLI30018"
"1","30019","MLI30019"
"1","30020","MLI30020"
"1","30021","MLI30021"
"1","30022","MLI30022"
"1","30023","MLI30023"
"1","30024","MLI30024"
"1","30025","MLI30025"
"1","30026","MLI30026"
"1","30027","MLI30027"
"1","30028","MLI30028"
"1","30029","MLI30029"
"1","30030","MLI30030"
"1","30031","MLI30031"
"1","30032","MLI30032"
"1","30033","MLI30033"
"1","30034","MLI30034"
"1","30035","MLI30035"
"1","30036","MLI30036"
"1","30037","MLI30037"
"1","30038","MLI30038"
"1","30039","MLI30039"
"1","30040","MLI30040"
"1","30041","MLI30041"
"1","30042","MLI30042"
"1","30043","MLI30043"
"1","30044","MLI30044"
"1","30045","MLI30045"
"1","30046","MLI30046"
"1","33098","MOZ33098"
"1","33100","MOZ33100"
"1","33101","MOZ33101"
"1","33102","MOZ33102"
"1","33103","MOZ33103"
"1","33104","MOZ33104"
"1","33105","MOZ33105"
"1","33106","MOZ33106"
"1","33107","MOZ33107"
"1","33108","MOZ33108"
