"Group_name","IU_ID","IU_ID2"
"1","40177","SEN40177"
"1","40178","SEN40178"
"1","40179","SEN40179"
"1","40180","SEN40180"
"1","40181","SEN40181"
"1","40182","SEN40182"
"1","40183","SEN40183"
"1","40184","SEN40184"
"1","40185","SEN40185"
"1","40186","SEN40186"
"1","40187","SEN40187"
"1","40188","SEN40188"
"1","40189","SEN40189"
"1","40190","SEN40190"
"1","40191","SEN40191"
"1","40192","SEN40192"
"1","40193","SEN40193"
"1","40194","SEN40194"
"1","40195","SEN40195"
"1","40196","SEN40196"
"1","40197","SEN40197"
"1","40198","SEN40198"
"1","40199","SEN40199"
"1","40200","SEN40200"
"1","40201","SEN40201"
"1","40202","SEN40202"
"1","40203","SEN40203"
"1","40205","SEN40205"
"1","40206","SEN40206"
"1","40207","SEN40207"
"1","40208","SEN40208"
"1","40209","SEN40209"
"1","40210","SEN40210"
"1","40211","SEN40211"
"1","40212","SEN40212"
"1","40213","SEN40213"
"1","40214","SEN40214"
"1","40215","SEN40215"
"1","40216","SEN40216"
"1","40217","SEN40217"
"1","40218","SEN40218"
"1","40219","SEN40219"
"1","40220","SEN40220"
"1","40221","SEN40221"
"1","40222","SEN40222"
"1","40223","SEN40223"
"1","40224","SEN40224"
"1","40225","SEN40225"
"1","40226","SEN40226"
"1","40227","SEN40227"
"1","40228","SEN40228"
"1","40229","SEN40229"
"1","40230","SEN40230"
"1","42253","SLE42253"
"1","42254","SLE42254"
"1","42255","SLE42255"
"1","42256","SLE42256"
"1","42257","SLE42257"
"1","42258","SLE42258"
"1","42259","SLE42259"
"1","42260","SLE42260"
"1","42261","SLE42261"
"1","42262","SLE42262"
"1","42263","SLE42263"
"1","42264","SLE42264"
"1","42265","SLE42265"
"1","42266","SLE42266"
"1","42267","SLE42267"
"1","42268","SLE42268"
"1","44319","SSD44319"
"1","44320","SSD44320"
"1","44321","SSD44321"
"1","44322","SSD44322"
"1","44323","SSD44323"
"1","44324","SSD44324"
"1","44325","SSD44325"
"1","44326","SSD44326"
"1","44327","SSD44327"
"1","44328","SSD44328"
"1","44329","SSD44329"
"1","44330","SSD44330"
"1","44331","SSD44331"
"1","44332","SSD44332"
"1","44333","SSD44333"
"1","44334","SSD44334"
"1","44335","SSD44335"
"1","44336","SSD44336"
"1","44338","SSD44338"
"1","44341","SSD44341"
"1","44342","SSD44342"
"1","44343","SSD44343"
"1","44344","SSD44344"
"1","44346","SSD44346"
"1","44347","SSD44347"
"1","44349","SSD44349"
"1","44350","SSD44350"
"1","44351","SSD44351"
"1","44352","SSD44352"
"1","44353","SSD44353"
"1","44354","SSD44354"
"1","44355","SSD44355"
"1","44356","SSD44356"
"1","44357","SSD44357"
"1","44358","SSD44358"
"1","44359","SSD44359"
"1","44360","SSD44360"
"1","44361","SSD44361"
"1","44362","SSD44362"
"1","44363","SSD44363"
"1","44364","SSD44364"
"1","44365","SSD44365"
"1","44366","SSD44366"
"1","44367","SSD44367"
"1","44368","SSD44368"
"1","44369","SSD44369"
"1","44370","SSD44370"
"1","44371","SSD44371"
"1","44372","SSD44372"
"1","44373","SSD44373"
"1","44374","SSD44374"
"1","44375","SSD44375"
"1","44376","SSD44376"
"1","44377","SSD44377"
"1","44378","SSD44378"
"1","44379","SSD44379"
"1","44380","SSD44380"
"1","44381","SSD44381"
"1","44382","SSD44382"
"1","44383","SSD44383"
"1","44384","SSD44384"
"1","44385","SSD44385"
"1","44386","SSD44386"
"1","44387","SSD44387"
"1","44388","SSD44388"
"1","44389","SSD44389"
"1","44390","SSD44390"
"1","44391","SSD44391"
"1","44392","SSD44392"
"1","44393","SSD44393"
"1","44394","SSD44394"
"1","44395","SSD44395"
"1","44396","SSD44396"
"1","44397","SSD44397"
"1","44399","SSD44399"
"1","44400","SSD44400"
"1","44401","SSD44401"
"1","44402","SSD44402"
"1","44403","SSD44403"
"1","39142","STP39142"
"1","39143","STP39143"
"1","39144","STP39144"
"1","39145","STP39145"
"1","39146","STP39146"
"1","39147","STP39147"
"1","39148","STP39148"
"1","10660","TCD10660"
"1","10661","TCD10661"
"1","10662","TCD10662"
"1","10663","TCD10663"
"1","10664","TCD10664"
"1","10665","TCD10665"
"1","10666","TCD10666"
"1","10667","TCD10667"
"1","10668","TCD10668"
"1","10669","TCD10669"
"1","10670","TCD10670"
"1","10671","TCD10671"
"1","10672","TCD10672"
"1","10673","TCD10673"
"1","10674","TCD10674"
"1","10675","TCD10675"
"1","10676","TCD10676"
"1","10677","TCD10677"
"1","10678","TCD10678"
"1","10679","TCD10679"
