"Group_name","IU_ID","IU_ID2"
"1","10680","TCD10680"
"1","10681","TCD10681"
"1","10682","TCD10682"
"1","10683","TCD10683"
"1","10684","TCD10684"
"1","10685","TCD10685"
"1","10686","TCD10686"
"1","10687","TCD10687"
"1","10688","TCD10688"
"1","10689","TCD10689"
"1","10690","TCD10690"
"1","10691","TCD10691"
"1","10692","TCD10692"
"1","10693","TCD10693"
"1","10694","TCD10694"
"1","10695","TCD10695"
"1","10696","TCD10696"
"1","10697","TCD10697"
"1","10698","TCD10698"
"1","10699","TCD10699"
"1","10700","TCD10700"
"1","10701","TCD10701"
"1","10702","TCD10702"
"1","10703","TCD10703"
"1","10704","TCD10704"
"1","10705","TCD10705"
"1","10706","TCD10706"
"1","10707","TCD10707"
"1","10708","TCD10708"
"1","10709","TCD10709"
"1","10710","TCD10710"
"1","10711","TCD10711"
"1","10712","TCD10712"
"1","10713","TCD10713"
"1","10714","TCD10714"
"1","10715","TCD10715"
"1","10716","TCD10716"
"1","10717","TCD10717"
"1","10718","TCD10718"
"1","10719","TCD10719"
"1","10720","TCD10720"
"1","10721","TCD10721"
"1","10722","TCD10722"
"1","10723","TCD10723"
"1","10724","TCD10724"
"1","10725","TCD10725"
"1","10726","TCD10726"
"1","10727","TCD10727"
"1","10728","TCD10728"
"1","10729","TCD10729"
"1","10730","TCD10730"
"1","10731","TCD10731"
"1","10732","TCD10732"
"1","10733","TCD10733"
"1","10734","TCD10734"
"1","10735","TCD10735"
"1","10736","TCD10736"
"1","10737","TCD10737"
"1","10738","TCD10738"
"1","10739","TCD10739"
"1","10740","TCD10740"
"1","10741","TCD10741"
"1","10742","TCD10742"
"1","10743","TCD10743"
"1","10745","TCD10745"
"1","10746","TCD10746"
"1","10747","TCD10747"
"1","10748","TCD10748"
"1","10749","TCD10749"
"1","10750","TCD10750"
"1","10751","TCD10751"
"1","10752","TCD10752"
"1","10753","TCD10753"
"1","10754","TCD10754"
"1","10755","TCD10755"
"1","10756","TCD10756"
"1","10757","TCD10757"
"1","10758","TCD10758"
"1","10759","TCD10759"
"1","10760","TCD10760"
"1","10761","TCD10761"
"1","10762","TCD10762"
"1","10763","TCD10763"
"1","10764","TCD10764"
"1","10765","TCD10765"
"1","10766","TCD10766"
"1","10767","TCD10767"
"1","10768","TCD10768"
"1","10769","TCD10769"
"1","10770","TCD10770"
"1","10771","TCD10771"
"1","10772","TCD10772"
"1","10773","TCD10773"
"1","10774","TCD10774"
"1","10775","TCD10775"
"1","10776","TCD10776"
"1","10777","TCD10777"
"1","10778","TCD10778"
"1","10779","TCD10779"
"1","10780","TCD10780"
"1","10781","TCD10781"
"1","10782","TCD10782"
"1","10783","TCD10783"
"1","10784","TCD10784"
"1","10785","TCD10785"
"1","10786","TCD10786"
"1","10787","TCD10787"
"1","10788","TCD10788"
"1","10789","TCD10789"
"1","10790","TCD10790"
"1","48666","TGO48666"
"1","48668","TGO48668"
"1","48669","TGO48669"
"1","48670","TGO48670"
"1","48671","TGO48671"
"1","48672","TGO48672"
"1","48673","TGO48673"
"1","48674","TGO48674"
"1","48675","TGO48675"
"1","48676","TGO48676"
"1","48677","TGO48677"
"1","48678","TGO48678"
"1","48680","TGO48680"
"1","48681","TGO48681"
"1","48682","TGO48682"
"1","48683","TGO48683"
"1","48684","TGO48684"
"1","48685","TGO48685"
"1","48686","TGO48686"
"1","48687","TGO48687"
"1","48688","TGO48688"
"1","48689","TGO48689"
"1","48690","TGO48690"
"1","48691","TGO48691"
"1","48692","TGO48692"
"1","48693","TGO48693"
"1","48694","TGO48694"
"1","48695","TGO48695"
"1","48696","TGO48696"
"1","48697","TGO48697"
"1","48698","TGO48698"
"1","48699","TGO48699"
"1","48700","TGO48700"
"1","48701","TGO48701"
"1","48704","TGO48704"
"1","48705","TGO48705"
"1","48706","TGO48706"
"1","48707","TGO48707"
"1","48708","TGO48708"
"1","48709","TGO48709"
"1","48710","TGO48710"
"1","48711","TGO48711"
"1","48712","TGO48712"
"1","48713","TGO48713"
"1","46457","TZA46457"
"1","46459","TZA46459"
"1","46460","TZA46460"
"1","46461","TZA46461"
"1","46462","TZA46462"
"1","46463","TZA46463"
"1","46464","TZA46464"
"1","46465","TZA46465"
"1","46466","TZA46466"
"1","46467","TZA46467"
"1","46468","TZA46468"
"1","46469","TZA46469"
"1","46470","TZA46470"
"1","46471","TZA46471"
"1","46472","TZA46472"
"1","46473","TZA46473"
"1","46474","TZA46474"
"1","46475","TZA46475"
"1","46476","TZA46476"
"1","46477","TZA46477"
"1","46478","TZA46478"
