"Group_name","IU_ID","IU_ID2"
"1","50822","ZMB50822"
"1","50823","ZMB50823"
"1","50824","ZMB50824"
"1","50825","ZMB50825"
"1","50826","ZMB50826"
"1","50827","ZMB50827"
"1","50828","ZMB50828"
"1","50829","ZMB50829"
"1","50830","ZMB50830"
"1","50831","ZMB50831"
"1","50832","ZMB50832"
"1","50833","ZMB50833"
"1","50834","ZMB50834"
"1","50835","ZMB50835"
"1","50836","ZMB50836"
"1","50837","ZMB50837"
"1","50838","ZMB50838"
"1","50839","ZMB50839"
"1","50840","ZMB50840"
"1","50841","ZMB50841"
"1","50842","ZMB50842"
"1","50843","ZMB50843"
"1","50844","ZMB50844"
"1","50845","ZMB50845"
"1","50846","ZMB50846"
"1","50847","ZMB50847"
"1","50848","ZMB50848"
"1","50849","ZMB50849"
"1","50850","ZMB50850"
"1","50851","ZMB50851"
"1","50852","ZMB50852"
"1","50854","ZMB50854"
"1","50855","ZMB50855"
"1","50856","ZMB50856"
"1","50857","ZMB50857"
"1","50858","ZMB50858"
"1","50859","ZMB50859"
"1","50860","ZMB50860"
"1","50861","ZMB50861"
"1","50862","ZMB50862"
"1","50863","ZMB50863"
"1","50864","ZMB50864"
"1","50865","ZMB50865"
"1","50866","ZMB50866"
"1","50867","ZMB50867"
"1","50868","ZMB50868"
"1","50869","ZMB50869"
"1","50870","ZMB50870"
"1","50871","ZMB50871"
"1","50872","ZMB50872"
"1","50873","ZMB50873"
"1","50874","ZMB50874"
"1","50875","ZMB50875"
"1","50876","ZMB50876"
"1","50877","ZMB50877"
"1","50878","ZMB50878"
"1","50879","ZMB50879"
"1","50880","ZMB50880"
"1","50881","ZMB50881"
"1","50882","ZMB50882"
"1","50883","ZMB50883"
"1","50884","ZMB50884"
"1","50885","ZMB50885"
"1","50886","ZMB50886"
"1","50887","ZMB50887"
"1","50888","ZMB50888"
"1","50889","ZMB50889"
"1","50890","ZMB50890"
"1","50891","ZMB50891"
"1","53166","ZMB53166"
"1","53167","ZMB53167"
"1","53168","ZMB53168"
"1","53169","ZMB53169"
"1","53170","ZMB53170"
"1","53171","ZMB53171"
"1","53172","ZMB53172"
"1","53173","ZMB53173"
"1","53174","ZMB53174"
"1","53175","ZMB53175"
"1","53176","ZMB53176"
"1","53177","ZMB53177"
"1","53178","ZMB53178"
"1","53179","ZMB53179"
"1","53180","ZMB53180"
"1","53181","ZMB53181"
"1","53182","ZMB53182"
"1","53183","ZMB53183"
"1","53184","ZMB53184"
"1","53185","ZMB53185"
"1","53186","ZMB53186"
"1","53187","ZMB53187"
"1","53188","ZMB53188"
"1","53189","ZMB53189"
"1","53190","ZMB53190"
"1","53191","ZMB53191"
"1","53192","ZMB53192"
"1","53193","ZMB53193"
"1","53194","ZMB53194"
"1","53195","ZMB53195"
"1","53196","ZMB53196"
"1","52902","ZWE52902"
"1","52903","ZWE52903"
"1","52904","ZWE52904"
"1","52905","ZWE52905"
"1","52906","ZWE52906"
"1","52907","ZWE52907"
"1","52908","ZWE52908"
"1","52909","ZWE52909"
"1","52910","ZWE52910"
"1","52911","ZWE52911"
"1","52912","ZWE52912"
"1","52913","ZWE52913"
"1","52914","ZWE52914"
"1","52915","ZWE52915"
"1","52916","ZWE52916"
"1","52917","ZWE52917"
"1","52918","ZWE52918"
"1","52919","ZWE52919"
"1","52920","ZWE52920"
"1","52921","ZWE52921"
"1","52922","ZWE52922"
"1","52923","ZWE52923"
"1","52924","ZWE52924"
"1","52925","ZWE52925"
"1","52926","ZWE52926"
"1","52927","ZWE52927"
"1","52928","ZWE52928"
"1","52929","ZWE52929"
"1","52930","ZWE52930"
"1","52931","ZWE52931"
"1","52932","ZWE52932"
"1","52933","ZWE52933"
"1","52934","ZWE52934"
"1","52935","ZWE52935"
"1","52936","ZWE52936"
"1","52937","ZWE52937"
"1","52938","ZWE52938"
"1","52939","ZWE52939"
"1","52940","ZWE52940"
"1","52941","ZWE52941"
"1","52942","ZWE52942"
"1","52943","ZWE52943"
"1","52944","ZWE52944"
"1","52945","ZWE52945"
"1","52946","ZWE52946"
"1","52947","ZWE52947"
"1","52948","ZWE52948"
"1","52949","ZWE52949"
"1","52950","ZWE52950"
"1","52951","ZWE52951"
"1","52952","ZWE52952"
"1","52953","ZWE52953"
"1","52954","ZWE52954"
"1","52955","ZWE52955"
"1","52956","ZWE52956"
"1","52957","ZWE52957"
"1","52958","ZWE52958"
"1","52959","ZWE52959"
"1","52960","ZWE52960"
"1","52961","ZWE52961"
"1","52962","ZWE52962"
"1","52963","ZWE52963"
"1","52965","ZWE52965"
