"Group_name","IU_ID","IU_ID2"
"1","15454","CIV15454"
"1","15455","CIV15455"
"1","15456","CIV15456"
"1","15457","CIV15457"
"1","15458","CIV15458"
"1","15459","CIV15459"
"1","15461","CIV15461"
"1","15462","CIV15462"
"1","15463","CIV15463"
"1","13818","COD13818"
"1","13823","COD13823"
"1","13825","COD13825"
"1","13827","COD13827"
"1","13829","COD13829"
"1","13836","COD13836"
"1","13837","COD13837"
"1","13839","COD13839"
"1","13840","COD13840"
"1","13841","COD13841"
"1","13842","COD13842"
"1","13845","COD13845"
"1","13846","COD13846"
"1","13849","COD13849"
"1","13850","COD13850"
"1","13852","COD13852"
"1","13853","COD13853"
"1","13854","COD13854"
"1","13855","COD13855"
"1","13856","COD13856"
"1","13857","COD13857"
"1","13858","COD13858"
"1","13859","COD13859"
"1","13860","COD13860"
"1","13863","COD13863"
"1","13867","COD13867"
"1","13868","COD13868"
"1","13870","COD13870"
"1","13875","COD13875"
"1","13876","COD13876"
"1","13877","COD13877"
"1","13878","COD13878"
"1","13880","COD13880"
"1","13881","COD13881"
"1","13885","COD13885"
"1","13887","COD13887"
"1","13888","COD13888"
"1","13889","COD13889"
"1","13892","COD13892"
"1","13893","COD13893"
"1","13894","COD13894"
"1","13897","COD13897"
"1","13901","COD13901"
"1","13905","COD13905"
"1","13906","COD13906"
"1","13908","COD13908"
"1","13913","COD13913"
"1","13914","COD13914"
"1","13916","COD13916"
"1","13917","COD13917"
"1","13922","COD13922"
"1","13931","COD13931"
"1","13932","COD13932"
"1","13934","COD13934"
"1","13935","COD13935"
"1","13936","COD13936"
"1","13937","COD13937"
"1","13938","COD13938"
"1","13939","COD13939"
"1","13941","COD13941"
"1","13942","COD13942"
"1","13947","COD13947"
"1","13948","COD13948"
"1","13951","COD13951"
"1","13954","COD13954"
"1","13956","COD13956"
"1","13958","COD13958"
"1","13959","COD13959"
"1","13961","COD13961"
"1","13965","COD13965"
"1","13967","COD13967"
"1","13968","COD13968"
"1","13969","COD13969"
"1","13972","COD13972"
"1","13973","COD13973"
"1","13974","COD13974"
"1","13976","COD13976"
"1","13977","COD13977"
"1","13978","COD13978"
"1","13979","COD13979"
"1","13981","COD13981"
"1","13982","COD13982"
"1","13985","COD13985"
"1","13987","COD13987"
"1","13994","COD13994"
"1","13995","COD13995"
"1","13997","COD13997"
"1","13999","COD13999"
"1","14001","COD14001"
"1","14003","COD14003"
"1","14004","COD14004"
"1","14006","COD14006"
"1","14008","COD14008"
"1","14009","COD14009"
"1","14011","COD14011"
"1","14013","COD14013"
"1","14014","COD14014"
"1","14017","COD14017"
"1","14019","COD14019"
"1","14020","COD14020"
"1","14021","COD14021"
"1","14023","COD14023"
"1","14027","COD14027"
"1","14030","COD14030"
"1","14031","COD14031"
"1","14032","COD14032"
"1","14033","COD14033"
"1","14035","COD14035"
"1","14040","COD14040"
"1","14041","COD14041"
"1","14043","COD14043"
"1","14044","COD14044"
"1","14045","COD14045"
"1","14048","COD14048"
"1","14049","COD14049"
"1","14050","COD14050"
"1","14052","COD14052"
"1","14053","COD14053"
"1","14057","COD14057"
"1","14063","COD14063"
"1","14064","COD14064"
"1","14065","COD14065"
"1","14067","COD14067"
"1","14068","COD14068"
"1","14069","COD14069"
"1","14071","COD14071"
"1","14078","COD14078"
"1","14083","COD14083"
"1","14084","COD14084"
"1","14086","COD14086"
"1","14088","COD14088"
"1","14091","COD14091"
"1","14092","COD14092"
"1","14093","COD14093"
"1","14097","COD14097"
"1","14100","COD14100"
"1","14104","COD14104"
