"Group_name","IU_ID","IU_ID2"
"1","14105","COD14105"
"1","14108","COD14108"
"1","14110","COD14110"
"1","14119","COD14119"
"1","14124","COD14124"
"1","14158","COD14158"
"1","14167","COD14167"
"1","14170","COD14170"
"1","14171","COD14171"
"1","14172","COD14172"
"1","14176","COD14176"
"1","14178","COD14178"
"1","14184","COD14184"
"1","14186","COD14186"
"1","14190","COD14190"
"1","14191","COD14191"
"1","14210","COD14210"
"1","14213","COD14213"
"1","14214","COD14214"
"1","14215","COD14215"
"1","14219","COD14219"
"1","14226","COD14226"
"1","14230","COD14230"
"1","14238","COD14238"
"1","14239","COD14239"
"1","14240","COD14240"
"1","14246","COD14246"
"1","14251","COD14251"
"1","14252","COD14252"
"1","14255","COD14255"
"1","14267","COD14267"
"1","14268","COD14268"
"1","14276","COD14276"
"1","14277","COD14277"
"1","14278","COD14278"
"1","14279","COD14279"
"1","14285","COD14285"
"1","14288","COD14288"
"1","14290","COD14290"
"1","14304","COD14304"
"1","14308","COD14308"
"1","14332","COD14332"
"1","14340","COD14340"
"1","12763","COG12763"
"1","12765","COG12765"
"1","12768","COG12768"
"1","12773","COG12773"
"1","12775","COG12775"
"1","12777","COG12777"
"1","12778","COG12778"
"1","12780","COG12780"
"1","12784","COG12784"
"1","12785","COG12785"
"1","12786","COG12786"
"1","12789","COG12789"
"1","12791","COG12791"
"1","12798","COG12798"
"1","12800","COG12800"
"1","12802","COG12802"
"1","12803","COG12803"
"1","12805","COG12805"
"1","12806","COG12806"
"1","12807","COG12807"
"1","12808","COG12808"
"1","12810","COG12810"
"1","12811","COG12811"
"1","12813","COG12813"
"1","12824","COG12824"
"1","12825","COG12825"
"1","12826","COG12826"
"1","12828","COG12828"
"1","12829","COG12829"
"1","12830","COG12830"
"1","12831","COG12831"
"1","12832","COG12832"
"1","12833","COG12833"
"1","12834","COG12834"
"1","12835","COG12835"
"1","12836","COG12836"
"1","12837","COG12837"
"1","12838","COG12838"
"1","12839","COG12839"
"1","12840","COG12840"
"1","12841","COG12841"
"1","12842","COG12842"
"1","12843","COG12843"
"1","12844","COG12844"
"1","12846","COG12846"
"1","12847","COG12847"
"1","12848","COG12848"
"1","12849","COG12849"
"1","12850","COG12850"
"1","17437","ERI17437"
"1","17440","ERI17440"
"1","17442","ERI17442"
"1","17443","ERI17443"
"1","17444","ERI17444"
"1","17446","ERI17446"
"1","17450","ERI17450"
"1","17451","ERI17451"
"1","17452","ERI17452"
"1","17460","ERI17460"
"1","17461","ERI17461"
"1","17462","ERI17462"
"1","17463","ERI17463"
"1","17466","ERI17466"
"1","17467","ERI17467"
"1","17468","ERI17468"
"1","17472","ERI17472"
"1","17473","ERI17473"
"1","17474","ERI17474"
"1","17476","ERI17476"
"1","17479","ERI17479"
"1","17481","ERI17481"
"1","17482","ERI17482"
"1","18489","ETH18489"
"1","18494","ETH18494"
"1","18495","ETH18495"
"1","18500","ETH18500"
"1","18501","ETH18501"
"1","18502","ETH18502"
"1","18504","ETH18504"
"1","18507","ETH18507"
"1","18512","ETH18512"
"1","18515","ETH18515"
"1","18521","ETH18521"
"1","18525","ETH18525"
"1","18527","ETH18527"
"1","18531","ETH18531"
"1","18532","ETH18532"
"1","18533","ETH18533"
"1","18535","ETH18535"
"1","18536","ETH18536"
"1","18537","ETH18537"
"1","18538","ETH18538"
"1","18539","ETH18539"
"1","18541","ETH18541"
"1","18542","ETH18542"
"1","18544","ETH18544"
"1","18546","ETH18546"
"1","18547","ETH18547"
"1","18548","ETH18548"
"1","18549","ETH18549"
"1","18551","ETH18551"
"1","18555","ETH18555"
"1","18559","ETH18559"
