"Group_name","IU_ID","IU_ID2"
"1","18560","ETH18560"
"1","18561","ETH18561"
"1","18563","ETH18563"
"1","18567","ETH18567"
"1","18568","ETH18568"
"1","18569","ETH18569"
"1","18571","ETH18571"
"1","18572","ETH18572"
"1","18573","ETH18573"
"1","18574","ETH18574"
"1","18575","ETH18575"
"1","18576","ETH18576"
"1","18577","ETH18577"
"1","18578","ETH18578"
"1","18579","ETH18579"
"1","18581","ETH18581"
"1","18583","ETH18583"
"1","18587","ETH18587"
"1","18588","ETH18588"
"1","18589","ETH18589"
"1","18590","ETH18590"
"1","18591","ETH18591"
"1","18592","ETH18592"
"1","18593","ETH18593"
"1","18594","ETH18594"
"1","18595","ETH18595"
"1","18596","ETH18596"
"1","18597","ETH18597"
"1","18601","ETH18601"
"1","18603","ETH18603"
"1","18604","ETH18604"
"1","18605","ETH18605"
"1","18606","ETH18606"
"1","18607","ETH18607"
"1","18610","ETH18610"
"1","18612","ETH18612"
"1","18613","ETH18613"
"1","18614","ETH18614"
"1","18615","ETH18615"
"1","18616","ETH18616"
"1","18619","ETH18619"
"1","18620","ETH18620"
"1","18625","ETH18625"
"1","18627","ETH18627"
"1","18628","ETH18628"
"1","18631","ETH18631"
"1","18632","ETH18632"
"1","18637","ETH18637"
"1","18638","ETH18638"
"1","18640","ETH18640"
"1","18642","ETH18642"
"1","18644","ETH18644"
"1","18646","ETH18646"
"1","18647","ETH18647"
"1","18648","ETH18648"
"1","18650","ETH18650"
"1","18651","ETH18651"
"1","18653","ETH18653"
"1","18654","ETH18654"
"1","18655","ETH18655"
"1","18656","ETH18656"
"1","18658","ETH18658"
"1","18659","ETH18659"
"1","18662","ETH18662"
"1","18663","ETH18663"
"1","18664","ETH18664"
"1","18665","ETH18665"
"1","18672","ETH18672"
"1","18674","ETH18674"
"1","18676","ETH18676"
"1","18677","ETH18677"
"1","18678","ETH18678"
"1","18679","ETH18679"
"1","18680","ETH18680"
"1","18681","ETH18681"
"1","18682","ETH18682"
"1","18684","ETH18684"
"1","18685","ETH18685"
"1","18692","ETH18692"
"1","18695","ETH18695"
"1","18699","ETH18699"
"1","18700","ETH18700"
"1","18702","ETH18702"
"1","18704","ETH18704"
"1","18711","ETH18711"
"1","18715","ETH18715"
"1","18717","ETH18717"
"1","18718","ETH18718"
"1","18721","ETH18721"
"1","18723","ETH18723"
"1","18726","ETH18726"
"1","18727","ETH18727"
"1","18728","ETH18728"
"1","18729","ETH18729"
"1","18730","ETH18730"
"1","18732","ETH18732"
"1","18733","ETH18733"
"1","18737","ETH18737"
"1","18738","ETH18738"
"1","18739","ETH18739"
"1","18740","ETH18740"
"1","18743","ETH18743"
"1","18745","ETH18745"
"1","18747","ETH18747"
"1","18752","ETH18752"
"1","18757","ETH18757"
"1","18759","ETH18759"
"1","18760","ETH18760"
"1","18766","ETH18766"
"1","18767","ETH18767"
"1","18768","ETH18768"
"1","18769","ETH18769"
"1","18772","ETH18772"
"1","18773","ETH18773"
"1","18774","ETH18774"
"1","18777","ETH18777"
"1","18780","ETH18780"
"1","18782","ETH18782"
"1","18785","ETH18785"
"1","18787","ETH18787"
"1","18788","ETH18788"
"1","18790","ETH18790"
"1","18791","ETH18791"
"1","18797","ETH18797"
"1","18798","ETH18798"
"1","18800","ETH18800"
"1","18803","ETH18803"
"1","18805","ETH18805"
"1","18806","ETH18806"
"1","18807","ETH18807"
"1","18809","ETH18809"
"1","18813","ETH18813"
"1","18814","ETH18814"
"1","18816","ETH18816"
"1","18819","ETH18819"
"1","18823","ETH18823"
"1","18824","ETH18824"
"1","18825","ETH18825"
"1","18826","ETH18826"
"1","18827","ETH18827"
"1","18829","ETH18829"
"1","18830","ETH18830"
"1","18831","ETH18831"
"1","18835","ETH18835"
"1","18836","ETH18836"
"1","18838","ETH18838"
