"Group_name","IU_ID","IU_ID2"
"1","18841","ETH18841"
"1","18844","ETH18844"
"1","18845","ETH18845"
"1","18847","ETH18847"
"1","18851","ETH18851"
"1","18853","ETH18853"
"1","18861","ETH18861"
"1","18862","ETH18862"
"1","18863","ETH18863"
"1","18864","ETH18864"
"1","18865","ETH18865"
"1","18866","ETH18866"
"1","18868","ETH18868"
"1","18874","ETH18874"
"1","18875","ETH18875"
"1","18876","ETH18876"
"1","18880","ETH18880"
"1","18881","ETH18881"
"1","18882","ETH18882"
"1","18883","ETH18883"
"1","18885","ETH18885"
"1","18886","ETH18886"
"1","18887","ETH18887"
"1","18888","ETH18888"
"1","18893","ETH18893"
"1","18894","ETH18894"
"1","18895","ETH18895"
"1","18897","ETH18897"
"1","18898","ETH18898"
"1","18899","ETH18899"
"1","18901","ETH18901"
"1","18902","ETH18902"
"1","18906","ETH18906"
"1","18908","ETH18908"
"1","18909","ETH18909"
"1","18910","ETH18910"
"1","18911","ETH18911"
"1","18912","ETH18912"
"1","18913","ETH18913"
"1","18914","ETH18914"
"1","18915","ETH18915"
"1","18917","ETH18917"
"1","18918","ETH18918"
"1","18919","ETH18919"
"1","18920","ETH18920"
"1","18921","ETH18921"
"1","18922","ETH18922"
"1","18923","ETH18923"
"1","18925","ETH18925"
"1","18928","ETH18928"
"1","18930","ETH18930"
"1","18936","ETH18936"
"1","18939","ETH18939"
"1","18942","ETH18942"
"1","18944","ETH18944"
"1","18947","ETH18947"
"1","18948","ETH18948"
"1","18951","ETH18951"
"1","18953","ETH18953"
"1","18955","ETH18955"
"1","18956","ETH18956"
"1","18958","ETH18958"
"1","18961","ETH18961"
"1","18962","ETH18962"
"1","18963","ETH18963"
"1","18964","ETH18964"
"1","18967","ETH18967"
"1","18969","ETH18969"
"1","18980","ETH18980"
"1","18981","ETH18981"
"1","18985","ETH18985"
"1","18987","ETH18987"
"1","18989","ETH18989"
"1","18993","ETH18993"
"1","18998","ETH18998"
"1","18999","ETH18999"
"1","19000","ETH19000"
"1","19005","ETH19005"
"1","19007","ETH19007"
"1","19009","ETH19009"
"1","19011","ETH19011"
"1","19012","ETH19012"
"1","19013","ETH19013"
"1","19014","ETH19014"
"1","19015","ETH19015"
"1","19016","ETH19016"
"1","19022","ETH19022"
"1","19025","ETH19025"
"1","19026","ETH19026"
"1","19028","ETH19028"
"1","19029","ETH19029"
"1","19030","ETH19030"
"1","19031","ETH19031"
"1","19036","ETH19036"
"1","19037","ETH19037"
"1","19040","ETH19040"
"1","19042","ETH19042"
"1","19052","ETH19052"
"1","19053","ETH19053"
"1","19055","ETH19055"
"1","19057","ETH19057"
"1","19058","ETH19058"
"1","19063","ETH19063"
"1","19066","ETH19066"
"1","19067","ETH19067"
"1","19070","ETH19070"
"1","19073","ETH19073"
"1","19077","ETH19077"
"1","19078","ETH19078"
"1","19079","ETH19079"
"1","19081","ETH19081"
"1","19083","ETH19083"
"1","19085","ETH19085"
"1","19088","ETH19088"
"1","19090","ETH19090"
"1","19097","ETH19097"
"1","19099","ETH19099"
"1","19111","ETH19111"
"1","19114","ETH19114"
"1","19115","ETH19115"
"1","19116","ETH19116"
"1","19118","ETH19118"
"1","19119","ETH19119"
"1","19122","ETH19122"
"1","19125","ETH19125"
"1","19128","ETH19128"
"1","19133","ETH19133"
"1","19136","ETH19136"
"1","19137","ETH19137"
"1","19138","ETH19138"
"1","19140","ETH19140"
"1","19141","ETH19141"
"1","19143","ETH19143"
"1","19147","ETH19147"
"1","19149","ETH19149"
"1","19151","ETH19151"
"1","19155","ETH19155"
"1","19156","ETH19156"
"1","19159","ETH19159"
"1","19163","ETH19163"
"1","19164","ETH19164"
"1","19167","ETH19167"
"1","19169","ETH19169"
"1","19173","ETH19173"
"1","19174","ETH19174"
"1","19178","ETH19178"
