"Group_name","IU_ID","IU_ID2"
"1","19179","ETH19179"
"1","19186","ETH19186"
"1","19187","ETH19187"
"1","19191","ETH19191"
"1","19193","ETH19193"
"1","19197","ETH19197"
"1","19200","ETH19200"
"1","19201","ETH19201"
"1","19203","ETH19203"
"1","19204","ETH19204"
"1","19208","ETH19208"
"1","19209","ETH19209"
"1","19212","ETH19212"
"1","19214","ETH19214"
"1","19215","ETH19215"
"1","19216","ETH19216"
"1","19219","ETH19219"
"1","19220","ETH19220"
"1","19221","ETH19221"
"1","19222","ETH19222"
"1","19224","ETH19224"
"1","19227","ETH19227"
"1","19228","ETH19228"
"1","19229","ETH19229"
"1","19230","ETH19230"
"1","19231","ETH19231"
"1","19232","ETH19232"
"1","19236","ETH19236"
"1","19238","ETH19238"
"1","19240","ETH19240"
"1","19242","ETH19242"
"1","19243","ETH19243"
"1","19245","ETH19245"
"1","19246","ETH19246"
"1","19249","ETH19249"
"1","19251","ETH19251"
"1","19252","ETH19252"
"1","19254","ETH19254"
"1","19255","ETH19255"
"1","19257","ETH19257"
"1","19260","ETH19260"
"1","19261","ETH19261"
"1","19264","ETH19264"
"1","19267","ETH19267"
"1","19268","ETH19268"
"1","19269","ETH19269"
"1","19271","ETH19271"
"1","19272","ETH19272"
"1","19273","ETH19273"
"1","19274","ETH19274"
"1","19275","ETH19275"
"1","19276","ETH19276"
"1","19279","ETH19279"
"1","19285","ETH19285"
"1","19287","ETH19287"
"1","19289","ETH19289"
"1","19291","ETH19291"
"1","19292","ETH19292"
"1","19298","ETH19298"
"1","19299","ETH19299"
"1","19300","ETH19300"
"1","19301","ETH19301"
"1","19304","ETH19304"
"1","19305","ETH19305"
"1","19308","ETH19308"
"1","19310","ETH19310"
"1","19314","ETH19314"
"1","19316","ETH19316"
"1","19320","ETH19320"
"1","19321","ETH19321"
"1","19323","ETH19323"
"1","19324","ETH19324"
"1","19327","ETH19327"
"1","19328","ETH19328"
"1","19333","ETH19333"
"1","19334","ETH19334"
"1","19336","ETH19336"
"1","19338","ETH19338"
"1","19339","ETH19339"
"1","19341","ETH19341"
"1","19344","ETH19344"
"1","19346","ETH19346"
"1","19348","ETH19348"
"1","19350","ETH19350"
"1","19351","ETH19351"
"1","19353","ETH19353"
"1","19354","ETH19354"
"1","19355","ETH19355"
"1","19357","ETH19357"
"1","19358","ETH19358"
"1","19359","ETH19359"
"1","19360","ETH19360"
"1","19361","ETH19361"
"1","19362","ETH19362"
"1","19363","ETH19363"
"1","19364","ETH19364"
"1","19365","ETH19365"
"1","19369","ETH19369"
"1","19370","ETH19370"
"1","19371","ETH19371"
"1","19372","ETH19372"
"1","19373","ETH19373"
"1","19374","ETH19374"
"1","19375","ETH19375"
"1","19376","ETH19376"
"1","19377","ETH19377"
"1","19379","ETH19379"
"1","19381","ETH19381"
"1","19382","ETH19382"
"1","19383","ETH19383"
"1","19384","ETH19384"
"1","19391","ETH19391"
"1","19392","ETH19392"
"1","19393","ETH19393"
"1","19395","ETH19395"
"1","19396","ETH19396"
"1","19398","ETH19398"
"1","19399","ETH19399"
"1","19408","ETH19408"
"1","19409","ETH19409"
"1","19425","ETH19425"
"1","19426","ETH19426"
"1","19428","ETH19428"
"1","19433","ETH19433"
"1","19434","ETH19434"
"1","19435","ETH19435"
"1","19436","ETH19436"
"1","19442","ETH19442"
"1","19443","ETH19443"
"1","19445","ETH19445"
"1","19449","ETH19449"
"1","19451","ETH19451"
"1","19452","ETH19452"
"1","19454","ETH19454"
"1","19456","ETH19456"
"1","19457","ETH19457"
"1","19459","ETH19459"
"1","19462","ETH19462"
"1","19464","ETH19464"
"1","19465","ETH19465"
"1","19467","ETH19467"
"1","19468","ETH19468"
"1","19470","ETH19470"
"1","19471","ETH19471"
"1","19472","ETH19472"
"1","19474","ETH19474"
