"Group_name","IU_ID","IU_ID2"
"1","19476","ETH19476"
"1","19477","ETH19477"
"1","19478","ETH19478"
"1","19479","ETH19479"
"1","19481","ETH19481"
"1","19483","ETH19483"
"1","19485","ETH19485"
"1","19488","ETH19488"
"1","19489","ETH19489"
"1","19491","ETH19491"
"1","19492","ETH19492"
"1","19493","ETH19493"
"1","19496","ETH19496"
"1","19499","ETH19499"
"1","19501","ETH19501"
"1","19502","ETH19502"
"1","19507","ETH19507"
"1","19508","ETH19508"
"1","19511","ETH19511"
"1","19518","ETH19518"
"1","19519","ETH19519"
"1","19521","ETH19521"
"1","19522","ETH19522"
"1","19524","ETH19524"
"1","19529","ETH19529"
"1","19530","ETH19530"
"1","19531","ETH19531"
"1","19533","ETH19533"
"1","19535","ETH19535"
"1","19536","ETH19536"
"1","19537","ETH19537"
"1","19539","ETH19539"
"1","19540","ETH19540"
"1","19543","ETH19543"
"1","19547","ETH19547"
"1","19549","ETH19549"
"1","19551","ETH19551"
"1","19552","ETH19552"
"1","19553","ETH19553"
"1","19555","ETH19555"
"1","19557","ETH19557"
"1","19558","ETH19558"
"1","19559","ETH19559"
"1","19560","ETH19560"
"1","19561","ETH19561"
"1","19563","ETH19563"
"1","19565","ETH19565"
"1","19570","ETH19570"
"1","19572","ETH19572"
"1","19573","ETH19573"
"1","19574","ETH19574"
"1","19575","ETH19575"
"1","19577","ETH19577"
"1","19578","ETH19578"
"1","19580","ETH19580"
"1","19581","ETH19581"
"1","19582","ETH19582"
"1","19584","ETH19584"
"1","19585","ETH19585"
"1","19588","ETH19588"
"1","19590","ETH19590"
"1","19591","ETH19591"
"1","52964","ETH52964"
"1","20329","GAB20329"
"1","20330","GAB20330"
"1","20331","GAB20331"
"1","20332","GAB20332"
"1","20336","GAB20336"
"1","20338","GAB20338"
"1","20339","GAB20339"
"1","20340","GAB20340"
"1","20344","GAB20344"
"1","20345","GAB20345"
"1","20350","GAB20350"
"1","20359","GAB20359"
"1","20361","GAB20361"
"1","20364","GAB20364"
"1","20366","GAB20366"
"1","20376","GAB20376"
"1","21378","GHA21378"
"1","21384","GHA21384"
"1","21386","GHA21386"
"1","21389","GHA21389"
"1","21395","GHA21395"
"1","21399","GHA21399"
"1","21403","GHA21403"
"1","21404","GHA21404"
"1","21405","GHA21405"
"1","21406","GHA21406"
"1","21407","GHA21407"
"1","21408","GHA21408"
"1","21409","GHA21409"
"1","21411","GHA21411"
"1","21412","GHA21412"
"1","21413","GHA21413"
"1","21414","GHA21414"
"1","21416","GHA21416"
"1","21417","GHA21417"
"1","21418","GHA21418"
"1","21420","GHA21420"
"1","21422","GHA21422"
"1","21423","GHA21423"
"1","21428","GHA21428"
"1","21431","GHA21431"
"1","21432","GHA21432"
"1","21433","GHA21433"
"1","21434","GHA21434"
"1","21435","GHA21435"
"1","21436","GHA21436"
"1","21437","GHA21437"
"1","21438","GHA21438"
"1","21439","GHA21439"
"1","21440","GHA21440"
"1","21443","GHA21443"
"1","21444","GHA21444"
"1","21445","GHA21445"
"1","21446","GHA21446"
"1","21447","GHA21447"
"1","21448","GHA21448"
"1","21454","GHA21454"
"1","21455","GHA21455"
"1","21457","GHA21457"
"1","21459","GHA21459"
"1","21460","GHA21460"
"1","21461","GHA21461"
"1","21463","GHA21463"
"1","21465","GHA21465"
"1","21468","GHA21468"
"1","21471","GHA21471"
"1","21472","GHA21472"
"1","21473","GHA21473"
"1","21474","GHA21474"
"1","21476","GHA21476"
"1","21477","GHA21477"
"1","21478","GHA21478"
"1","21480","GHA21480"
"1","21481","GHA21481"
"1","21482","GHA21482"
"1","21485","GHA21485"
"1","21487","GHA21487"
"1","21488","GHA21488"
"1","21490","GHA21490"
"1","21492","GHA21492"
"1","21496","GHA21496"
"1","21497","GHA21497"
"1","21498","GHA21498"
