"Group_name","IU_ID","IU_ID2"
"1","21500","GHA21500"
"1","21501","GHA21501"
"1","21506","GHA21506"
"1","21508","GHA21508"
"1","21509","GHA21509"
"1","21510","GHA21510"
"1","21511","GHA21511"
"1","21512","GHA21512"
"1","21513","GHA21513"
"1","21514","GHA21514"
"1","21515","GHA21515"
"1","21516","GHA21516"
"1","21517","GHA21517"
"1","21518","GHA21518"
"1","21519","GHA21519"
"1","21521","GHA21521"
"1","21523","GHA21523"
"1","21524","GHA21524"
"1","21525","GHA21525"
"1","21526","GHA21526"
"1","21527","GHA21527"
"1","21528","GHA21528"
"1","21529","GHA21529"
"1","21530","GHA21530"
"1","21536","GHA21536"
"1","21537","GHA21537"
"1","21539","GHA21539"
"1","21541","GHA21541"
"1","21542","GHA21542"
"1","21543","GHA21543"
"1","21544","GHA21544"
"1","21545","GHA21545"
"1","21546","GHA21546"
"1","21547","GHA21547"
"1","21548","GHA21548"
"1","21549","GHA21549"
"1","21550","GHA21550"
"1","21552","GHA21552"
"1","21553","GHA21553"
"1","21554","GHA21554"
"1","21555","GHA21555"
"1","21556","GHA21556"
"1","21557","GHA21557"
"1","21559","GHA21559"
"1","21560","GHA21560"
"1","21561","GHA21561"
"1","21562","GHA21562"
"1","21564","GHA21564"
"1","21565","GHA21565"
"1","21566","GHA21566"
"1","21570","GHA21570"
"1","21572","GHA21572"
"1","21575","GHA21575"
"1","21576","GHA21576"
"1","21577","GHA21577"
"1","21578","GHA21578"
"1","21579","GHA21579"
"1","21580","GHA21580"
"1","21583","GHA21583"
"1","21584","GHA21584"
"1","21585","GHA21585"
"1","21586","GHA21586"
"1","21587","GHA21587"
"1","21588","GHA21588"
"1","21589","GHA21589"
"1","21590","GHA21590"
"1","21592","GHA21592"
"1","21593","GHA21593"
"1","21594","GHA21594"
"1","21595","GHA21595"
"1","21599","GHA21599"
"1","21600","GHA21600"
"1","21601","GHA21601"
"1","21602","GHA21602"
"1","21604","GHA21604"
"1","21605","GHA21605"
"1","21606","GHA21606"
"1","21607","GHA21607"
"1","21608","GHA21608"
"1","21609","GHA21609"
"1","21611","GHA21611"
"1","21614","GHA21614"
"1","21621","GHA21621"
"1","21625","GHA21625"
"1","21626","GHA21626"
"1","21627","GHA21627"
"1","21628","GHA21628"
"1","21629","GHA21629"
"1","21631","GHA21631"
"1","21632","GHA21632"
"1","21633","GHA21633"
"1","21634","GHA21634"
"1","21635","GHA21635"
"1","21636","GHA21636"
"1","21637","GHA21637"
"1","21638","GHA21638"
"1","21640","GHA21640"
"1","21642","GHA21642"
"1","21643","GHA21643"
"1","21644","GHA21644"
"1","21646","GHA21646"
"1","21651","GHA21651"
"1","21658","GHA21658"
"1","21659","GHA21659"
"1","21661","GHA21661"
"1","21662","GHA21662"
"1","21663","GHA21663"
"1","21664","GHA21664"
"1","21665","GHA21665"
"1","21667","GHA21667"
"1","21668","GHA21668"
"1","21669","GHA21669"
"1","21670","GHA21670"
"1","21672","GHA21672"
"1","22607","GIN22607"
"1","22610","GIN22610"
"1","22611","GIN22611"
"1","22612","GIN22612"
"1","22615","GIN22615"
"1","22616","GIN22616"
"1","22622","GIN22622"
"1","22624","GIN22624"
"1","22627","GIN22627"
"1","22629","GIN22629"
"1","22631","GIN22631"
"1","22632","GIN22632"
"1","22635","GIN22635"
"1","22638","GIN22638"
"1","22640","GIN22640"
"1","22641","GIN22641"
"1","47624","GMB47624"
"1","47625","GMB47625"
"1","47626","GMB47626"
"1","47627","GMB47627"
"1","47628","GMB47628"
"1","47629","GMB47629"
"1","47630","GMB47630"
"1","47632","GMB47632"
"1","47637","GMB47637"
"1","47638","GMB47638"
"1","47642","GMB47642"
"1","47643","GMB47643"
"1","47645","GMB47645"
"1","47646","GMB47646"
"1","47649","GMB47649"
"1","47652","GMB47652"
