"Group_name","IU_ID","IU_ID2"
"1","47655","GMB47655"
"1","47657","GMB47657"
"1","47660","GMB47660"
"1","47663","GMB47663"
"1","47667","GMB47667"
"1","47668","GMB47668"
"1","23642","GNB23642"
"1","23643","GNB23643"
"1","23644","GNB23644"
"1","23646","GNB23646"
"1","23656","GNB23656"
"1","23657","GNB23657"
"1","23658","GNB23658"
"1","23659","GNB23659"
"1","23660","GNB23660"
"1","23661","GNB23661"
"1","23662","GNB23662"
"1","23663","GNB23663"
"1","23664","GNB23664"
"1","23665","GNB23665"
"1","23668","GNB23668"
"1","23669","GNB23669"
"1","23670","GNB23670"
"1","23671","GNB23671"
"1","23672","GNB23672"
"1","23673","GNB23673"
"1","23674","GNB23674"
"1","23676","GNB23676"
"1","23677","GNB23677"
"1","23678","GNB23678"
"1","23679","GNB23679"
"1","23684","GNB23684"
"1","23686","GNB23686"
"1","23687","GNB23687"
"1","23701","GNB23701"
"1","23704","GNB23704"
"1","23706","GNB23706"
"1","23711","GNB23711"
"1","23712","GNB23712"
"1","23714","GNB23714"
"1","23715","GNB23715"
"1","23719","GNB23719"
"1","23720","GNB23720"
"1","23721","GNB23721"
"1","23724","GNB23724"
"1","23725","GNB23725"
"1","23726","GNB23726"
"1","23728","GNB23728"
"1","23731","GNB23731"
"1","23733","GNB23733"
"1","23734","GNB23734"
"1","23750","GNB23750"
"1","23753","GNB23753"
"1","23754","GNB23754"
"1","23755","GNB23755"
"1","23756","GNB23756"
"1","23757","GNB23757"
"1","23758","GNB23758"
"1","23759","GNB23759"
"1","23760","GNB23760"
"1","54007","KEN54007"
"1","54008","KEN54008"
"1","54009","KEN54009"
"1","54010","KEN54010"
"1","54011","KEN54011"
"1","54015","KEN54015"
"1","54019","KEN54019"
"1","54020","KEN54020"
"1","54021","KEN54021"
"1","54024","KEN54024"
"1","54033","KEN54033"
"1","54034","KEN54034"
"1","54036","KEN54036"
"1","54043","KEN54043"
"1","54045","KEN54045"
"1","54049","KEN54049"
"1","54054","KEN54054"
"1","54058","KEN54058"
"1","54059","KEN54059"
"1","54060","KEN54060"
"1","54062","KEN54062"
"1","54068","KEN54068"
"1","54069","KEN54069"
"1","54070","KEN54070"
"1","54071","KEN54071"
"1","54072","KEN54072"
"1","54073","KEN54073"
"1","54074","KEN54074"
"1","54075","KEN54075"
"1","54076","KEN54076"
"1","54077","KEN54077"
"1","54078","KEN54078"
"1","54079","KEN54079"
"1","54080","KEN54080"
"1","54081","KEN54081"
"1","54082","KEN54082"
"1","54083","KEN54083"
"1","54084","KEN54084"
"1","54085","KEN54085"
"1","54086","KEN54086"
"1","54088","KEN54088"
"1","54089","KEN54089"
"1","54090","KEN54090"
"1","54091","KEN54091"
"1","54093","KEN54093"
"1","54094","KEN54094"
"1","54095","KEN54095"
"1","54096","KEN54096"
"1","54098","KEN54098"
"1","54099","KEN54099"
"1","54100","KEN54100"
"1","54101","KEN54101"
"1","54102","KEN54102"
"1","54103","KEN54103"
"1","54104","KEN54104"
"1","54105","KEN54105"
"1","54106","KEN54106"
"1","54108","KEN54108"
"1","54109","KEN54109"
"1","54111","KEN54111"
"1","54113","KEN54113"
"1","54122","KEN54122"
"1","54123","KEN54123"
"1","54124","KEN54124"
"1","54127","KEN54127"
"1","54128","KEN54128"
"1","54129","KEN54129"
"1","54130","KEN54130"
"1","54131","KEN54131"
"1","54132","KEN54132"
"1","54133","KEN54133"
"1","54136","KEN54136"
"1","54141","KEN54141"
"1","54143","KEN54143"
"1","54144","KEN54144"
"1","54164","KEN54164"
"1","54165","KEN54165"
"1","54166","KEN54166"
"1","54169","KEN54169"
"1","54173","KEN54173"
"1","54175","KEN54175"
"1","54179","KEN54179"
"1","54180","KEN54180"
"1","54181","KEN54181"
"1","54182","KEN54182"
"1","54184","KEN54184"
