"Group_name","IU_ID","IU_ID2"
"1","54187","KEN54187"
"1","54192","KEN54192"
"1","54195","KEN54195"
"1","54198","KEN54198"
"1","54201","KEN54201"
"1","54202","KEN54202"
"1","54203","KEN54203"
"1","54204","KEN54204"
"1","54206","KEN54206"
"1","54208","KEN54208"
"1","54211","KEN54211"
"1","54215","KEN54215"
"1","54218","KEN54218"
"1","54220","KEN54220"
"1","54226","KEN54226"
"1","54227","KEN54227"
"1","54228","KEN54228"
"1","54229","KEN54229"
"1","54232","KEN54232"
"1","54233","KEN54233"
"1","54235","KEN54235"
"1","54236","KEN54236"
"1","54237","KEN54237"
"1","54238","KEN54238"
"1","54239","KEN54239"
"1","54246","KEN54246"
"1","54250","KEN54250"
"1","54252","KEN54252"
"1","54254","KEN54254"
"1","54255","KEN54255"
"1","54259","KEN54259"
"1","54260","KEN54260"
"1","54261","KEN54261"
"1","54262","KEN54262"
"1","54271","KEN54271"
"1","54276","KEN54276"
"1","26818","LBR26818"
"1","26819","LBR26819"
"1","26820","LBR26820"
"1","26821","LBR26821"
"1","26822","LBR26822"
"1","26824","LBR26824"
"1","26826","LBR26826"
"1","26827","LBR26827"
"1","26828","LBR26828"
"1","26829","LBR26829"
"1","26831","LBR26831"
"1","26832","LBR26832"
"1","29972","MLI29972"
"1","29975","MLI29975"
"1","29976","MLI29976"
"1","29978","MLI29978"
"1","29979","MLI29979"
"1","29980","MLI29980"
"1","29981","MLI29981"
"1","29986","MLI29986"
"1","29988","MLI29988"
"1","29989","MLI29989"
"1","29990","MLI29990"
"1","29993","MLI29993"
"1","29999","MLI29999"
"1","30000","MLI30000"
"1","30001","MLI30001"
"1","30003","MLI30003"
"1","30005","MLI30005"
"1","30006","MLI30006"
"1","30007","MLI30007"
"1","30008","MLI30008"
"1","30009","MLI30009"
"1","30011","MLI30011"
"1","30012","MLI30012"
"1","30013","MLI30013"
"1","30014","MLI30014"
"1","30017","MLI30017"
"1","30018","MLI30018"
"1","30019","MLI30019"
"1","30021","MLI30021"
"1","30022","MLI30022"
"1","30023","MLI30023"
"1","30025","MLI30025"
"1","30026","MLI30026"
"1","30027","MLI30027"
"1","30028","MLI30028"
"1","30029","MLI30029"
"1","30030","MLI30030"
"1","30032","MLI30032"
"1","30034","MLI30034"
"1","30036","MLI30036"
"1","30037","MLI30037"
"1","30038","MLI30038"
"1","30039","MLI30039"
"1","30040","MLI30040"
"1","30041","MLI30041"
"1","30042","MLI30042"
"1","30043","MLI30043"
"1","30044","MLI30044"
"1","30045","MLI30045"
"1","30046","MLI30046"
"1","33100","MOZ33100"
"1","33105","MOZ33105"
"1","33113","MOZ33113"
"1","33114","MOZ33114"
"1","33115","MOZ33115"
"1","33121","MOZ33121"
"1","33124","MOZ33124"
"1","33125","MOZ33125"
"1","33126","MOZ33126"
"1","33128","MOZ33128"
"1","33130","MOZ33130"
"1","33132","MOZ33132"
"1","33134","MOZ33134"
"1","33135","MOZ33135"
"1","33136","MOZ33136"
"1","33144","MOZ33144"
"1","33147","MOZ33147"
"1","33148","MOZ33148"
"1","33152","MOZ33152"
"1","33153","MOZ33153"
"1","33154","MOZ33154"
"1","33157","MOZ33157"
"1","33160","MOZ33160"
"1","33161","MOZ33161"
"1","33167","MOZ33167"
"1","33169","MOZ33169"
"1","33171","MOZ33171"
"1","33172","MOZ33172"
"1","33176","MOZ33176"
"1","33177","MOZ33177"
"1","33181","MOZ33181"
"1","33182","MOZ33182"
"1","33183","MOZ33183"
"1","33184","MOZ33184"
"1","33185","MOZ33185"
"1","33186","MOZ33186"
"1","33187","MOZ33187"
"1","33188","MOZ33188"
"1","33189","MOZ33189"
"1","33190","MOZ33190"
"1","33191","MOZ33191"
"1","33192","MOZ33192"
"1","33195","MOZ33195"
"1","33196","MOZ33196"
"1","33197","MOZ33197"
"1","33198","MOZ33198"
"1","33199","MOZ33199"
"1","33201","MOZ33201"
