"Group_name","IU_ID","IU_ID2"
"1","33203","MOZ33203"
"1","33205","MOZ33205"
"1","33206","MOZ33206"
"1","33207","MOZ33207"
"1","33212","MOZ33212"
"1","33213","MOZ33213"
"1","33217","MOZ33217"
"1","33220","MOZ33220"
"1","33223","MOZ33223"
"1","33225","MOZ33225"
"1","33226","MOZ33226"
"1","33227","MOZ33227"
"1","33228","MOZ33228"
"1","33230","MOZ33230"
"1","33231","MOZ33231"
"1","33232","MOZ33232"
"1","33233","MOZ33233"
"1","33234","MOZ33234"
"1","33235","MOZ33235"
"1","33236","MOZ33236"
"1","33238","MOZ33238"
"1","33239","MOZ33239"
"1","33245","MOZ33245"
"1","33248","MOZ33248"
"1","33249","MOZ33249"
"1","33253","MOZ33253"
"1","33255","MOZ33255"
"1","33256","MOZ33256"
"1","33257","MOZ33257"
"1","33258","MOZ33258"
"1","33260","MOZ33260"
"1","33262","MOZ33262"
"1","31037","MRT31037"
"1","31039","MRT31039"
"1","31040","MRT31040"
"1","31042","MRT31042"
"1","31043","MRT31043"
"1","31044","MRT31044"
"1","31045","MRT31045"
"1","31046","MRT31046"
"1","31050","MRT31050"
"1","31051","MRT31051"
"1","31054","MRT31054"
"1","31055","MRT31055"
"1","31068","MRT31068"
"1","31069","MRT31069"
"1","31070","MRT31070"
"1","31072","MRT31072"
"1","31073","MRT31073"
"1","31074","MRT31074"
"1","31075","MRT31075"
"1","31076","MRT31076"
"1","31077","MRT31077"
"1","31078","MRT31078"
"1","31080","MRT31080"
"1","31082","MRT31082"
"1","31083","MRT31083"
"1","31085","MRT31085"
"1","31088","MRT31088"
"1","31089","MRT31089"
"1","31091","MRT31091"
"1","31092","MRT31092"
"1","28944","MWI28944"
"1","28945","MWI28945"
"1","28946","MWI28946"
"1","28947","MWI28947"
"1","28948","MWI28948"
"1","28950","MWI28950"
"1","28953","MWI28953"
"1","28954","MWI28954"
"1","28956","MWI28956"
"1","28957","MWI28957"
"1","28961","MWI28961"
"1","28962","MWI28962"
"1","28965","MWI28965"
"1","28967","MWI28967"
"1","28970","MWI28970"
"1","28972","MWI28972"
"1","28973","MWI28973"
"1","36337","NGA36337"
"1","36338","NGA36338"
"1","36339","NGA36339"
"1","36342","NGA36342"
"1","36343","NGA36343"
"1","36345","NGA36345"
"1","36347","NGA36347"
"1","36348","NGA36348"
"1","36349","NGA36349"
"1","36350","NGA36350"
"1","36353","NGA36353"
"1","36354","NGA36354"
"1","36355","NGA36355"
"1","36357","NGA36357"
"1","36359","NGA36359"
"1","36360","NGA36360"
"1","36362","NGA36362"
"1","36363","NGA36363"
"1","36366","NGA36366"
"1","36367","NGA36367"
"1","36370","NGA36370"
"1","36371","NGA36371"
"1","36373","NGA36373"
"1","36374","NGA36374"
"1","36375","NGA36375"
"1","36377","NGA36377"
"1","36378","NGA36378"
"1","36379","NGA36379"
"1","36380","NGA36380"
"1","36381","NGA36381"
"1","36382","NGA36382"
"1","36383","NGA36383"
"1","36384","NGA36384"
"1","36385","NGA36385"
"1","36386","NGA36386"
"1","36387","NGA36387"
"1","36388","NGA36388"
"1","36389","NGA36389"
"1","36390","NGA36390"
"1","36391","NGA36391"
"1","36392","NGA36392"
"1","36393","NGA36393"
"1","36394","NGA36394"
"1","36395","NGA36395"
"1","36396","NGA36396"
"1","36397","NGA36397"
"1","36398","NGA36398"
"1","36399","NGA36399"
"1","36400","NGA36400"
"1","36401","NGA36401"
"1","36403","NGA36403"
"1","36404","NGA36404"
"1","36405","NGA36405"
"1","36406","NGA36406"
"1","36417","NGA36417"
"1","36418","NGA36418"
"1","36420","NGA36420"
"1","36421","NGA36421"
"1","36423","NGA36423"
"1","36427","NGA36427"
"1","36428","NGA36428"
"1","36429","NGA36429"
"1","36433","NGA36433"
"1","36434","NGA36434"
"1","36436","NGA36436"
"1","36437","NGA36437"
"1","36439","NGA36439"
