"Group_name","IU_ID","IU_ID2"
"1","36441","NGA36441"
"1","36442","NGA36442"
"1","36443","NGA36443"
"1","36444","NGA36444"
"1","36445","NGA36445"
"1","36447","NGA36447"
"1","36449","NGA36449"
"1","36450","NGA36450"
"1","36452","NGA36452"
"1","36453","NGA36453"
"1","36454","NGA36454"
"1","36458","NGA36458"
"1","36459","NGA36459"
"1","36460","NGA36460"
"1","36461","NGA36461"
"1","36462","NGA36462"
"1","36464","NGA36464"
"1","36466","NGA36466"
"1","36467","NGA36467"
"1","36468","NGA36468"
"1","36471","NGA36471"
"1","36473","NGA36473"
"1","36476","NGA36476"
"1","36478","NGA36478"
"1","36479","NGA36479"
"1","36480","NGA36480"
"1","36481","NGA36481"
"1","36482","NGA36482"
"1","36483","NGA36483"
"1","36486","NGA36486"
"1","36487","NGA36487"
"1","36489","NGA36489"
"1","36490","NGA36490"
"1","36495","NGA36495"
"1","36497","NGA36497"
"1","36498","NGA36498"
"1","36499","NGA36499"
"1","36500","NGA36500"
"1","36501","NGA36501"
"1","36502","NGA36502"
"1","36503","NGA36503"
"1","36504","NGA36504"
"1","36506","NGA36506"
"1","36507","NGA36507"
"1","36508","NGA36508"
"1","36512","NGA36512"
"1","36513","NGA36513"
"1","36514","NGA36514"
"1","36516","NGA36516"
"1","36519","NGA36519"
"1","36522","NGA36522"
"1","36524","NGA36524"
"1","36526","NGA36526"
"1","36528","NGA36528"
"1","36529","NGA36529"
"1","36530","NGA36530"
"1","36531","NGA36531"
"1","36532","NGA36532"
"1","36534","NGA36534"
"1","36535","NGA36535"
"1","36538","NGA36538"
"1","36540","NGA36540"
"1","36541","NGA36541"
"1","36542","NGA36542"
"1","36544","NGA36544"
"1","36545","NGA36545"
"1","36546","NGA36546"
"1","36549","NGA36549"
"1","36550","NGA36550"
"1","36551","NGA36551"
"1","36552","NGA36552"
"1","36554","NGA36554"
"1","36555","NGA36555"
"1","36558","NGA36558"
"1","36562","NGA36562"
"1","36563","NGA36563"
"1","36564","NGA36564"
"1","36566","NGA36566"
"1","36570","NGA36570"
"1","36571","NGA36571"
"1","36572","NGA36572"
"1","36573","NGA36573"
"1","36574","NGA36574"
"1","36577","NGA36577"
"1","36578","NGA36578"
"1","36580","NGA36580"
"1","36581","NGA36581"
"1","36582","NGA36582"
"1","36583","NGA36583"
"1","36584","NGA36584"
"1","36585","NGA36585"
"1","36587","NGA36587"
"1","36588","NGA36588"
"1","36589","NGA36589"
"1","36591","NGA36591"
"1","36592","NGA36592"
"1","36594","NGA36594"
"1","36596","NGA36596"
"1","36601","NGA36601"
"1","36602","NGA36602"
"1","36603","NGA36603"
"1","36604","NGA36604"
"1","36605","NGA36605"
"1","36606","NGA36606"
"1","36608","NGA36608"
"1","36609","NGA36609"
"1","36610","NGA36610"
"1","36614","NGA36614"
"1","36616","NGA36616"
"1","36617","NGA36617"
"1","36618","NGA36618"
"1","36622","NGA36622"
"1","36623","NGA36623"
"1","36628","NGA36628"
"1","36629","NGA36629"
"1","36632","NGA36632"
"1","36634","NGA36634"
"1","36635","NGA36635"
"1","36636","NGA36636"
"1","36637","NGA36637"
"1","36639","NGA36639"
"1","36641","NGA36641"
"1","36642","NGA36642"
"1","36644","NGA36644"
"1","36645","NGA36645"
"1","36648","NGA36648"
"1","36649","NGA36649"
"1","36653","NGA36653"
"1","36654","NGA36654"
"1","36655","NGA36655"
"1","36656","NGA36656"
"1","36657","NGA36657"
"1","36662","NGA36662"
"1","36665","NGA36665"
"1","36666","NGA36666"
"1","36668","NGA36668"
"1","36670","NGA36670"
"1","36671","NGA36671"
"1","36672","NGA36672"
"1","36673","NGA36673"
"1","36675","NGA36675"
"1","36676","NGA36676"
"1","36678","NGA36678"
"1","36680","NGA36680"
"1","36681","NGA36681"
"1","36682","NGA36682"
