"Group_name","IU_ID","IU_ID2"
"1","36977","NGA36977"
"1","36982","NGA36982"
"1","36987","NGA36987"
"1","36989","NGA36989"
"1","36990","NGA36990"
"1","36997","NGA36997"
"1","36998","NGA36998"
"1","37002","NGA37002"
"1","37006","NGA37006"
"1","37008","NGA37008"
"1","37012","NGA37012"
"1","37013","NGA37013"
"1","37015","NGA37015"
"1","37016","NGA37016"
"1","37017","NGA37017"
"1","37018","NGA37018"
"1","37019","NGA37019"
"1","37020","NGA37020"
"1","37021","NGA37021"
"1","37023","NGA37023"
"1","37025","NGA37025"
"1","37026","NGA37026"
"1","37027","NGA37027"
"1","37028","NGA37028"
"1","37029","NGA37029"
"1","37030","NGA37030"
"1","37031","NGA37031"
"1","37032","NGA37032"
"1","37033","NGA37033"
"1","37034","NGA37034"
"1","37035","NGA37035"
"1","37036","NGA37036"
"1","37038","NGA37038"
"1","37039","NGA37039"
"1","37040","NGA37040"
"1","37043","NGA37043"
"1","37044","NGA37044"
"1","37045","NGA37045"
"1","37047","NGA37047"
"1","37048","NGA37048"
"1","37052","NGA37052"
"1","37054","NGA37054"
"1","37055","NGA37055"
"1","37058","NGA37058"
"1","37059","NGA37059"
"1","37062","NGA37062"
"1","37063","NGA37063"
"1","37065","NGA37065"
"1","37067","NGA37067"
"1","37069","NGA37069"
"1","37075","NGA37075"
"1","37077","NGA37077"
"1","37078","NGA37078"
"1","37079","NGA37079"
"1","37080","NGA37080"
"1","37082","NGA37082"
"1","37085","NGA37085"
"1","37086","NGA37086"
"1","37088","NGA37088"
"1","37089","NGA37089"
"1","37090","NGA37090"
"1","37094","NGA37094"
"1","37095","NGA37095"
"1","37096","NGA37096"
"1","37100","NGA37100"
"1","37103","NGA37103"
"1","37104","NGA37104"
"1","37105","NGA37105"
"1","37106","NGA37106"
"1","37107","NGA37107"
"1","38111","RWA38111"
"1","38112","RWA38112"
"1","38115","RWA38115"
"1","38116","RWA38116"
"1","38117","RWA38117"
"1","38118","RWA38118"
"1","38120","RWA38120"
"1","38122","RWA38122"
"1","38124","RWA38124"
"1","38129","RWA38129"
"1","38133","RWA38133"
"1","38136","RWA38136"
"1","38138","RWA38138"
"1","38140","RWA38140"
"1","66010","SDN66010"
"1","66013","SDN66013"
"1","66015","SDN66015"
"1","66016","SDN66016"
"1","66017","SDN66017"
"1","66018","SDN66018"
"1","66020","SDN66020"
"1","66021","SDN66021"
"1","66023","SDN66023"
"1","66024","SDN66024"
"1","66030","SDN66030"
"1","66057","SDN66057"
"1","66058","SDN66058"
"1","66059","SDN66059"
"1","66060","SDN66060"
"1","66063","SDN66063"
"1","66066","SDN66066"
"1","66084","SDN66084"
"1","66085","SDN66085"
"1","66086","SDN66086"
"1","66087","SDN66087"
"1","66088","SDN66088"
"1","66089","SDN66089"
"1","66090","SDN66090"
"1","66099","SDN66099"
"1","66100","SDN66100"
"1","66101","SDN66101"
"1","66113","SDN66113"
"1","66114","SDN66114"
"1","66123","SDN66123"
"1","66128","SDN66128"
"1","66136","SDN66136"
"1","66137","SDN66137"
"1","66138","SDN66138"
"1","66139","SDN66139"
"1","66141","SDN66141"
"1","66148","SDN66148"
"1","66151","SDN66151"
"1","66157","SDN66157"
"1","40149","SEN40149"
"1","40150","SEN40150"
"1","40152","SEN40152"
"1","40154","SEN40154"
"1","40155","SEN40155"
"1","40156","SEN40156"
"1","40157","SEN40157"
"1","40159","SEN40159"
"1","40160","SEN40160"
"1","40161","SEN40161"
"1","40165","SEN40165"
"1","40166","SEN40166"
"1","40167","SEN40167"
"1","40170","SEN40170"
"1","40173","SEN40173"
"1","40176","SEN40176"
"1","40177","SEN40177"
"1","40178","SEN40178"
"1","40179","SEN40179"
"1","40180","SEN40180"
"1","40181","SEN40181"
"1","40182","SEN40182"
"1","40184","SEN40184"
