"Group_name","IU_ID","IU_ID2"
"1","10790","TCD10790"
"1","48666","TGO48666"
"1","48669","TGO48669"
"1","48671","TGO48671"
"1","48672","TGO48672"
"1","48674","TGO48674"
"1","48675","TGO48675"
"1","48676","TGO48676"
"1","48677","TGO48677"
"1","48680","TGO48680"
"1","48681","TGO48681"
"1","48682","TGO48682"
"1","48684","TGO48684"
"1","48685","TGO48685"
"1","48686","TGO48686"
"1","48687","TGO48687"
"1","48688","TGO48688"
"1","48692","TGO48692"
"1","48693","TGO48693"
"1","48697","TGO48697"
"1","48699","TGO48699"
"1","48700","TGO48700"
"1","48705","TGO48705"
"1","48707","TGO48707"
"1","48708","TGO48708"
"1","48710","TGO48710"
"1","48711","TGO48711"
"1","48712","TGO48712"
"1","48713","TGO48713"
"1","46459","TZA46459"
"1","46466","TZA46466"
"1","46468","TZA46468"
"1","46476","TZA46476"
"1","46477","TZA46477"
"1","46478","TZA46478"
"1","46480","TZA46480"
"1","46481","TZA46481"
"1","46482","TZA46482"
"1","46483","TZA46483"
"1","46484","TZA46484"
"1","46485","TZA46485"
"1","46486","TZA46486"
"1","46487","TZA46487"
"1","46489","TZA46489"
"1","46491","TZA46491"
"1","46492","TZA46492"
"1","46493","TZA46493"
"1","46494","TZA46494"
"1","46495","TZA46495"
"1","46496","TZA46496"
"1","46497","TZA46497"
"1","46498","TZA46498"
"1","46499","TZA46499"
"1","46500","TZA46500"
"1","46501","TZA46501"
"1","46502","TZA46502"
"1","46503","TZA46503"
"1","46504","TZA46504"
"1","46505","TZA46505"
"1","46506","TZA46506"
"1","46508","TZA46508"
"1","46511","TZA46511"
"1","46512","TZA46512"
"1","46514","TZA46514"
"1","46515","TZA46515"
"1","46516","TZA46516"
"1","46517","TZA46517"
"1","46519","TZA46519"
"1","46525","TZA46525"
"1","46526","TZA46526"
"1","46527","TZA46527"
"1","46528","TZA46528"
"1","46529","TZA46529"
"1","46530","TZA46530"
"1","46532","TZA46532"
"1","46533","TZA46533"
"1","46534","TZA46534"
"1","46536","TZA46536"
"1","46538","TZA46538"
"1","46542","TZA46542"
"1","46545","TZA46545"
"1","46546","TZA46546"
"1","46548","TZA46548"
"1","46550","TZA46550"
"1","46553","TZA46553"
"1","46556","TZA46556"
"1","46557","TZA46557"
"1","46558","TZA46558"
"1","46559","TZA46559"
"1","46560","TZA46560"
"1","46562","TZA46562"
"1","46563","TZA46563"
"1","46566","TZA46566"
"1","46575","TZA46575"
"1","46576","TZA46576"
"1","46577","TZA46577"
"1","46578","TZA46578"
"1","46579","TZA46579"
"1","46580","TZA46580"
"1","46583","TZA46583"
"1","46586","TZA46586"
"1","46587","TZA46587"
"1","46590","TZA46590"
"1","46592","TZA46592"
"1","46593","TZA46593"
"1","46594","TZA46594"
"1","46595","TZA46595"
"1","46596","TZA46596"
"1","46597","TZA46597"
"1","46598","TZA46598"
"1","46600","TZA46600"
"1","46609","TZA46609"
"1","46612","TZA46612"
"1","46613","TZA46613"
"1","46617","TZA46617"
"1","46618","TZA46618"
"1","46620","TZA46620"
"1","46621","TZA46621"
"1","46622","TZA46622"
"1","46624","TZA46624"
"1","46625","TZA46625"
"1","46626","TZA46626"
"1","46627","TZA46627"
"1","46628","TZA46628"
"1","46630","TZA46630"
"1","46633","TZA46633"
"1","46634","TZA46634"
"1","46635","TZA46635"
"1","46636","TZA46636"
"1","46639","TZA46639"
"1","46640","TZA46640"
"1","46641","TZA46641"
"1","46643","TZA46643"
"1","46645","TZA46645"
"1","46646","TZA46646"
"1","51892","TZZ51892"
"1","51894","TZZ51894"
"1","51896","TZZ51896"
"1","51897","TZZ51897"
"1","51898","TZZ51898"
"1","51899","TZZ51899"
"1","51900","TZZ51900"
"1","51901","TZZ51901"
"1","49710","UGA49710"
"1","49711","UGA49711"
"1","49712","UGA49712"
