"Group_name","IU_ID","IU_ID2"
"1","49713","UGA49713"
"1","49716","UGA49716"
"1","49718","UGA49718"
"1","49719","UGA49719"
"1","49725","UGA49725"
"1","49732","UGA49732"
"1","49733","UGA49733"
"1","49734","UGA49734"
"1","49735","UGA49735"
"1","49736","UGA49736"
"1","49739","UGA49739"
"1","49740","UGA49740"
"1","49743","UGA49743"
"1","49746","UGA49746"
"1","49747","UGA49747"
"1","49748","UGA49748"
"1","49751","UGA49751"
"1","49752","UGA49752"
"1","49754","UGA49754"
"1","49756","UGA49756"
"1","49758","UGA49758"
"1","49761","UGA49761"
"1","49763","UGA49763"
"1","49764","UGA49764"
"1","49772","UGA49772"
"1","49773","UGA49773"
"1","49776","UGA49776"
"1","49777","UGA49777"
"1","49780","UGA49780"
"1","49784","UGA49784"
"1","49789","UGA49789"
"1","49791","UGA49791"
"1","49792","UGA49792"
"1","49793","UGA49793"
"1","49794","UGA49794"
"1","49796","UGA49796"
"1","49798","UGA49798"
"1","49801","UGA49801"
"1","49802","UGA49802"
"1","49803","UGA49803"
"1","49804","UGA49804"
"1","49805","UGA49805"
"1","49808","UGA49808"
"1","49809","UGA49809"
"1","49812","UGA49812"
"1","49813","UGA49813"
"1","49814","UGA49814"
"1","49815","UGA49815"
"1","49817","UGA49817"
"1","49820","UGA49820"
"1","49823","UGA49823"
"1","49824","UGA49824"
"1","49830","UGA49830"
"1","49835","UGA49835"
"1","49836","UGA49836"
"1","49837","UGA49837"
"1","49838","UGA49838"
"1","49841","UGA49841"
"1","50818","ZMB50818"
"1","50819","ZMB50819"
"1","50824","ZMB50824"
"1","50825","ZMB50825"
"1","50826","ZMB50826"
"1","50827","ZMB50827"
"1","50828","ZMB50828"
"1","50830","ZMB50830"
"1","50831","ZMB50831"
"1","50833","ZMB50833"
"1","50834","ZMB50834"
"1","50835","ZMB50835"
"1","50837","ZMB50837"
"1","50838","ZMB50838"
"1","50839","ZMB50839"
"1","50840","ZMB50840"
"1","50841","ZMB50841"
"1","50842","ZMB50842"
"1","50846","ZMB50846"
"1","50851","ZMB50851"
"1","50854","ZMB50854"
"1","50855","ZMB50855"
"1","50856","ZMB50856"
"1","50858","ZMB50858"
"1","50859","ZMB50859"
"1","50861","ZMB50861"
"1","50869","ZMB50869"
"1","50874","ZMB50874"
"1","50878","ZMB50878"
"1","50879","ZMB50879"
"1","50880","ZMB50880"
"1","50881","ZMB50881"
"1","50883","ZMB50883"
"1","50885","ZMB50885"
"1","50887","ZMB50887"
"1","50888","ZMB50888"
"1","50890","ZMB50890"
"1","50891","ZMB50891"
"1","53166","ZMB53166"
"1","53167","ZMB53167"
"1","53168","ZMB53168"
"1","53170","ZMB53170"
"1","53171","ZMB53171"
"1","53177","ZMB53177"
"1","53178","ZMB53178"
"1","53179","ZMB53179"
"1","53181","ZMB53181"
"1","53184","ZMB53184"
"1","53187","ZMB53187"
"1","53190","ZMB53190"
"1","53191","ZMB53191"
"1","53192","ZMB53192"
"1","53193","ZMB53193"
"1","53194","ZMB53194"
"1","53195","ZMB53195"
"1","52906","ZWE52906"
"1","52908","ZWE52908"
"1","52909","ZWE52909"
"1","52912","ZWE52912"
"1","52913","ZWE52913"
"1","52914","ZWE52914"
"1","52915","ZWE52915"
"1","52916","ZWE52916"
"1","52918","ZWE52918"
"1","52920","ZWE52920"
"1","52923","ZWE52923"
"1","52925","ZWE52925"
"1","52927","ZWE52927"
"1","52928","ZWE52928"
"1","52930","ZWE52930"
"1","52933","ZWE52933"
"1","52936","ZWE52936"
"1","52938","ZWE52938"
"1","52943","ZWE52943"
"1","52944","ZWE52944"
"1","52950","ZWE52950"
"1","52951","ZWE52951"
"1","52952","ZWE52952"
"1","52954","ZWE52954"
"1","52955","ZWE52955"
"1","52956","ZWE52956"
"1","52957","ZWE52957"
"1","52958","ZWE52958"
"1","52962","ZWE52962"
"1","52965","ZWE52965"
