"","iso3_iu0","highest_ess_model"
"2","UGA49761","mansoni_high_burden"
"3","UGA49736","mansoni_high_burden"
"6","UGA49725","mansoni_high_burden"
"7","UGA49732","mansoni_high_burden"
"8","UGA49789","mansoni_high_burden"
"10","UGA49754","mansoni_high_burden"
"11","UGA49712","mansoni_high_burden"
"12","UGA49711","mansoni_high_burden"
"15","UGA49743","mansoni_high_burden"
"17","UGA49713","mansoni_high_burden"
"18","UGA49812","mansoni_high_burden"
"20","UGA49796","mansoni_high_burden"
"23","UGA49802","mansoni_high_burden"
"25","UGA49740","mansoni_high_burden"
"26","UGA49777","mansoni_high_burden"
"29","UGA49823","mansoni_high_burden"
"34","UGA49794","mansoni_high_burden"
"35","UGA49809","mansoni_high_burden"
"36","UGA49739","mansoni_high_burden"
"40","UGA49758","mansoni_high_burden"
"41","UGA49817","mansoni_high_burden"
"43","UGA49838","mansoni_high_burden"
"44","UGA49835","mansoni_high_burden"
"46","UGA49734","mansoni_high_burden"
"47","UGA49805","mansoni_high_burden"
"50","UGA49710","mansoni_high_burden"
"54","UGA49793","mansoni_high_burden"
"55","UGA49801","mansoni_high_burden"
"56","UGA49820","mansoni_high_burden"
"57","UGA49836","mansoni_high_burden"
"58","UGA49824","mansoni_high_burden"
"59","UGA49772","mansoni_high_burden"
"60","UGA49791","mansoni_high_burden"
"61","UGA49716","mansoni_high_burden"
"62","UGA49814","mansoni_high_burden"
"63","UGA49733","mansoni_high_burden"
"64","UGA49719","mansoni_high_burden"
"65","UGA49746","mansoni_high_burden"
"66","UGA49751","mansoni_high_burden"
"67","UGA49792","mansoni_high_burden"
"68","UGA49804","mansoni_high_burden"
"69","UGA49784","mansoni_high_burden"
"70","UGA49773","mansoni_high_burden"
"71","UGA49747","mansoni_high_burden"
"72","UGA49763","mansoni_high_burden"
"73","UGA49798","mansoni_high_burden"
"74","UGA49748","mansoni_high_burden"
"76","UGA49780","mansoni_high_burden"
"78","BFA05331","mansoni_high_burden"
"80","MLI29999","mansoni_high_burden"
"82","MLI30012","mansoni_high_burden"
"83","MLI30001","mansoni_high_burden"
"86","BFA05329","mansoni_high_burden"
"90","MLI30014","mansoni_high_burden"
"91","BFA05368","mansoni_high_burden"
"92","BFA05369","mansoni_high_burden"
"93","BFA05367","mansoni_high_burden"
"94","BFA05370","mansoni_high_burden"
"99","BFA05312","mansoni_high_burden"
"102","MLI30018","mansoni_high_burden"
"105","BFA53002","mansoni_high_burden"
"108","BFA05356","mansoni_high_burden"
"109","BFA05357","mansoni_high_burden"
"110","BFA05352","mansoni_high_burden"
"114","BFA05348","mansoni_high_burden"
"116","BFA05353","mansoni_high_burden"
"117","BFA05346","mansoni_high_burden"
"118","BFA05349","mansoni_high_burden"
"121","BFA05364","mansoni_high_burden"
"122","BFA05340","mansoni_high_burden"
"123","BFA05365","mansoni_high_burden"
"124","BFA05343","mansoni_high_burden"
"125","BFA05345","mansoni_high_burden"
"127","BFA05337","mansoni_high_burden"
"128","BFA05338","mansoni_high_burden"
"129","BFA05342","mansoni_high_burden"
"143","BFA05322","mansoni_high_burden"
"145","MLI30017","mansoni_high_burden"
"148","MLI30013","mansoni_high_burden"
"149","MLI30000","mansoni_high_burden"
"150","BFA05360","mansoni_high_burden"
"151","BFA05373","mansoni_high_burden"
"152","BFA05362","mansoni_high_burden"
"153","BFA05359","mansoni_high_burden"
"154","BFA05371","mansoni_high_burden"
"155","BFA05372","mansoni_high_burden"
"156","BFA05363","mansoni_high_burden"
"157","BFA05361","mansoni_high_burden"
"159","MLI30019","mansoni_high_burden"
"162","TZA46587","mansoni_high_burden"
"163","TZA46558","mansoni_high_burden"
"166","TZA46517","mansoni_high_burden"
"170","TZA46536","mansoni_high_burden"
"172","TZA46618","mansoni_high_burden"
"173","TZA46620","mansoni_high_burden"
"174","TZA46577","mansoni_high_burden"
