"Group_name","IU_ID","IU_ID2"
"1","09687","CAF09687"
"1","09688","CAF09688"
"1","09690","CAF09690"
"1","09691","CAF09691"
"1","09692","CAF09692"
"1","09695","CAF09695"
"1","15329","CIV15329"
"1","15331","CIV15331"
"1","15333","CIV15333"
"1","15344","CIV15344"
"1","15350","CIV15350"
"1","15353","CIV15353"
"1","15355","CIV15355"
"1","15372","CIV15372"
"1","15374","CIV15374"
"1","15390","CIV15390"
"1","15394","CIV15394"
"1","15395","CIV15395"
"1","15400","CIV15400"
"1","15412","CIV15412"
"1","15413","CIV15413"
"1","15414","CIV15414"
"1","15418","CIV15418"
"1","15419","CIV15419"
"1","15421","CIV15421"
"1","15423","CIV15423"
"1","15426","CIV15426"
"1","15428","CIV15428"
"1","15429","CIV15429"
"1","15430","CIV15430"
"1","15431","CIV15431"
"1","15432","CIV15432"
"1","15435","CIV15435"
"1","15436","CIV15436"
"1","15439","CIV15439"
"1","15443","CIV15443"
"1","15444","CIV15444"
"1","15446","CIV15446"
"1","15448","CIV15448"
"1","15449","CIV15449"
"1","15451","CIV15451"
"1","15452","CIV15452"
"1","15460","CIV15460"
"1","15464","CIV15464"
"1","13816","COD13816"
"1","13819","COD13819"
"1","13820","COD13820"
"1","13822","COD13822"
"1","13824","COD13824"
"1","13826","COD13826"
"1","13828","COD13828"
"1","13830","COD13830"
"1","13831","COD13831"
"1","13832","COD13832"
"1","13833","COD13833"
"1","13834","COD13834"
"1","13835","COD13835"
"1","13838","COD13838"
"1","13843","COD13843"
"1","13844","COD13844"
"1","13847","COD13847"
"1","13848","COD13848"
"1","13851","COD13851"
"1","13861","COD13861"
"1","13862","COD13862"
"1","13864","COD13864"
"1","13865","COD13865"
"1","13869","COD13869"
"1","13871","COD13871"
"1","13873","COD13873"
"1","13874","COD13874"
"1","13879","COD13879"
"1","13882","COD13882"
"1","13884","COD13884"
"1","13886","COD13886"
"1","13890","COD13890"
"1","13891","COD13891"
"1","13895","COD13895"
"1","13896","COD13896"
"1","13898","COD13898"
"1","13899","COD13899"
"1","13900","COD13900"
"1","13902","COD13902"
"1","13903","COD13903"
"1","13904","COD13904"
"1","13907","COD13907"
"1","13909","COD13909"
"1","13910","COD13910"
"1","13911","COD13911"
"1","13912","COD13912"
"1","13915","COD13915"
"1","13918","COD13918"
"1","13919","COD13919"
"1","13920","COD13920"
"1","13921","COD13921"
"1","13923","COD13923"
"1","13924","COD13924"
"1","13925","COD13925"
"1","13926","COD13926"
"1","13927","COD13927"
"1","13928","COD13928"
"1","13929","COD13929"
"1","13930","COD13930"
"1","13933","COD13933"
"1","13940","COD13940"
"1","13943","COD13943"
"1","13944","COD13944"
"1","13945","COD13945"
"1","13946","COD13946"
"1","13949","COD13949"
"1","13950","COD13950"
"1","13952","COD13952"
"1","13953","COD13953"
"1","13955","COD13955"
"1","13957","COD13957"
"1","13962","COD13962"
"1","13963","COD13963"
"1","13964","COD13964"
"1","13966","COD13966"
"1","13970","COD13970"
"1","13971","COD13971"
"1","13975","COD13975"
"1","13980","COD13980"
"1","13983","COD13983"
"1","13984","COD13984"
"1","13986","COD13986"
"1","13988","COD13988"
"1","13989","COD13989"
"1","13990","COD13990"
"1","13991","COD13991"
"1","13993","COD13993"
"1","13996","COD13996"
"1","13998","COD13998"
"1","14000","COD14000"
"1","14002","COD14002"
"1","14005","COD14005"
"1","14007","COD14007"
"1","14010","COD14010"
"1","14016","COD14016"
"1","14018","COD14018"
"1","14022","COD14022"
"1","14025","COD14025"
"1","14026","COD14026"
"1","14029","COD14029"
"1","14036","COD14036"
"1","14038","COD14038"
"1","14039","COD14039"
"1","14042","COD14042"
"1","14047","COD14047"
"1","14051","COD14051"
"1","14054","COD14054"
"1","14055","COD14055"
"1","14056","COD14056"
"1","14058","COD14058"
"1","14059","COD14059"
"1","14060","COD14060"
"1","14061","COD14061"
"1","14062","COD14062"
"1","14066","COD14066"
"1","14070","COD14070"
"1","14072","COD14072"
"1","14073","COD14073"
"1","14074","COD14074"
"1","14075","COD14075"
"1","14076","COD14076"
"1","14077","COD14077"
"1","14079","COD14079"
"1","14080","COD14080"
"1","14081","COD14081"
"1","14082","COD14082"
"1","14085","COD14085"
"1","14087","COD14087"
"1","14089","COD14089"
"1","14090","COD14090"
"1","14094","COD14094"
"1","14095","COD14095"
"1","14096","COD14096"
"1","14099","COD14099"
"1","14101","COD14101"
"1","14102","COD14102"
"1","14103","COD14103"
"1","14106","COD14106"
"1","14107","COD14107"
"1","14109","COD14109"
"1","14111","COD14111"
"1","14112","COD14112"
"1","14113","COD14113"
"1","14114","COD14114"
"1","14115","COD14115"
