"Group_name","IU_ID","IU_ID2"
"1","14116","COD14116"
"1","14117","COD14117"
"1","14118","COD14118"
"1","14120","COD14120"
"1","14121","COD14121"
"1","14122","COD14122"
"1","14123","COD14123"
"1","14126","COD14126"
"1","14128","COD14128"
"1","14129","COD14129"
"1","14130","COD14130"
"1","14131","COD14131"
"1","14132","COD14132"
"1","14133","COD14133"
"1","14134","COD14134"
"1","14136","COD14136"
"1","14137","COD14137"
"1","14138","COD14138"
"1","14139","COD14139"
"1","14140","COD14140"
"1","14142","COD14142"
"1","14144","COD14144"
"1","14145","COD14145"
"1","14146","COD14146"
"1","14147","COD14147"
"1","14148","COD14148"
"1","14149","COD14149"
"1","14150","COD14150"
"1","14151","COD14151"
"1","14153","COD14153"
"1","14154","COD14154"
"1","14155","COD14155"
"1","14157","COD14157"
"1","14160","COD14160"
"1","14180","COD14180"
"1","14211","COD14211"
"1","14221","COD14221"
"1","14234","COD14234"
"1","14236","COD14236"
"1","14248","COD14248"
"1","14272","COD14272"
"1","14273","COD14273"
"1","14291","COD14291"
"1","14292","COD14292"
"1","14329","COD14329"
"1","14334","COD14334"
"1","14335","COD14335"
"1","14337","COD14337"
"1","14338","COD14338"
"1","12814","COG12814"
"1","12822","COG12822"
"1","12823","COG12823"
"1","17429","ERI17429"
"1","17430","ERI17430"
"1","17431","ERI17431"
"1","17432","ERI17432"
"1","17433","ERI17433"
"1","17434","ERI17434"
"1","17435","ERI17435"
"1","17436","ERI17436"
"1","17438","ERI17438"
"1","17439","ERI17439"
"1","17441","ERI17441"
"1","17445","ERI17445"
"1","17447","ERI17447"
"1","17448","ERI17448"
"1","17449","ERI17449"
"1","17453","ERI17453"
"1","17454","ERI17454"
"1","17455","ERI17455"
"1","17456","ERI17456"
"1","17457","ERI17457"
"1","17458","ERI17458"
"1","17459","ERI17459"
"1","17464","ERI17464"
"1","17465","ERI17465"
"1","17469","ERI17469"
"1","17470","ERI17470"
"1","17471","ERI17471"
"1","17475","ERI17475"
"1","17477","ERI17477"
"1","17478","ERI17478"
"1","17480","ERI17480"
"1","17483","ERI17483"
"1","17484","ERI17484"
"1","17485","ERI17485"
"1","17486","ERI17486"
"1","18487","ETH18487"
"1","18488","ETH18488"
"1","18490","ETH18490"
"1","18491","ETH18491"
"1","18492","ETH18492"
"1","18493","ETH18493"
"1","18496","ETH18496"
"1","18497","ETH18497"
"1","18498","ETH18498"
"1","18499","ETH18499"
"1","18503","ETH18503"
"1","18505","ETH18505"
"1","18506","ETH18506"
"1","18508","ETH18508"
"1","18509","ETH18509"
"1","18510","ETH18510"
"1","18511","ETH18511"
"1","18513","ETH18513"
"1","18514","ETH18514"
"1","18516","ETH18516"
"1","18517","ETH18517"
"1","18518","ETH18518"
"1","18520","ETH18520"
"1","18522","ETH18522"
"1","18523","ETH18523"
"1","18524","ETH18524"
"1","18526","ETH18526"
"1","18528","ETH18528"
"1","18529","ETH18529"
"1","18530","ETH18530"
"1","18534","ETH18534"
"1","18543","ETH18543"
"1","18545","ETH18545"
"1","18550","ETH18550"
"1","18552","ETH18552"
"1","18553","ETH18553"
"1","18554","ETH18554"
"1","18556","ETH18556"
"1","18558","ETH18558"
"1","18564","ETH18564"
"1","18565","ETH18565"
"1","18566","ETH18566"
"1","18570","ETH18570"
"1","18580","ETH18580"
"1","18584","ETH18584"
"1","18585","ETH18585"
"1","18598","ETH18598"
"1","18599","ETH18599"
"1","18600","ETH18600"
"1","18602","ETH18602"
"1","18608","ETH18608"
"1","18611","ETH18611"
"1","18617","ETH18617"
"1","18618","ETH18618"
"1","18621","ETH18621"
"1","18623","ETH18623"
"1","18624","ETH18624"
"1","18629","ETH18629"
"1","18630","ETH18630"
"1","18635","ETH18635"
"1","18636","ETH18636"
"1","18639","ETH18639"
"1","18641","ETH18641"
"1","18643","ETH18643"
"1","18645","ETH18645"
"1","18649","ETH18649"
"1","18660","ETH18660"
"1","18666","ETH18666"
"1","18667","ETH18667"
"1","18668","ETH18668"
"1","18669","ETH18669"
"1","18670","ETH18670"
"1","18671","ETH18671"
"1","18675","ETH18675"
"1","18683","ETH18683"
"1","18686","ETH18686"
"1","18688","ETH18688"
"1","18689","ETH18689"
"1","18690","ETH18690"
"1","18691","ETH18691"
"1","18698","ETH18698"
"1","18701","ETH18701"
"1","18703","ETH18703"
"1","18705","ETH18705"
"1","18706","ETH18706"
"1","18709","ETH18709"
"1","18712","ETH18712"
"1","18713","ETH18713"
"1","18714","ETH18714"
"1","18722","ETH18722"
"1","18724","ETH18724"
"1","18725","ETH18725"
"1","18731","ETH18731"
"1","18734","ETH18734"
"1","18735","ETH18735"
"1","18736","ETH18736"
"1","18741","ETH18741"
"1","18742","ETH18742"
"1","18744","ETH18744"
"1","18746","ETH18746"
"1","18748","ETH18748"
"1","18749","ETH18749"
