"Group_name","IU_ID","IU_ID2"
"1","18750","ETH18750"
"1","18751","ETH18751"
"1","18753","ETH18753"
"1","18754","ETH18754"
"1","18755","ETH18755"
"1","18756","ETH18756"
"1","18758","ETH18758"
"1","18761","ETH18761"
"1","18762","ETH18762"
"1","18763","ETH18763"
"1","18770","ETH18770"
"1","18771","ETH18771"
"1","18775","ETH18775"
"1","18776","ETH18776"
"1","18778","ETH18778"
"1","18783","ETH18783"
"1","18784","ETH18784"
"1","18786","ETH18786"
"1","18789","ETH18789"
"1","18792","ETH18792"
"1","18793","ETH18793"
"1","18794","ETH18794"
"1","18795","ETH18795"
"1","18799","ETH18799"
"1","18801","ETH18801"
"1","18802","ETH18802"
"1","18804","ETH18804"
"1","18808","ETH18808"
"1","18810","ETH18810"
"1","18811","ETH18811"
"1","18815","ETH18815"
"1","18817","ETH18817"
"1","18818","ETH18818"
"1","18822","ETH18822"
"1","18833","ETH18833"
"1","18834","ETH18834"
"1","18839","ETH18839"
"1","18840","ETH18840"
"1","18842","ETH18842"
"1","18843","ETH18843"
"1","18849","ETH18849"
"1","18850","ETH18850"
"1","18852","ETH18852"
"1","18854","ETH18854"
"1","18855","ETH18855"
"1","18856","ETH18856"
"1","18857","ETH18857"
"1","18858","ETH18858"
"1","18859","ETH18859"
"1","18860","ETH18860"
"1","18867","ETH18867"
"1","18871","ETH18871"
"1","18872","ETH18872"
"1","18873","ETH18873"
"1","18878","ETH18878"
"1","18889","ETH18889"
"1","18890","ETH18890"
"1","18891","ETH18891"
"1","18892","ETH18892"
"1","18903","ETH18903"
"1","18904","ETH18904"
"1","18905","ETH18905"
"1","18924","ETH18924"
"1","18926","ETH18926"
"1","18929","ETH18929"
"1","18931","ETH18931"
"1","18932","ETH18932"
"1","18933","ETH18933"
"1","18934","ETH18934"
"1","18935","ETH18935"
"1","18937","ETH18937"
"1","18938","ETH18938"
"1","18940","ETH18940"
"1","18941","ETH18941"
"1","18943","ETH18943"
"1","18946","ETH18946"
"1","18950","ETH18950"
"1","18952","ETH18952"
"1","18954","ETH18954"
"1","18957","ETH18957"
"1","18965","ETH18965"
"1","18970","ETH18970"
"1","18972","ETH18972"
"1","18973","ETH18973"
"1","18974","ETH18974"
"1","18975","ETH18975"
"1","18976","ETH18976"
"1","18977","ETH18977"
"1","18978","ETH18978"
"1","18979","ETH18979"
"1","18986","ETH18986"
"1","18988","ETH18988"
"1","18990","ETH18990"
"1","18991","ETH18991"
"1","18994","ETH18994"
"1","18995","ETH18995"
"1","18996","ETH18996"
"1","18997","ETH18997"
"1","19002","ETH19002"
"1","19003","ETH19003"
"1","19004","ETH19004"
"1","19006","ETH19006"
"1","19008","ETH19008"
"1","19010","ETH19010"
"1","19017","ETH19017"
"1","19018","ETH19018"
"1","19019","ETH19019"
"1","19020","ETH19020"
"1","19024","ETH19024"
"1","19027","ETH19027"
"1","19032","ETH19032"
"1","19033","ETH19033"
"1","19034","ETH19034"
"1","19038","ETH19038"
"1","19039","ETH19039"
"1","19041","ETH19041"
"1","19043","ETH19043"
"1","19044","ETH19044"
"1","19045","ETH19045"
"1","19046","ETH19046"
"1","19048","ETH19048"
"1","19051","ETH19051"
"1","19054","ETH19054"
"1","19056","ETH19056"
"1","19059","ETH19059"
"1","19060","ETH19060"
"1","19061","ETH19061"
"1","19062","ETH19062"
"1","19068","ETH19068"
"1","19069","ETH19069"
"1","19071","ETH19071"
"1","19072","ETH19072"
"1","19075","ETH19075"
"1","19076","ETH19076"
"1","19080","ETH19080"
"1","19082","ETH19082"
"1","19086","ETH19086"
"1","19087","ETH19087"
"1","19092","ETH19092"
"1","19094","ETH19094"
"1","19095","ETH19095"
"1","19096","ETH19096"
"1","19098","ETH19098"
"1","19101","ETH19101"
"1","19102","ETH19102"
"1","19105","ETH19105"
"1","19108","ETH19108"
"1","19109","ETH19109"
"1","19110","ETH19110"
"1","19113","ETH19113"
"1","19117","ETH19117"
"1","19120","ETH19120"
"1","19123","ETH19123"
"1","19124","ETH19124"
"1","19126","ETH19126"
"1","19127","ETH19127"
"1","19130","ETH19130"
"1","19131","ETH19131"
"1","19132","ETH19132"
"1","19134","ETH19134"
"1","19142","ETH19142"
"1","19145","ETH19145"
"1","19146","ETH19146"
"1","19150","ETH19150"
"1","19153","ETH19153"
"1","19154","ETH19154"
"1","19157","ETH19157"
"1","19158","ETH19158"
"1","19160","ETH19160"
"1","19161","ETH19161"
"1","19162","ETH19162"
"1","19165","ETH19165"
"1","19166","ETH19166"
"1","19170","ETH19170"
"1","19171","ETH19171"
"1","19172","ETH19172"
"1","19175","ETH19175"
"1","19176","ETH19176"
"1","19177","ETH19177"
"1","19180","ETH19180"
"1","19181","ETH19181"
"1","19182","ETH19182"
"1","19183","ETH19183"
"1","19184","ETH19184"
"1","19185","ETH19185"
"1","19188","ETH19188"
"1","19189","ETH19189"
"1","19190","ETH19190"
"1","19192","ETH19192"
