"Group_name","IU_ID","IU_ID2"
"1","19199","ETH19199"
"1","19207","ETH19207"
"1","19213","ETH19213"
"1","19217","ETH19217"
"1","19218","ETH19218"
"1","19223","ETH19223"
"1","19226","ETH19226"
"1","19233","ETH19233"
"1","19234","ETH19234"
"1","19235","ETH19235"
"1","19237","ETH19237"
"1","19239","ETH19239"
"1","19241","ETH19241"
"1","19244","ETH19244"
"1","19248","ETH19248"
"1","19250","ETH19250"
"1","19253","ETH19253"
"1","19256","ETH19256"
"1","19258","ETH19258"
"1","19262","ETH19262"
"1","19265","ETH19265"
"1","19277","ETH19277"
"1","19278","ETH19278"
"1","19281","ETH19281"
"1","19282","ETH19282"
"1","19283","ETH19283"
"1","19284","ETH19284"
"1","19286","ETH19286"
"1","19288","ETH19288"
"1","19290","ETH19290"
"1","19293","ETH19293"
"1","19294","ETH19294"
"1","19295","ETH19295"
"1","19296","ETH19296"
"1","19297","ETH19297"
"1","19302","ETH19302"
"1","19303","ETH19303"
"1","19306","ETH19306"
"1","19307","ETH19307"
"1","19309","ETH19309"
"1","19311","ETH19311"
"1","19313","ETH19313"
"1","19315","ETH19315"
"1","19317","ETH19317"
"1","19318","ETH19318"
"1","19319","ETH19319"
"1","19322","ETH19322"
"1","19325","ETH19325"
"1","19326","ETH19326"
"1","19331","ETH19331"
"1","19332","ETH19332"
"1","19335","ETH19335"
"1","19342","ETH19342"
"1","19343","ETH19343"
"1","19345","ETH19345"
"1","19347","ETH19347"
"1","19349","ETH19349"
"1","19352","ETH19352"
"1","19356","ETH19356"
"1","19366","ETH19366"
"1","19368","ETH19368"
"1","19378","ETH19378"
"1","19380","ETH19380"
"1","19385","ETH19385"
"1","19386","ETH19386"
"1","19387","ETH19387"
"1","19388","ETH19388"
"1","19389","ETH19389"
"1","19390","ETH19390"
"1","19394","ETH19394"
"1","19397","ETH19397"
"1","19400","ETH19400"
"1","19401","ETH19401"
"1","19402","ETH19402"
"1","19403","ETH19403"
"1","19404","ETH19404"
"1","19405","ETH19405"
"1","19406","ETH19406"
"1","19410","ETH19410"
"1","19411","ETH19411"
"1","19427","ETH19427"
"1","19429","ETH19429"
"1","19430","ETH19430"
"1","19431","ETH19431"
"1","19432","ETH19432"
"1","19437","ETH19437"
"1","19438","ETH19438"
"1","19439","ETH19439"
"1","19440","ETH19440"
"1","19441","ETH19441"
"1","19444","ETH19444"
"1","19446","ETH19446"
"1","19447","ETH19447"
"1","19450","ETH19450"
"1","19453","ETH19453"
"1","19455","ETH19455"
"1","19458","ETH19458"
"1","19460","ETH19460"
"1","19461","ETH19461"
"1","19463","ETH19463"
"1","19466","ETH19466"
"1","19469","ETH19469"
"1","19473","ETH19473"
"1","19475","ETH19475"
"1","19480","ETH19480"
"1","19484","ETH19484"
"1","19486","ETH19486"
"1","19490","ETH19490"
"1","19494","ETH19494"
"1","19495","ETH19495"
"1","19497","ETH19497"
"1","19498","ETH19498"
"1","19500","ETH19500"
"1","19503","ETH19503"
"1","19504","ETH19504"
"1","19505","ETH19505"
"1","19506","ETH19506"
"1","19509","ETH19509"
"1","19512","ETH19512"
"1","19513","ETH19513"
"1","19514","ETH19514"
"1","19515","ETH19515"
"1","19516","ETH19516"
"1","19517","ETH19517"
"1","19525","ETH19525"
"1","19526","ETH19526"
"1","19527","ETH19527"
"1","19528","ETH19528"
"1","19532","ETH19532"
"1","19538","ETH19538"
"1","19541","ETH19541"
"1","19542","ETH19542"
"1","19544","ETH19544"
"1","19545","ETH19545"
"1","19548","ETH19548"
"1","19550","ETH19550"
"1","19554","ETH19554"
"1","19556","ETH19556"
"1","19562","ETH19562"
"1","19564","ETH19564"
"1","19566","ETH19566"
"1","19567","ETH19567"
"1","19568","ETH19568"
"1","19576","ETH19576"
"1","19579","ETH19579"
"1","19583","ETH19583"
"1","19586","ETH19586"
"1","19587","ETH19587"
"1","20328","GAB20328"
"1","20333","GAB20333"
"1","20334","GAB20334"
"1","20335","GAB20335"
"1","20337","GAB20337"
"1","20341","GAB20341"
"1","20342","GAB20342"
"1","20343","GAB20343"
"1","20346","GAB20346"
"1","20347","GAB20347"
"1","20348","GAB20348"
"1","20349","GAB20349"
"1","20351","GAB20351"
"1","20352","GAB20352"
"1","20353","GAB20353"
"1","20354","GAB20354"
"1","20355","GAB20355"
"1","20356","GAB20356"
"1","20357","GAB20357"
"1","20358","GAB20358"
"1","20360","GAB20360"
"1","20362","GAB20362"
"1","20363","GAB20363"
"1","20365","GAB20365"
"1","20367","GAB20367"
"1","20368","GAB20368"
"1","20369","GAB20369"
"1","20370","GAB20370"
"1","20371","GAB20371"
"1","20372","GAB20372"
"1","20373","GAB20373"
"1","20374","GAB20374"
"1","20375","GAB20375"
"1","20377","GAB20377"
"1","20378","GAB20378"
"1","21380","GHA21380"
"1","21382","GHA21382"
"1","21387","GHA21387"
"1","21388","GHA21388"
"1","21390","GHA21390"
"1","21391","GHA21391"
