"Group_name","IU_ID","IU_ID2"
"1","21392","GHA21392"
"1","21393","GHA21393"
"1","21394","GHA21394"
"1","21397","GHA21397"
"1","21400","GHA21400"
"1","21402","GHA21402"
"1","21419","GHA21419"
"1","21421","GHA21421"
"1","21424","GHA21424"
"1","21427","GHA21427"
"1","21429","GHA21429"
"1","21430","GHA21430"
"1","21441","GHA21441"
"1","21450","GHA21450"
"1","21451","GHA21451"
"1","21453","GHA21453"
"1","21456","GHA21456"
"1","21483","GHA21483"
"1","21484","GHA21484"
"1","21489","GHA21489"
"1","21493","GHA21493"
"1","21503","GHA21503"
"1","21505","GHA21505"
"1","21531","GHA21531"
"1","21532","GHA21532"
"1","21534","GHA21534"
"1","21540","GHA21540"
"1","21551","GHA21551"
"1","21558","GHA21558"
"1","21563","GHA21563"
"1","21568","GHA21568"
"1","21569","GHA21569"
"1","21571","GHA21571"
"1","21573","GHA21573"
"1","21574","GHA21574"
"1","21581","GHA21581"
"1","21597","GHA21597"
"1","21598","GHA21598"
"1","21603","GHA21603"
"1","21610","GHA21610"
"1","21613","GHA21613"
"1","21615","GHA21615"
"1","21616","GHA21616"
"1","21617","GHA21617"
"1","21618","GHA21618"
"1","21619","GHA21619"
"1","21620","GHA21620"
"1","21622","GHA21622"
"1","21623","GHA21623"
"1","21624","GHA21624"
"1","21630","GHA21630"
"1","21639","GHA21639"
"1","21641","GHA21641"
"1","21645","GHA21645"
"1","21647","GHA21647"
"1","21648","GHA21648"
"1","21649","GHA21649"
"1","21650","GHA21650"
"1","21652","GHA21652"
"1","21653","GHA21653"
"1","21655","GHA21655"
"1","21656","GHA21656"
"1","21657","GHA21657"
"1","21660","GHA21660"
"1","21666","GHA21666"
"1","21671","GHA21671"
"1","21673","GHA21673"
"1","21674","GHA21674"
"1","21675","GHA21675"
"1","21676","GHA21676"
"1","21677","GHA21677"
"1","21678","GHA21678"
"1","22604","GIN22604"
"1","22605","GIN22605"
"1","22606","GIN22606"
"1","22608","GIN22608"
"1","22609","GIN22609"
"1","22613","GIN22613"
"1","22614","GIN22614"
"1","22617","GIN22617"
"1","22618","GIN22618"
"1","22619","GIN22619"
"1","22620","GIN22620"
"1","22621","GIN22621"
"1","22623","GIN22623"
"1","22625","GIN22625"
"1","22626","GIN22626"
"1","22628","GIN22628"
"1","22630","GIN22630"
"1","22633","GIN22633"
"1","22634","GIN22634"
"1","22636","GIN22636"
"1","22637","GIN22637"
"1","22639","GIN22639"
"1","47623","GMB47623"
"1","47631","GMB47631"
"1","47633","GMB47633"
"1","47634","GMB47634"
"1","47635","GMB47635"
"1","47636","GMB47636"
"1","47639","GMB47639"
"1","47641","GMB47641"
"1","47644","GMB47644"
"1","47647","GMB47647"
"1","47648","GMB47648"
"1","47650","GMB47650"
"1","47651","GMB47651"
"1","47653","GMB47653"
"1","47654","GMB47654"
"1","47658","GMB47658"
"1","47659","GMB47659"
"1","47661","GMB47661"
"1","47662","GMB47662"
"1","47664","GMB47664"
"1","47665","GMB47665"
"1","23645","GNB23645"
"1","23647","GNB23647"
"1","23649","GNB23649"
"1","23650","GNB23650"
"1","23651","GNB23651"
"1","23652","GNB23652"
"1","23653","GNB23653"
"1","23654","GNB23654"
"1","23655","GNB23655"
"1","23666","GNB23666"
"1","23667","GNB23667"
"1","23675","GNB23675"
"1","23680","GNB23680"
"1","23681","GNB23681"
"1","23682","GNB23682"
"1","23683","GNB23683"
"1","23685","GNB23685"
"1","23688","GNB23688"
"1","23689","GNB23689"
"1","23690","GNB23690"
"1","23691","GNB23691"
"1","23692","GNB23692"
"1","23693","GNB23693"
"1","23694","GNB23694"
"1","23695","GNB23695"
"1","23696","GNB23696"
"1","23697","GNB23697"
"1","23698","GNB23698"
"1","23699","GNB23699"
"1","23700","GNB23700"
"1","23702","GNB23702"
"1","23705","GNB23705"
"1","23707","GNB23707"
"1","23708","GNB23708"
"1","23709","GNB23709"
"1","23710","GNB23710"
"1","23713","GNB23713"
"1","23716","GNB23716"
"1","23717","GNB23717"
"1","23722","GNB23722"
"1","23723","GNB23723"
"1","23727","GNB23727"
"1","23730","GNB23730"
"1","23732","GNB23732"
"1","23735","GNB23735"
"1","23736","GNB23736"
"1","23737","GNB23737"
"1","23738","GNB23738"
"1","23739","GNB23739"
"1","23740","GNB23740"
"1","23741","GNB23741"
"1","23742","GNB23742"
"1","23743","GNB23743"
"1","23744","GNB23744"
"1","23745","GNB23745"
"1","23746","GNB23746"
"1","23747","GNB23747"
"1","23748","GNB23748"
"1","23751","GNB23751"
"1","23752","GNB23752"
"1","23761","GNB23761"
"1","54001","KEN54001"
"1","54002","KEN54002"
"1","54003","KEN54003"
"1","54004","KEN54004"
"1","54005","KEN54005"
"1","54006","KEN54006"
"1","54012","KEN54012"
"1","54013","KEN54013"
"1","54014","KEN54014"
"1","54016","KEN54016"
"1","54017","KEN54017"
"1","54018","KEN54018"
"1","54022","KEN54022"
