"Group_name","IU_ID","IU_ID2"
"1","33110","MOZ33110"
"1","33111","MOZ33111"
"1","33116","MOZ33116"
"1","33133","MOZ33133"
"1","33137","MOZ33137"
"1","33138","MOZ33138"
"1","33139","MOZ33139"
"1","33140","MOZ33140"
"1","33142","MOZ33142"
"1","33145","MOZ33145"
"1","33146","MOZ33146"
"1","33149","MOZ33149"
"1","33158","MOZ33158"
"1","33164","MOZ33164"
"1","33194","MOZ33194"
"1","33204","MOZ33204"
"1","33209","MOZ33209"
"1","33229","MOZ33229"
"1","33237","MOZ33237"
"1","33240","MOZ33240"
"1","33244","MOZ33244"
"1","33246","MOZ33246"
"1","33250","MOZ33250"
"1","33252","MOZ33252"
"1","33254","MOZ33254"
"1","31035","MRT31035"
"1","31036","MRT31036"
"1","31038","MRT31038"
"1","31047","MRT31047"
"1","31048","MRT31048"
"1","31049","MRT31049"
"1","31052","MRT31052"
"1","31053","MRT31053"
"1","31056","MRT31056"
"1","31057","MRT31057"
"1","31058","MRT31058"
"1","31059","MRT31059"
"1","31060","MRT31060"
"1","31061","MRT31061"
"1","31062","MRT31062"
"1","31063","MRT31063"
"1","31064","MRT31064"
"1","31065","MRT31065"
"1","31066","MRT31066"
"1","31067","MRT31067"
"1","31071","MRT31071"
"1","31079","MRT31079"
"1","31081","MRT31081"
"1","31084","MRT31084"
"1","31086","MRT31086"
"1","31087","MRT31087"
"1","28949","MWI28949"
"1","28951","MWI28951"
"1","28952","MWI28952"
"1","28955","MWI28955"
"1","28958","MWI28958"
"1","28959","MWI28959"
"1","28963","MWI28963"
"1","28964","MWI28964"
"1","28966","MWI28966"
"1","28968","MWI28968"
"1","28969","MWI28969"
"1","28971","MWI28971"
"1","36340","NGA36340"
"1","36341","NGA36341"
"1","36344","NGA36344"
"1","36346","NGA36346"
"1","36351","NGA36351"
"1","36352","NGA36352"
"1","36356","NGA36356"
"1","36358","NGA36358"
"1","36361","NGA36361"
"1","36364","NGA36364"
"1","36365","NGA36365"
"1","36368","NGA36368"
"1","36369","NGA36369"
"1","36372","NGA36372"
"1","36376","NGA36376"
"1","36402","NGA36402"
"1","36407","NGA36407"
"1","36408","NGA36408"
"1","36409","NGA36409"
"1","36410","NGA36410"
"1","36411","NGA36411"
"1","36412","NGA36412"
"1","36413","NGA36413"
"1","36414","NGA36414"
"1","36415","NGA36415"
"1","36416","NGA36416"
"1","36419","NGA36419"
"1","36422","NGA36422"
"1","36424","NGA36424"
"1","36425","NGA36425"
"1","36426","NGA36426"
"1","36430","NGA36430"
"1","36431","NGA36431"
"1","36432","NGA36432"
"1","36435","NGA36435"
"1","36438","NGA36438"
"1","36440","NGA36440"
"1","36446","NGA36446"
"1","36448","NGA36448"
"1","36451","NGA36451"
"1","36455","NGA36455"
"1","36456","NGA36456"
"1","36457","NGA36457"
"1","36463","NGA36463"
"1","36465","NGA36465"
"1","36469","NGA36469"
"1","36470","NGA36470"
"1","36472","NGA36472"
"1","36474","NGA36474"
"1","36475","NGA36475"
"1","36477","NGA36477"
"1","36484","NGA36484"
"1","36485","NGA36485"
"1","36488","NGA36488"
"1","36491","NGA36491"
"1","36492","NGA36492"
"1","36493","NGA36493"
"1","36494","NGA36494"
"1","36496","NGA36496"
"1","36505","NGA36505"
"1","36509","NGA36509"
"1","36510","NGA36510"
"1","36511","NGA36511"
"1","36515","NGA36515"
"1","36517","NGA36517"
"1","36518","NGA36518"
"1","36520","NGA36520"
"1","36521","NGA36521"
"1","36523","NGA36523"
"1","36525","NGA36525"
"1","36527","NGA36527"
"1","36533","NGA36533"
"1","36536","NGA36536"
"1","36537","NGA36537"
"1","36539","NGA36539"
"1","36543","NGA36543"
"1","36547","NGA36547"
"1","36548","NGA36548"
"1","36553","NGA36553"
"1","36556","NGA36556"
"1","36557","NGA36557"
"1","36559","NGA36559"
"1","36560","NGA36560"
"1","36561","NGA36561"
"1","36565","NGA36565"
"1","36567","NGA36567"
"1","36568","NGA36568"
"1","36569","NGA36569"
"1","36575","NGA36575"
"1","36576","NGA36576"
"1","36579","NGA36579"
"1","36586","NGA36586"
"1","36590","NGA36590"
"1","36593","NGA36593"
"1","36595","NGA36595"
"1","36597","NGA36597"
"1","36598","NGA36598"
"1","36599","NGA36599"
"1","36600","NGA36600"
"1","36607","NGA36607"
"1","36611","NGA36611"
"1","36612","NGA36612"
"1","36613","NGA36613"
"1","36615","NGA36615"
"1","36619","NGA36619"
"1","36620","NGA36620"
"1","36621","NGA36621"
"1","36624","NGA36624"
"1","36625","NGA36625"
"1","36626","NGA36626"
"1","36627","NGA36627"
"1","36630","NGA36630"
"1","36631","NGA36631"
"1","36633","NGA36633"
"1","36638","NGA36638"
"1","36640","NGA36640"
"1","36643","NGA36643"
"1","36646","NGA36646"
"1","36647","NGA36647"
"1","36650","NGA36650"
"1","36651","NGA36651"
"1","36652","NGA36652"
"1","36658","NGA36658"
"1","36659","NGA36659"
"1","36660","NGA36660"
"1","36661","NGA36661"
