"Group_name","IU_ID","IU_ID2"
"1","40207","SEN40207"
"1","40208","SEN40208"
"1","40210","SEN40210"
"1","40211","SEN40211"
"1","40213","SEN40213"
"1","40221","SEN40221"
"1","40222","SEN40222"
"1","40223","SEN40223"
"1","40224","SEN40224"
"1","40225","SEN40225"
"1","42256","SLE42256"
"1","42257","SLE42257"
"1","42259","SLE42259"
"1","42262","SLE42262"
"1","42263","SLE42263"
"1","42264","SLE42264"
"1","42267","SLE42267"
"1","42268","SLE42268"
"1","44321","SSD44321"
"1","44322","SSD44322"
"1","44324","SSD44324"
"1","44325","SSD44325"
"1","44326","SSD44326"
"1","44328","SSD44328"
"1","44329","SSD44329"
"1","44330","SSD44330"
"1","44332","SSD44332"
"1","44333","SSD44333"
"1","44336","SSD44336"
"1","44338","SSD44338"
"1","44341","SSD44341"
"1","44344","SSD44344"
"1","44346","SSD44346"
"1","44347","SSD44347"
"1","44349","SSD44349"
"1","44350","SSD44350"
"1","44354","SSD44354"
"1","44355","SSD44355"
"1","44356","SSD44356"
"1","44358","SSD44358"
"1","44359","SSD44359"
"1","44361","SSD44361"
"1","44362","SSD44362"
"1","44363","SSD44363"
"1","44364","SSD44364"
"1","44367","SSD44367"
"1","44368","SSD44368"
"1","44369","SSD44369"
"1","44370","SSD44370"
"1","44372","SSD44372"
"1","44375","SSD44375"
"1","44376","SSD44376"
"1","44379","SSD44379"
"1","44380","SSD44380"
"1","44381","SSD44381"
"1","44382","SSD44382"
"1","44383","SSD44383"
"1","44384","SSD44384"
"1","44388","SSD44388"
"1","44390","SSD44390"
"1","44391","SSD44391"
"1","44393","SSD44393"
"1","44394","SSD44394"
"1","44395","SSD44395"
"1","44400","SSD44400"
"1","44401","SSD44401"
"1","10660","TCD10660"
"1","10662","TCD10662"
"1","10664","TCD10664"
"1","10665","TCD10665"
"1","10666","TCD10666"
"1","10667","TCD10667"
"1","10668","TCD10668"
"1","10670","TCD10670"
"1","10674","TCD10674"
"1","10675","TCD10675"
"1","10676","TCD10676"
"1","10677","TCD10677"
"1","10678","TCD10678"
"1","10680","TCD10680"
"1","10681","TCD10681"
"1","10683","TCD10683"
"1","10686","TCD10686"
"1","10690","TCD10690"
"1","10693","TCD10693"
"1","10694","TCD10694"
"1","10696","TCD10696"
"1","10700","TCD10700"
"1","10704","TCD10704"
"1","10706","TCD10706"
"1","10709","TCD10709"
"1","10710","TCD10710"
"1","10711","TCD10711"
"1","10715","TCD10715"
"1","10728","TCD10728"
"1","10730","TCD10730"
"1","10731","TCD10731"
"1","10732","TCD10732"
"1","10733","TCD10733"
"1","10735","TCD10735"
"1","10736","TCD10736"
"1","10738","TCD10738"
"1","10740","TCD10740"
"1","10741","TCD10741"
"1","10749","TCD10749"
"1","10754","TCD10754"
"1","10760","TCD10760"
"1","10763","TCD10763"
"1","10769","TCD10769"
"1","10772","TCD10772"
"1","10775","TCD10775"
"1","10780","TCD10780"
"1","10781","TCD10781"
"1","10782","TCD10782"
"1","10783","TCD10783"
"1","10784","TCD10784"
"1","10785","TCD10785"
"1","10787","TCD10787"
"1","48668","TGO48668"
"1","48670","TGO48670"
"1","48673","TGO48673"
"1","48678","TGO48678"
"1","48683","TGO48683"
"1","48689","TGO48689"
"1","48690","TGO48690"
"1","48691","TGO48691"
"1","48694","TGO48694"
"1","48695","TGO48695"
"1","48696","TGO48696"
"1","48698","TGO48698"
"1","48701","TGO48701"
"1","48704","TGO48704"
"1","48706","TGO48706"
"1","48709","TGO48709"
"1","46457","TZA46457"
"1","46460","TZA46460"
"1","46461","TZA46461"
"1","46462","TZA46462"
"1","46463","TZA46463"
"1","46464","TZA46464"
"1","46465","TZA46465"
"1","46467","TZA46467"
"1","46469","TZA46469"
"1","46470","TZA46470"
"1","46471","TZA46471"
"1","46472","TZA46472"
"1","46473","TZA46473"
"1","46474","TZA46474"
"1","46475","TZA46475"
"1","46479","TZA46479"
"1","46488","TZA46488"
"1","46490","TZA46490"
"1","46507","TZA46507"
"1","46509","TZA46509"
"1","46510","TZA46510"
"1","46513","TZA46513"
"1","46518","TZA46518"
"1","46520","TZA46520"
"1","46521","TZA46521"
"1","46522","TZA46522"
"1","46523","TZA46523"
"1","46524","TZA46524"
"1","46531","TZA46531"
"1","46535","TZA46535"
"1","46537","TZA46537"
"1","46539","TZA46539"
"1","46540","TZA46540"
"1","46541","TZA46541"
"1","46543","TZA46543"
"1","46544","TZA46544"
"1","46547","TZA46547"
"1","46549","TZA46549"
"1","46551","TZA46551"
"1","46552","TZA46552"
"1","46554","TZA46554"
"1","46555","TZA46555"
"1","46561","TZA46561"
"1","46564","TZA46564"
"1","46565","TZA46565"
"1","46567","TZA46567"
"1","46568","TZA46568"
"1","46569","TZA46569"
"1","46570","TZA46570"
"1","46571","TZA46571"
"1","46572","TZA46572"
"1","46573","TZA46573"
"1","46574","TZA46574"
"1","46581","TZA46581"
"1","46582","TZA46582"
