"Group_name","IU_ID","IU_ID2"
"1","46584","TZA46584"
"1","46585","TZA46585"
"1","46591","TZA46591"
"1","46599","TZA46599"
"1","46601","TZA46601"
"1","46602","TZA46602"
"1","46603","TZA46603"
"1","46604","TZA46604"
"1","46605","TZA46605"
"1","46606","TZA46606"
"1","46607","TZA46607"
"1","46608","TZA46608"
"1","46610","TZA46610"
"1","46611","TZA46611"
"1","46614","TZA46614"
"1","46615","TZA46615"
"1","46616","TZA46616"
"1","46619","TZA46619"
"1","46623","TZA46623"
"1","46631","TZA46631"
"1","46632","TZA46632"
"1","46638","TZA46638"
"1","46642","TZA46642"
"1","46644","TZA46644"
"1","51893","TZZ51893"
"1","51895","TZZ51895"
"1","51902","TZZ51902"
"1","49706","UGA49706"
"1","49707","UGA49707"
"1","49708","UGA49708"
"1","49709","UGA49709"
"1","49714","UGA49714"
"1","49715","UGA49715"
"1","49717","UGA49717"
"1","49720","UGA49720"
"1","49721","UGA49721"
"1","49722","UGA49722"
"1","49723","UGA49723"
"1","49724","UGA49724"
"1","49726","UGA49726"
"1","49727","UGA49727"
"1","49728","UGA49728"
"1","49729","UGA49729"
"1","49730","UGA49730"
"1","49731","UGA49731"
"1","49737","UGA49737"
"1","49738","UGA49738"
"1","49741","UGA49741"
"1","49742","UGA49742"
"1","49744","UGA49744"
"1","49745","UGA49745"
"1","49749","UGA49749"
"1","49750","UGA49750"
"1","49753","UGA49753"
"1","49755","UGA49755"
"1","49757","UGA49757"
"1","49759","UGA49759"
"1","49760","UGA49760"
"1","49762","UGA49762"
"1","49765","UGA49765"
"1","49766","UGA49766"
"1","49767","UGA49767"
"1","49768","UGA49768"
"1","49769","UGA49769"
"1","49770","UGA49770"
"1","49771","UGA49771"
"1","49774","UGA49774"
"1","49775","UGA49775"
"1","49778","UGA49778"
"1","49779","UGA49779"
"1","49781","UGA49781"
"1","49782","UGA49782"
"1","49783","UGA49783"
"1","49785","UGA49785"
"1","49786","UGA49786"
"1","49787","UGA49787"
"1","49788","UGA49788"
"1","49790","UGA49790"
"1","49795","UGA49795"
"1","49797","UGA49797"
"1","49799","UGA49799"
"1","49800","UGA49800"
"1","49806","UGA49806"
"1","49807","UGA49807"
"1","49810","UGA49810"
"1","49811","UGA49811"
"1","49816","UGA49816"
"1","49818","UGA49818"
"1","49819","UGA49819"
"1","49821","UGA49821"
"1","49826","UGA49826"
"1","49827","UGA49827"
"1","49828","UGA49828"
"1","49829","UGA49829"
"1","49832","UGA49832"
"1","49833","UGA49833"
"1","49834","UGA49834"
"1","49839","UGA49839"
"1","49840","UGA49840"
"1","49842","UGA49842"
"1","49843","UGA49843"
"1","50821","ZMB50821"
"1","50822","ZMB50822"
"1","50823","ZMB50823"
"1","50829","ZMB50829"
"1","50832","ZMB50832"
"1","50836","ZMB50836"
"1","50843","ZMB50843"
"1","50844","ZMB50844"
"1","50845","ZMB50845"
"1","50847","ZMB50847"
"1","50848","ZMB50848"
"1","50849","ZMB50849"
"1","50850","ZMB50850"
"1","50852","ZMB50852"
"1","50857","ZMB50857"
"1","50860","ZMB50860"
"1","50862","ZMB50862"
"1","50863","ZMB50863"
"1","50864","ZMB50864"
"1","50865","ZMB50865"
"1","50866","ZMB50866"
"1","50867","ZMB50867"
"1","50868","ZMB50868"
"1","50870","ZMB50870"
"1","50871","ZMB50871"
"1","50872","ZMB50872"
"1","50873","ZMB50873"
"1","50875","ZMB50875"
"1","50876","ZMB50876"
"1","50877","ZMB50877"
"1","50882","ZMB50882"
"1","50884","ZMB50884"
"1","50886","ZMB50886"
"1","50889","ZMB50889"
"1","53169","ZMB53169"
"1","53172","ZMB53172"
"1","53173","ZMB53173"
"1","53174","ZMB53174"
"1","53175","ZMB53175"
"1","53176","ZMB53176"
"1","53180","ZMB53180"
"1","53182","ZMB53182"
"1","53183","ZMB53183"
"1","53185","ZMB53185"
"1","53186","ZMB53186"
"1","53188","ZMB53188"
"1","53189","ZMB53189"
"1","53196","ZMB53196"
"1","52902","ZWE52902"
"1","52903","ZWE52903"
"1","52904","ZWE52904"
"1","52905","ZWE52905"
"1","52907","ZWE52907"
"1","52910","ZWE52910"
"1","52911","ZWE52911"
"1","52917","ZWE52917"
"1","52919","ZWE52919"
"1","52921","ZWE52921"
"1","52922","ZWE52922"
"1","52924","ZWE52924"
"1","52926","ZWE52926"
"1","52929","ZWE52929"
"1","52931","ZWE52931"
"1","52932","ZWE52932"
"1","52934","ZWE52934"
"1","52935","ZWE52935"
"1","52937","ZWE52937"
"1","52939","ZWE52939"
"1","52940","ZWE52940"
"1","52941","ZWE52941"
"1","52942","ZWE52942"
"1","52945","ZWE52945"
"1","52946","ZWE52946"
"1","52947","ZWE52947"
"1","52948","ZWE52948"
"1","52949","ZWE52949"
"1","52953","ZWE52953"
"1","52959","ZWE52959"
"1","52960","ZWE52960"
"1","52961","ZWE52961"
"1","52963","ZWE52963"
