"","iso3_iu0","highest_ess_model"
"1","UGA49839","mansoni_low_burden"
"2","UGA49761","mansoni_high_burden"
"3","UGA49736","mansoni_high_burden"
"4","UGA49765","mansoni_low_burden"
"5","UGA49799","mansoni_low_burden"
"6","UGA49725","mansoni_high_burden"
"7","UGA49732","mansoni_high_burden"
"8","UGA49789","mansoni_high_burden"
"9","UGA49731","mansoni_low_burden"
"10","UGA49754","mansoni_high_burden"
"11","UGA49712","mansoni_high_burden"
"12","UGA49711","mansoni_high_burden"
"13","UGA49707","mansoni_low_burden"
"14","UGA49714","mansoni_low_burden"
"15","UGA49743","mansoni_high_burden"
"16","UGA49742","mansoni_low_burden"
"17","UGA49713","mansoni_high_burden"
"18","UGA49812","mansoni_high_burden"
"19","UGA49779","mansoni_low_burden"
"20","UGA49796","mansoni_high_burden"
"21","UGA49840","mansoni_low_burden"
"22","UGA49723","mansoni_low_burden"
"23","UGA49802","mansoni_high_burden"
"24","UGA49782","mansoni_low_burden"
"25","UGA49740","mansoni_high_burden"
"26","UGA49777","mansoni_high_burden"
"27","UGA49828","mansoni_low_burden"
"28","UGA49827","mansoni_low_burden"
"29","UGA49823","mansoni_high_burden"
"30","UGA49834","mansoni_low_burden"
"31","UGA49790","mansoni_low_burden"
"32","UGA49728","mansoni_low_burden"
"33","UGA49768","mansoni_low_burden"
"34","UGA49794","mansoni_high_burden"
"35","UGA49809","mansoni_high_burden"
"36","UGA49739","mansoni_high_burden"
"37","UGA49810","mansoni_low_burden"
"38","UGA49807","mansoni_low_burden"
"39","UGA49738","mansoni_low_burden"
"40","UGA49758","mansoni_high_burden"
"41","UGA49817","mansoni_high_burden"
"42","UGA49729","mansoni_low_burden"
"43","UGA49838","mansoni_high_burden"
"44","UGA49835","mansoni_high_burden"
"45","UGA49818","mansoni_low_burden"
"46","UGA49734","mansoni_high_burden"
"47","UGA49805","mansoni_high_burden"
"48","UGA49816","mansoni_low_burden"
"49","UGA49745","mansoni_low_burden"
"50","UGA49710","mansoni_high_burden"
"51","UGA49766","mansoni_low_burden"
"52","UGA49720","mansoni_low_burden"
"53","UGA49708","mansoni_low_burden"
"54","UGA49793","mansoni_high_burden"
"55","UGA49801","mansoni_high_burden"
"56","UGA49820","mansoni_high_burden"
"57","UGA49836","mansoni_high_burden"
"58","UGA49824","mansoni_high_burden"
"59","UGA49772","mansoni_high_burden"
"60","UGA49791","mansoni_high_burden"
"61","UGA49716","mansoni_high_burden"
"62","UGA49814","mansoni_high_burden"
"63","UGA49733","mansoni_high_burden"
"64","UGA49719","mansoni_high_burden"
"65","UGA49746","mansoni_high_burden"
"66","UGA49751","mansoni_high_burden"
"67","UGA49792","mansoni_high_burden"
"68","UGA49804","mansoni_high_burden"
"69","UGA49784","mansoni_high_burden"
"70","UGA49773","mansoni_high_burden"
"71","UGA49747","mansoni_high_burden"
"72","UGA49763","mansoni_high_burden"
"73","UGA49798","mansoni_high_burden"
"74","UGA49748","mansoni_high_burden"
"75","UGA49806","mansoni_low_burden"
"76","UGA49780","mansoni_high_burden"
"77","MLI29996","mansoni_low_burden"
"78","BFA05331","mansoni_high_burden"
"79","BFA05330","mansoni_low_burden"
"80","MLI29999","mansoni_high_burden"
"81","MLI30016","mansoni_low_burden"
"82","MLI30012","mansoni_high_burden"
"83","MLI30001","mansoni_high_burden"
"84","BFA53005","mansoni_low_burden"
"85","BFA05327","mansoni_low_burden"
"86","BFA05329","mansoni_high_burden"
"87","BFA05326","mansoni_low_burden"
"88","BFA05332","mansoni_low_burden"
"89","BFA05328","mansoni_low_burden"
"90","MLI30014","mansoni_high_burden"
"91","BFA05368","mansoni_high_burden"
"92","BFA05369","mansoni_high_burden"
"93","BFA05367","mansoni_high_burden"
"94","BFA05370","mansoni_high_burden"
"95","BFA05315","mansoni_low_burden"
