+---------+----------+----------+
| species | code     | group_id |
+---------+----------+----------+
| Mansoni | BWA04290 |        1 |
| Mansoni | AGO02056 |        2 |
| Mansoni | BWA04299 |        3 |
| Mansoni | COD13979 |        4 |
| Mansoni | AGO02085 |        5 |
| Mansoni | AGO02053 |        6 |
| Mansoni | BWA04291 |        7 |
| Mansoni | BWA04302 |        8 |
| Mansoni | BEN03259 |        9 |
| Mansoni | AGO02072 |       10 |
| Mansoni | AGO02170 |       11 |
| Mansoni | AGO02091 |       12 |
| Mansoni | AGO02049 |       13 |
| Mansoni | BEN03263 |       14 |
| Mansoni | KEN54022 |       15 |
| Mansoni | BDI06379 |       16 |
| Mansoni | ERI17446 |       17 |
| Mansoni | AGO02133 |       18 |
| Mansoni | AGO02050 |       19 |
| Mansoni | CIV15356 |       20 |
| Mansoni | AGO02054 |       21 |
| Mansoni | CIV15386 |       22 |
| Mansoni | UGA49802 |       23 |
| Mansoni | UGA49799 |       24 |
| Mansoni | GHA21427 |       25 |
| Mansoni | SLE42259 |       26 |
| Mansoni | KEN54254 |       27 |
| Mansoni | ETH18540 |       28 |
| Mansoni | ETH18622 |       29 |
| Mansoni | BEN03220 |       30 |
| Mansoni | BDI06409 |       31 |
| Mansoni | NER35336 |       32 |
| Mansoni | ETH18548 |       33 |
| Mansoni | BEN03212 |       34 |
| Mansoni | CIV15338 |       35 |
| Mansoni | UGA49748 |       36 |
| Mansoni | AGO02052 |       37 |
| Mansoni | BEN03234 |       38 |
| Mansoni | ETH18657 |       39 |
| Mansoni | AGO02055 |       40 |
| Mansoni | NER35331 |       41 |
| Mansoni | GHA21507 |       42 |
| Mansoni | ETH18555 |       43 |
| Mansoni | NGA36881 |       44 |
| Mansoni | NER35305 |       45 |
| Mansoni | TZZ51897 |       46 |
| Mansoni | KEN54048 |       47 |
| Mansoni | CMR07452 |       48 |
| Mansoni | ETH18751 |       49 |
| Mansoni | BDI06378 |       50 |
| Mansoni | UGA49766 |       51 |
| Mansoni | BEN03224 |       52 |
| Mansoni | AGO02116 |       53 |
| Mansoni | MOZ33213 |       54 |
| Mansoni | MOZ33212 |       55 |
| Mansoni | CMR07432 |       56 |
| Mansoni | NER35302 |       57 |
| Mansoni | COD13868 |       58 |
| Mansoni | AGO02201 |       59 |
| Mansoni | GHA21424 |       60 |
| Mansoni | ETH18644 |       61 |
| Mansoni | GHA21474 |       62 |
| Mansoni | AGO02067 |       63 |
| Mansoni | NGA36786 |       65 |
| Mansoni | GNB23705 |       66 |
| Mansoni | LBR26825 |       67 |
| Mansoni | AGO02065 |       69 |
| Mansoni | MOZ33202 |       70 |
| Mansoni | ETH18660 |       71 |
| Mansoni | NER35325 |       72 |
| Mansoni | NGA36876 |       73 |
| Mansoni | NER35299 |       74 |
| Mansoni | ERI17461 |       75 |
| Mansoni | BEN03251 |       76 |
| Mansoni | AGO02193 |       77 |
| Mansoni | AGO02204 |       78 |
| Mansoni | SEN40222 |       79 |
| Mansoni | ETH18641 |       80 |
| Mansoni | UGA49745 |       81 |
