"Group_name","IU_ID","IU_ID2"
"1","33148","MOZ33148"
"1","33149","MOZ33149"
"1","33150","MOZ33150"
"1","33151","MOZ33151"
"1","33152","MOZ33152"
"1","33153","MOZ33153"
"1","33154","MOZ33154"
"1","33155","MOZ33155"
"1","33156","MOZ33156"
"1","33157","MOZ33157"
"1","33158","MOZ33158"
"1","33159","MOZ33159"
"1","33160","MOZ33160"
"1","33161","MOZ33161"
"1","33162","MOZ33162"
"1","33163","MOZ33163"
"1","33164","MOZ33164"
"1","33165","MOZ33165"
"1","33166","MOZ33166"
"1","33167","MOZ33167"
"1","33168","MOZ33168"
"1","33169","MOZ33169"
"1","33171","MOZ33171"
"1","33172","MOZ33172"
"1","33173","MOZ33173"
"1","33174","MOZ33174"
"1","33175","MOZ33175"
"1","33176","MOZ33176"
"1","33177","MOZ33177"
"1","33178","MOZ33178"
"1","33179","MOZ33179"
"1","33180","MOZ33180"
"1","33181","MOZ33181"
"1","33182","MOZ33182"
"1","33183","MOZ33183"
"1","33184","MOZ33184"
"1","33185","MOZ33185"
"1","33186","MOZ33186"
"1","33187","MOZ33187"
"1","33188","MOZ33188"
"1","33189","MOZ33189"
"1","33190","MOZ33190"
"1","33191","MOZ33191"
"1","33192","MOZ33192"
"1","33193","MOZ33193"
"1","33194","MOZ33194"
"1","33195","MOZ33195"
"1","33196","MOZ33196"
"1","33197","MOZ33197"
"1","33198","MOZ33198"
"1","33199","MOZ33199"
"1","33200","MOZ33200"
"1","33201","MOZ33201"
"1","33202","MOZ33202"
"1","33203","MOZ33203"
"1","33204","MOZ33204"
"1","33205","MOZ33205"
"1","33206","MOZ33206"
"1","33207","MOZ33207"
"1","33208","MOZ33208"
"1","33209","MOZ33209"
"1","33210","MOZ33210"
"1","33211","MOZ33211"
"1","33212","MOZ33212"
"1","33213","MOZ33213"
"1","33214","MOZ33214"
"1","33215","MOZ33215"
"1","33216","MOZ33216"
"1","33217","MOZ33217"
"1","33218","MOZ33218"
"1","33219","MOZ33219"
"1","33220","MOZ33220"
"1","33221","MOZ33221"
"1","33222","MOZ33222"
"1","33223","MOZ33223"
"1","33224","MOZ33224"
"1","33225","MOZ33225"
"1","33226","MOZ33226"
"1","33227","MOZ33227"
"1","33228","MOZ33228"
"1","33229","MOZ33229"
"1","33230","MOZ33230"
"1","33231","MOZ33231"
"1","33232","MOZ33232"
"1","33233","MOZ33233"
"1","33234","MOZ33234"
"1","33235","MOZ33235"
"1","33236","MOZ33236"
"1","33237","MOZ33237"
"1","33238","MOZ33238"
"1","33239","MOZ33239"
"1","33240","MOZ33240"
"1","33241","MOZ33241"
"1","33242","MOZ33242"
"1","33243","MOZ33243"
"1","33244","MOZ33244"
"1","33245","MOZ33245"
"1","33246","MOZ33246"
"1","33247","MOZ33247"
"1","33248","MOZ33248"
"1","33249","MOZ33249"
"1","33250","MOZ33250"
"1","33251","MOZ33251"
"1","33252","MOZ33252"
"1","33253","MOZ33253"
"1","33254","MOZ33254"
"1","33255","MOZ33255"
"1","33256","MOZ33256"
"1","33257","MOZ33257"
"1","33258","MOZ33258"
"1","33259","MOZ33259"
"1","31039","MRT31039"
"1","31040","MRT31040"
"1","31042","MRT31042"
