"Group_name","IU_ID","IU_ID2"
"1","2049","AGO02049"
"1","2050","AGO02050"
"1","2051","AGO02051"
"1","2052","AGO02052"
"1","2053","AGO02053"
"1","2054","AGO02054"
"1","2055","AGO02055"
"1","2056","AGO02056"
"1","2057","AGO02057"
"1","2058","AGO02058"
"1","2059","AGO02059"
"1","2060","AGO02060"
"1","2061","AGO02061"
"1","2062","AGO02062"
"1","2063","AGO02063"
"1","2064","AGO02064"
"1","2065","AGO02065"
"1","2066","AGO02066"
"1","2067","AGO02067"
"1","2068","AGO02068"
"1","2069","AGO02069"
"1","2070","AGO02070"
"1","2071","AGO02071"
"1","2072","AGO02072"
"1","2073","AGO02073"
"1","2074","AGO02074"
"1","2076","AGO02076"
"1","2077","AGO02077"
"1","2078","AGO02078"
"1","2079","AGO02079"
"1","2080","AGO02080"
"1","2081","AGO02081"
"1","2082","AGO02082"
"1","2083","AGO02083"
"1","2084","AGO02084"
"1","2085","AGO02085"
"1","2086","AGO02086"
"1","2087","AGO02087"
"1","2088","AGO02088"
"1","2089","AGO02089"
"1","2090","AGO02090"
"1","2091","AGO02091"
"1","2092","AGO02092"
"1","2093","AGO02093"
"1","2094","AGO02094"
"1","2096","AGO02096"
"1","2097","AGO02097"
"1","2098","AGO02098"
"1","2099","AGO02099"
"1","2100","AGO02100"
"1","2101","AGO02101"
"1","2102","AGO02102"
"1","2103","AGO02103"
"1","2104","AGO02104"
"1","2105","AGO02105"
"1","2106","AGO02106"
"1","2107","AGO02107"
"1","2108","AGO02108"
"1","2110","AGO02110"
"1","2111","AGO02111"
"1","2112","AGO02112"
"1","2113","AGO02113"
"1","2114","AGO02114"
"1","2115","AGO02115"
"1","2116","AGO02116"
"1","2117","AGO02117"
"1","2118","AGO02118"
"1","2119","AGO02119"
"1","2120","AGO02120"
"1","2121","AGO02121"
"1","2122","AGO02122"
"1","2123","AGO02123"
"1","2124","AGO02124"
"1","2125","AGO02125"
"1","2126","AGO02126"
"1","2127","AGO02127"
"1","2128","AGO02128"
"1","2129","AGO02129"
"1","2130","AGO02130"
"1","2131","AGO02131"
"1","2132","AGO02132"
"1","2133","AGO02133"
"1","2134","AGO02134"
"1","2135","AGO02135"
"1","2136","AGO02136"
"1","2137","AGO02137"
"1","2138","AGO02138"
"1","2140","AGO02140"
"1","2141","AGO02141"
"1","2143","AGO02143"
"1","2148","AGO02148"
"1","2149","AGO02149"
"1","2150","AGO02150"
"1","2151","AGO02151"
"1","2152","AGO02152"
"1","2153","AGO02153"
"1","2154","AGO02154"
"1","2155","AGO02155"
"1","2156","AGO02156"
"1","2157","AGO02157"
"1","2158","AGO02158"
"1","2159","AGO02159"
"1","2160","AGO02160"
"1","2161","AGO02161"
"1","2162","AGO02162"
"1","2163","AGO02163"
"1","2164","AGO02164"
"1","2165","AGO02165"
"1","2166","AGO02166"
"1","2167","AGO02167"
"1","2168","AGO02168"
"1","2169","AGO02169"
"1","2170","AGO02170"
"1","2171","AGO02171"
"1","2172","AGO02172"
"1","2173","AGO02173"
"1","2174","AGO02174"
"1","2176","AGO02176"
"1","2177","AGO02177"
"1","2179","AGO02179"
"1","2180","AGO02180"
"1","2181","AGO02181"
"1","2182","AGO02182"
"1","2183","AGO02183"
"1","2184","AGO02184"
"1","2185","AGO02185"
"1","2186","AGO02186"
"1","2187","AGO02187"
"1","2188","AGO02188"
"1","2189","AGO02189"
"1","2190","AGO02190"
"1","2191","AGO02191"
"1","2192","AGO02192"
"1","2193","AGO02193"
"1","2194","AGO02194"
"1","2195","AGO02195"
"1","2196","AGO02196"
"1","2197","AGO02197"
"1","2198","AGO02198"
"1","2199","AGO02199"
"1","2200","AGO02200"
"1","2201","AGO02201"
"1","2202","AGO02202"
"1","2203","AGO02203"
"1","2204","AGO02204"
"1","2205","AGO02205"
"1","2206","AGO02206"
"1","2207","AGO02207"
"1","2208","AGO02208"
"1","2209","AGO02209"
"1","2210","AGO02210"
"1","2211","AGO02211"
"1","2212","AGO02212"
"1","2213","AGO02213"
"1","2214","AGO02214"
"1","2215","AGO02215"
"1","2216","AGO02216"
"1","2217","AGO02217"
"1","2219","AGO02219"
"1","2220","AGO02220"
"1","2221","AGO02221"
"1","2222","AGO02222"
"1","2223","AGO02223"
"1","2224","AGO02224"
"1","6375","BDI06375"
"1","6376","BDI06376"
"1","6377","BDI06377"
"1","6378","BDI06378"
"1","6379","BDI06379"
"1","6380","BDI06380"
"1","6381","BDI06381"
"1","6382","BDI06382"
"1","6383","BDI06383"
"1","6385","BDI06385"
"1","6386","BDI06386"
"1","6387","BDI06387"
"1","6390","BDI06390"
"1","6391","BDI06391"
"1","6392","BDI06392"
"1","6393","BDI06393"
"1","6394","BDI06394"
"1","6395","BDI06395"
"1","6396","BDI06396"
"1","6397","BDI06397"
"1","6398","BDI06398"
"1","6399","BDI06399"
"1","6400","BDI06400"
"1","6401","BDI06401"
"1","6402","BDI06402"
"1","6403","BDI06403"
"1","6404","BDI06404"
"1","6405","BDI06405"
"1","6406","BDI06406"
"1","6407","BDI06407"
"1","6408","BDI06408"
"1","6409","BDI06409"
"1","6410","BDI06410"
"1","6411","BDI06411"
"1","6412","BDI06412"
"1","6413","BDI06413"
"1","6414","BDI06414"
"1","6415","BDI06415"
"1","6416","BDI06416"
"1","6417","BDI06417"
"1","6419","BDI06419"
"1","6420","BDI06420"
"1","6421","BDI06421"
"1","6422","BDI06422"
"1","6423","BDI06423"
"1","6424","BDI06424"
"1","6425","BDI06425"
"1","3212","BEN03212"
"1","3213","BEN03213"
"1","3214","BEN03214"
"1","3215","BEN03215"
"1","3216","BEN03216"
"1","3217","BEN03217"
"1","3218","BEN03218"
"1","3219","BEN03219"
"1","3220","BEN03220"
"1","3221","BEN03221"
"1","3222","BEN03222"
"1","3223","BEN03223"
"1","3224","BEN03224"
"1","3225","BEN03225"
"1","3226","BEN03226"
"1","3227","BEN03227"
"1","3228","BEN03228"
"1","3229","BEN03229"
"1","3230","BEN03230"
"1","3231","BEN03231"
"1","3232","BEN03232"
"1","3233","BEN03233"
"1","3234","BEN03234"
"1","3235","BEN03235"
"1","3236","BEN03236"
"1","3237","BEN03237"
"1","3238","BEN03238"
"1","3239","BEN03239"
"1","3240","BEN03240"
"1","3241","BEN03241"
"1","3242","BEN03242"
"1","3243","BEN03243"
"1","3244","BEN03244"
"1","3245","BEN03245"
"1","3246","BEN03246"
"1","3247","BEN03247"
"1","3248","BEN03248"
"1","3249","BEN03249"
"1","3250","BEN03250"
"1","3251","BEN03251"
"1","3252","BEN03252"
"1","3254","BEN03254"
"1","3255","BEN03255"
"1","3256","BEN03256"
"1","3257","BEN03257"
"1","3258","BEN03258"
"1","3259","BEN03259"
"1","3260","BEN03260"
"1","3261","BEN03261"
"1","3262","BEN03262"
"1","3263","BEN03263"
"1","3264","BEN03264"
"1","3265","BEN03265"
"1","3266","BEN03266"
"1","3267","BEN03267"
"1","3268","BEN03268"
"1","3269","BEN03269"
"1","3270","BEN03270"
"1","3271","BEN03271"
"1","3272","BEN03272"
"1","3273","BEN03273"
"1","3274","BEN03274"
"1","3275","BEN03275"
"1","3276","BEN03276"
"1","3277","BEN03277"
"1","3278","BEN03278"
"1","3279","BEN03279"
"1","3280","BEN03280"
"1","3281","BEN03281"
"1","3282","BEN03282"
"1","3283","BEN03283"
"1","3284","BEN03284"
"1","3285","BEN03285"
"1","3286","BEN03286"
"1","3287","BEN03287"
"1","3288","BEN03288"
"1","3289","BEN03289"
"1","5312","BFA05312"
"1","5313","BFA05313"
"1","5314","BFA05314"
"1","5315","BFA05315"
"1","5316","BFA05316"
"1","5317","BFA05317"
"1","5318","BFA05318"
"1","5319","BFA05319"
"1","5320","BFA05320"
"1","5321","BFA05321"
"1","5322","BFA05322"
"1","5323","BFA05323"
"1","5324","BFA05324"
"1","5325","BFA05325"
"1","5326","BFA05326"
"1","5327","BFA05327"
"1","5328","BFA05328"
"1","5329","BFA05329"
"1","5330","BFA05330"
"1","5331","BFA05331"
"1","5332","BFA05332"
"1","5333","BFA05333"
"1","5334","BFA05334"
"1","5335","BFA05335"
"1","5336","BFA05336"
"1","5337","BFA05337"
"1","5338","BFA05338"
"1","5339","BFA05339"
"1","5340","BFA05340"
"1","5341","BFA05341"
"1","5342","BFA05342"
"1","5343","BFA05343"
"1","5344","BFA05344"
"1","5345","BFA05345"
"1","5346","BFA05346"
"1","5347","BFA05347"
"1","5348","BFA05348"
"1","5349","BFA05349"
"1","5350","BFA05350"
"1","5351","BFA05351"
"1","5352","BFA05352"
"1","5353","BFA05353"
"1","5354","BFA05354"
"1","5355","BFA05355"
"1","5356","BFA05356"
"1","5357","BFA05357"
"1","5358","BFA05358"
"1","5359","BFA05359"
"1","5360","BFA05360"
"1","5361","BFA05361"
"1","5362","BFA05362"
"1","5363","BFA05363"
"1","5364","BFA05364"
"1","5365","BFA05365"
"1","5366","BFA05366"
"1","5367","BFA05367"
"1","5368","BFA05368"
"1","5369","BFA05369"
"1","5370","BFA05370"
"1","5371","BFA05371"
"1","5372","BFA05372"
"1","5373","BFA05373"
"1","5374","BFA05374"
"1","53001","BFA53001"
"1","53002","BFA53002"
"1","53003","BFA53003"
"1","53004","BFA53004"
"1","53005","BFA53005"
"1","53006","BFA53006"
"1","53007","BFA53007"
"1","4290","BWA04290"
"1","4291","BWA04291"
"1","4292","BWA04292"
"1","4293","BWA04293"
"1","4295","BWA04295"
"1","4297","BWA04297"
"1","4298","BWA04298"
"1","4299","BWA04299"
"1","4300","BWA04300"
"1","4301","BWA04301"
"1","4302","BWA04302"
"1","4303","BWA04303"
"1","4304","BWA04304"
"1","4305","BWA04305"
"1","4306","BWA04306"
"1","4307","BWA04307"
"1","4308","BWA04308"
"1","4309","BWA04309"
"1","4310","BWA04310"
"1","4311","BWA04311"
"1","4313","BWA04313"
"1","4314","BWA04314"
"1","4315","BWA04315"
"1","4316","BWA04316"
"1","4317","BWA04317"
"1","4318","BWA04318"
"1","4319","BWA04319"
"1","9661","CAF09661"
"1","9662","CAF09662"
"1","9663","CAF09663"
"1","9664","CAF09664"
"1","9665","CAF09665"
"1","9666","CAF09666"
"1","9667","CAF09667"
"1","9668","CAF09668"
"1","9669","CAF09669"
"1","9670","CAF09670"
"1","9671","CAF09671"
"1","9672","CAF09672"
"1","9673","CAF09673"
"1","9674","CAF09674"
"1","9675","CAF09675"
"1","9676","CAF09676"
"1","9677","CAF09677"
"1","9678","CAF09678"
"1","9679","CAF09679"
"1","9680","CAF09680"
"1","9681","CAF09681"
"1","9682","CAF09682"
"1","9683","CAF09683"
"1","9684","CAF09684"
"1","9685","CAF09685"
"1","9686","CAF09686"
"1","9687","CAF09687"
"1","9688","CAF09688"
"1","9689","CAF09689"
"1","9690","CAF09690"
"1","9691","CAF09691"
"1","9692","CAF09692"
"1","9693","CAF09693"
"1","9694","CAF09694"
"1","9695","CAF09695"
"1","15329","CIV15329"
"1","15330","CIV15330"
"1","15331","CIV15331"
"1","15332","CIV15332"
"1","15333","CIV15333"
"1","15334","CIV15334"
"1","15335","CIV15335"
"1","15336","CIV15336"
"1","15337","CIV15337"
"1","15338","CIV15338"
"1","15340","CIV15340"
"1","15342","CIV15342"
"1","15343","CIV15343"
"1","15344","CIV15344"
"1","15345","CIV15345"
"1","15346","CIV15346"
"1","15347","CIV15347"
"1","15348","CIV15348"
"1","15349","CIV15349"
"1","15350","CIV15350"
"1","15353","CIV15353"
"1","15355","CIV15355"
"1","15356","CIV15356"
"1","15357","CIV15357"
"1","15359","CIV15359"
"1","15360","CIV15360"
"1","15361","CIV15361"
"1","15362","CIV15362"
"1","15364","CIV15364"
"1","15365","CIV15365"
"1","15366","CIV15366"
"1","15367","CIV15367"
"1","15368","CIV15368"
"1","15370","CIV15370"
"1","15372","CIV15372"
"1","15373","CIV15373"
"1","15374","CIV15374"
"1","15375","CIV15375"
"1","15377","CIV15377"
"1","15378","CIV15378"
"1","15379","CIV15379"
"1","15380","CIV15380"
"1","15381","CIV15381"
"1","15385","CIV15385"
"1","15386","CIV15386"
"1","15387","CIV15387"
"1","15388","CIV15388"
"1","15389","CIV15389"
"1","15390","CIV15390"
"1","15393","CIV15393"
"1","15394","CIV15394"
"1","15395","CIV15395"
"1","15396","CIV15396"
"1","15400","CIV15400"
"1","15401","CIV15401"
"1","15402","CIV15402"
"1","15404","CIV15404"
"1","15405","CIV15405"
"1","15406","CIV15406"
"1","15407","CIV15407"
"1","15408","CIV15408"
"1","15411","CIV15411"
"1","15412","CIV15412"
"1","15413","CIV15413"
"1","15414","CIV15414"
"1","15417","CIV15417"
"1","15418","CIV15418"
"1","15419","CIV15419"
"1","15420","CIV15420"
"1","15421","CIV15421"
"1","15422","CIV15422"
"1","15423","CIV15423"
"1","15424","CIV15424"
"1","15425","CIV15425"
"1","15426","CIV15426"
"1","15427","CIV15427"
"1","15428","CIV15428"
"1","15429","CIV15429"
"1","15430","CIV15430"
"1","15431","CIV15431"
"1","15432","CIV15432"
"1","15433","CIV15433"
"1","15434","CIV15434"
"1","15435","CIV15435"
"1","15436","CIV15436"
"1","15437","CIV15437"
"1","15438","CIV15438"
"1","15439","CIV15439"
"1","15440","CIV15440"
"1","15441","CIV15441"
"1","15442","CIV15442"
"1","15443","CIV15443"
"1","15444","CIV15444"
"1","15445","CIV15445"
