"Group_name","IU_ID","IU_ID2"
"1","7422","CMR07422"
"1","7423","CMR07423"
"1","7424","CMR07424"
"1","7426","CMR07426"
"1","7427","CMR07427"
"1","7428","CMR07428"
"1","7429","CMR07429"
"1","7430","CMR07430"
"1","7431","CMR07431"
"1","7432","CMR07432"
"1","7433","CMR07433"
"1","7434","CMR07434"
"1","7435","CMR07435"
"1","7436","CMR07436"
"1","7437","CMR07437"
"1","7438","CMR07438"
"1","7439","CMR07439"
"1","7440","CMR07440"
"1","7441","CMR07441"
"1","7442","CMR07442"
"1","7443","CMR07443"
"1","7444","CMR07444"
"1","7445","CMR07445"
"1","7446","CMR07446"
"1","7447","CMR07447"
"1","7448","CMR07448"
"1","7449","CMR07449"
"1","7450","CMR07450"
"1","7451","CMR07451"
"1","7453","CMR07453"
"1","7454","CMR07454"
"1","7455","CMR07455"
"1","7456","CMR07456"
"1","7457","CMR07457"
"1","7458","CMR07458"
"1","7459","CMR07459"
"1","7460","CMR07460"
"1","7462","CMR07462"
"1","7463","CMR07463"
"1","7464","CMR07464"
"1","7465","CMR07465"
"1","7466","CMR07466"
"1","7467","CMR07467"
"1","7468","CMR07468"
"1","7469","CMR07469"
"1","7470","CMR07470"
"1","7471","CMR07471"
"1","7472","CMR07472"
"1","7473","CMR07473"
"1","7474","CMR07474"
"1","7475","CMR07475"
"1","7476","CMR07476"
"1","7477","CMR07477"
"1","7478","CMR07478"
"1","7479","CMR07479"
"1","7480","CMR07480"
"1","7481","CMR07481"
"1","7482","CMR07482"
"1","7483","CMR07483"
"1","7485","CMR07485"
"1","7486","CMR07486"
"1","7488","CMR07488"
"1","7489","CMR07489"
"1","7490","CMR07490"
"1","7491","CMR07491"
"1","7492","CMR07492"
"1","7493","CMR07493"
"1","7494","CMR07494"
"1","7495","CMR07495"
"1","7496","CMR07496"
"1","7497","CMR07497"
"1","7498","CMR07498"
"1","7499","CMR07499"
"1","7500","CMR07500"
"1","7501","CMR07501"
"1","7502","CMR07502"
"1","7503","CMR07503"
"1","7504","CMR07504"
"1","7505","CMR07505"
"1","7506","CMR07506"
"1","7507","CMR07507"
"1","7508","CMR07508"
"1","7509","CMR07509"
"1","7510","CMR07510"
"1","7511","CMR07511"
"1","7512","CMR07512"
"1","7513","CMR07513"
"1","7514","CMR07514"
"1","7515","CMR07515"
"1","7516","CMR07516"
"1","7517","CMR07517"
"1","7518","CMR07518"
"1","7519","CMR07519"
"1","7520","CMR07520"
"1","7521","CMR07521"
"1","7522","CMR07522"
"1","7523","CMR07523"
"1","7524","CMR07524"
"1","7525","CMR07525"
"1","7526","CMR07526"
"1","7527","CMR07527"
"1","7528","CMR07528"
"1","7529","CMR07529"
"1","7530","CMR07530"
"1","7531","CMR07531"
"1","7532","CMR07532"
"1","7533","CMR07533"
"1","7534","CMR07534"
"1","7535","CMR07535"
"1","7536","CMR07536"
"1","7537","CMR07537"
"1","7538","CMR07538"
"1","7539","CMR07539"
"1","7540","CMR07540"
"1","7541","CMR07541"
"1","7542","CMR07542"
"1","7543","CMR07543"
"1","7544","CMR07544"
"1","7546","CMR07546"
"1","7547","CMR07547"
"1","7548","CMR07548"
"1","7549","CMR07549"
"1","7550","CMR07550"
"1","7551","CMR07551"
"1","7552","CMR07552"
"1","7553","CMR07553"
"1","7554","CMR07554"
"1","7555","CMR07555"
"1","7556","CMR07556"
"1","7557","CMR07557"
"1","7558","CMR07558"
"1","7559","CMR07559"
"1","7560","CMR07560"
"1","7561","CMR07561"
"1","7562","CMR07562"
"1","7563","CMR07563"
"1","7564","CMR07564"
"1","7565","CMR07565"
"1","7566","CMR07566"
"1","7567","CMR07567"
"1","7568","CMR07568"
"1","7569","CMR07569"
"1","7570","CMR07570"
"1","7571","CMR07571"
"1","7572","CMR07572"
"1","7573","CMR07573"
"1","7574","CMR07574"
"1","7575","CMR07575"
"1","7576","CMR07576"
"1","7577","CMR07577"
"1","7578","CMR07578"
"1","7579","CMR07579"
"1","7580","CMR07580"
"1","7581","CMR07581"
"1","7582","CMR07582"
"1","7583","CMR07583"
"1","7584","CMR07584"
"1","7585","CMR07585"
"1","7586","CMR07586"
"1","7587","CMR07587"
"1","7588","CMR07588"
"1","7589","CMR07589"
"1","7590","CMR07590"
"1","7591","CMR07591"
"1","7592","CMR07592"
"1","7593","CMR07593"
"1","7594","CMR07594"
"1","7595","CMR07595"
"1","7596","CMR07596"
"1","7597","CMR07597"
"1","7598","CMR07598"
"1","7600","CMR07600"
"1","7601","CMR07601"
"1","7602","CMR07602"
"1","7603","CMR07603"
"1","7604","CMR07604"
"1","7605","CMR07605"
"1","7606","CMR07606"
"1","7607","CMR07607"
"1","7608","CMR07608"
"1","7609","CMR07609"
"1","7610","CMR07610"
"1","7611","CMR07611"
"1","7612","CMR07612"
"1","7613","CMR07613"
"1","7614","CMR07614"
"1","7615","CMR07615"
"1","7616","CMR07616"
"1","13816","COD13816"
"1","13818","COD13818"
"1","13819","COD13819"
"1","13820","COD13820"
"1","13821","COD13821"
"1","13822","COD13822"
"1","13823","COD13823"
"1","13824","COD13824"
"1","13825","COD13825"
"1","13826","COD13826"
"1","13827","COD13827"
"1","13828","COD13828"
"1","13829","COD13829"
"1","13830","COD13830"
"1","13831","COD13831"
"1","13832","COD13832"
"1","13833","COD13833"
"1","13834","COD13834"
"1","13835","COD13835"
"1","13836","COD13836"
"1","13837","COD13837"
