"Group_name","IU_ID","IU_ID2"
"1","37029","NGA37029"
"1","37030","NGA37030"
"1","37031","NGA37031"
"1","37032","NGA37032"
"1","37033","NGA37033"
"1","37034","NGA37034"
"1","37035","NGA37035"
"1","37036","NGA37036"
"1","37037","NGA37037"
"1","37038","NGA37038"
"1","37039","NGA37039"
"1","37040","NGA37040"
"1","37041","NGA37041"
"1","37042","NGA37042"
"1","37043","NGA37043"
"1","37044","NGA37044"
"1","37045","NGA37045"
"1","37046","NGA37046"
"1","37047","NGA37047"
"1","37048","NGA37048"
"1","37049","NGA37049"
"1","37050","NGA37050"
"1","37051","NGA37051"
"1","37052","NGA37052"
"1","37053","NGA37053"
"1","37054","NGA37054"
"1","37055","NGA37055"
"1","37056","NGA37056"
"1","37057","NGA37057"
"1","37058","NGA37058"
"1","37059","NGA37059"
"1","37060","NGA37060"
"1","37061","NGA37061"
"1","37062","NGA37062"
"1","37063","NGA37063"
"1","37064","NGA37064"
"1","37065","NGA37065"
"1","37066","NGA37066"
"1","37067","NGA37067"
"1","37068","NGA37068"
"1","37069","NGA37069"
"1","37070","NGA37070"
"1","37071","NGA37071"
"1","37072","NGA37072"
"1","37073","NGA37073"
"1","37074","NGA37074"
"1","37075","NGA37075"
"1","37076","NGA37076"
"1","37077","NGA37077"
"1","37078","NGA37078"
"1","37079","NGA37079"
"1","37080","NGA37080"
"1","37081","NGA37081"
"1","37082","NGA37082"
"1","37083","NGA37083"
"1","37084","NGA37084"
"1","37085","NGA37085"
"1","37086","NGA37086"
"1","37087","NGA37087"
"1","37088","NGA37088"
"1","37089","NGA37089"
"1","37090","NGA37090"
"1","37091","NGA37091"
"1","37092","NGA37092"
"1","37093","NGA37093"
"1","37094","NGA37094"
"1","37095","NGA37095"
"1","37096","NGA37096"
"1","37097","NGA37097"
"1","37098","NGA37098"
"1","37099","NGA37099"
"1","37100","NGA37100"
"1","37101","NGA37101"
"1","37102","NGA37102"
"1","37103","NGA37103"
"1","37104","NGA37104"
"1","37105","NGA37105"
"1","37106","NGA37106"
