"Group_name","IU_ID","IU_ID2"
"1","ETH19556","ETH19556"
"1","ETH19557","ETH19557"
"1","ETH19558","ETH19558"
"1","ETH19559","ETH19559"
"1","ETH19560","ETH19560"
"1","ETH19561","ETH19561"
"1","ETH19562","ETH19562"
"1","ETH19563","ETH19563"
"1","ETH19564","ETH19564"
"1","ETH19565","ETH19565"
"1","ETH19566","ETH19566"
"1","ETH19567","ETH19567"
"1","ETH19568","ETH19568"
"1","ETH19569","ETH19569"
"1","ETH19573","ETH19573"
"1","ETH19575","ETH19575"
"1","ETH19576","ETH19576"
"1","ETH19577","ETH19577"
"1","ETH19578","ETH19578"
"1","ETH19579","ETH19579"
"1","ETH19580","ETH19580"
"1","ETH19581","ETH19581"
"1","ETH19582","ETH19582"
"1","ETH19583","ETH19583"
"1","ETH19584","ETH19584"
"1","ETH19586","ETH19586"
"1","ETH19587","ETH19587"
"1","ETH19588","ETH19588"
"1","ETH19591","ETH19591"
"1","GHA21604","GHA21604"
"1","GHA21605","GHA21605"
"1","GHA21606","GHA21606"
"1","GHA21607","GHA21607"
"1","GHA21608","GHA21608"
"1","GHA21609","GHA21609"
"1","GHA21610","GHA21610"
"1","GHA21611","GHA21611"
"1","GHA21612","GHA21612"
"1","GHA21613","GHA21613"
"1","GHA21614","GHA21614"
"1","GHA21615","GHA21615"
"1","GHA21616","GHA21616"
"1","GHA21617","GHA21617"
"1","GHA21618","GHA21618"
"1","GHA21619","GHA21619"
"1","GHA21620","GHA21620"
"1","GHA21621","GHA21621"
"1","GHA21622","GHA21622"
"1","GHA21623","GHA21623"
"1","GHA21624","GHA21624"
"1","GHA21625","GHA21625"
"1","GHA21626","GHA21626"
"1","GHA21627","GHA21627"
"1","GHA21628","GHA21628"
"1","GHA21629","GHA21629"
"1","GHA21630","GHA21630"
"1","GHA21631","GHA21631"
"1","GHA21632","GHA21632"
"1","GHA21633","GHA21633"
"1","GHA21634","GHA21634"
"1","GHA21635","GHA21635"
"1","GHA21636","GHA21636"
"1","GHA21637","GHA21637"
"1","GHA21638","GHA21638"
"1","GHA21639","GHA21639"
"1","GHA21640","GHA21640"
"1","GHA21641","GHA21641"
"1","GHA21642","GHA21642"
"1","GHA21643","GHA21643"
"1","GHA21644","GHA21644"
"1","GHA21645","GHA21645"
"1","GHA21646","GHA21646"
"1","GHA21647","GHA21647"
"1","GHA21648","GHA21648"
"1","GHA21649","GHA21649"
"1","GHA21650","GHA21650"
"1","GHA21651","GHA21651"
"1","GHA21652","GHA21652"
"1","GHA21653","GHA21653"
"1","GHA21654","GHA21654"
"1","GHA21655","GHA21655"
"1","GHA21656","GHA21656"
"1","GHA21657","GHA21657"
"1","GHA21658","GHA21658"
"1","GHA21659","GHA21659"
