"Group_name","IU_ID","IU_ID2"
"1","BWA04318","BWA04318"
"1","BWA04319","BWA04319"
"1","CAF09661","CAF09661"
"1","CAF09662","CAF09662"
"1","CAF09663","CAF09663"
"1","CAF09664","CAF09664"
"1","CAF09665","CAF09665"
"1","CAF09666","CAF09666"
"1","CAF09667","CAF09667"
"1","CAF09668","CAF09668"
"1","CAF09669","CAF09669"
"1","CAF09670","CAF09670"
"1","CAF09671","CAF09671"
"1","CAF09672","CAF09672"
"1","CAF09673","CAF09673"
"1","CAF09674","CAF09674"
"1","CAF09675","CAF09675"
"1","CAF09676","CAF09676"
"1","CAF09677","CAF09677"
"1","CAF09678","CAF09678"
"1","CAF09679","CAF09679"
"1","CAF09680","CAF09680"
"1","CAF09681","CAF09681"
"1","CAF09682","CAF09682"
"1","CAF09683","CAF09683"
"1","CAF09684","CAF09684"
"1","CAF09685","CAF09685"
"1","CAF09686","CAF09686"
"1","CAF09687","CAF09687"
"1","CAF09688","CAF09688"
"1","CAF09689","CAF09689"
"1","CAF09690","CAF09690"
"1","CAF09691","CAF09691"
"1","CAF09692","CAF09692"
"1","CAF09693","CAF09693"
"1","CAF09694","CAF09694"
"1","CAF09695","CAF09695"
"1","CIV15412","CIV15412"
"1","CIV15413","CIV15413"
"1","CIV15414","CIV15414"
"1","CIV15417","CIV15417"
"1","CIV15418","CIV15418"
"1","CIV15419","CIV15419"
"1","CIV15420","CIV15420"
"1","CIV15421","CIV15421"
"1","CIV15422","CIV15422"
"1","CIV15423","CIV15423"
"1","CIV15424","CIV15424"
"1","CIV15425","CIV15425"
"1","CIV15426","CIV15426"
"1","CIV15427","CIV15427"
"1","CIV15428","CIV15428"
"1","CIV15429","CIV15429"
"1","CIV15430","CIV15430"
"1","CIV15431","CIV15431"
"1","CIV15432","CIV15432"
"1","CIV15433","CIV15433"
"1","CIV15434","CIV15434"
"1","CIV15435","CIV15435"
"1","CIV15436","CIV15436"
"1","CIV15437","CIV15437"
"1","CIV15438","CIV15438"
"1","CIV15439","CIV15439"
"1","CIV15440","CIV15440"
"1","CIV15441","CIV15441"
"1","CIV15442","CIV15442"
"1","CIV15443","CIV15443"
"1","CIV15444","CIV15444"
"1","CIV15445","CIV15445"
"1","CIV15446","CIV15446"
"1","CIV15447","CIV15447"
"1","CIV15448","CIV15448"
"1","CIV15449","CIV15449"
"1","CIV15450","CIV15450"
"1","CIV15451","CIV15451"
"1","CIV15452","CIV15452"
"1","CIV15453","CIV15453"
"1","CIV15454","CIV15454"
"1","CIV15455","CIV15455"
"1","CIV15456","CIV15456"
"1","CIV15457","CIV15457"
"1","CIV15458","CIV15458"
"1","CIV15459","CIV15459"
"1","CIV15460","CIV15460"
"1","CIV15461","CIV15461"
"1","CIV15462","CIV15462"
"1","CIV15463","CIV15463"
"1","CIV15464","CIV15464"
"1","CMR07609","CMR07609"
"1","CMR07610","CMR07610"
"1","CMR07611","CMR07611"
"1","CMR07612","CMR07612"
"1","CMR07613","CMR07613"
"1","CMR07614","CMR07614"
"1","CMR07615","CMR07615"
"1","CMR07616","CMR07616"
"1","COG12831","COG12831"
"1","COG12832","COG12832"
"1","COG12833","COG12833"
"1","COG12834","COG12834"
"1","COG12835","COG12835"
"1","COG12836","COG12836"
"1","COG12837","COG12837"
"1","COG12838","COG12838"
"1","COG12839","COG12839"
"1","COG12840","COG12840"
"1","COG12841","COG12841"
"1","COG12842","COG12842"
"1","COG12843","COG12843"
"1","COG12844","COG12844"
"1","COG12846","COG12846"
"1","COG12847","COG12847"
"1","COG12848","COG12848"
"1","COG12849","COG12849"
"1","COG12850","COG12850"
"1","ETH18965","ETH18965"
"1","ETH18966","ETH18966"
"1","ETH18967","ETH18967"
"1","ETH18968","ETH18968"
"1","ETH18969","ETH18969"
"1","ETH18970","ETH18970"
"1","ETH18971","ETH18971"
"1","ETH18973","ETH18973"
"1","ETH18975","ETH18975"
"1","ETH18977","ETH18977"
"1","ETH18979","ETH18979"
"1","ETH18980","ETH18980"
"1","ETH18981","ETH18981"
"1","ETH18982","ETH18982"
"1","ETH18983","ETH18983"
"1","ETH18984","ETH18984"
"1","ETH18985","ETH18985"
"1","ETH18986","ETH18986"
"1","ETH18988","ETH18988"
"1","ETH18989","ETH18989"
"1","ETH18990","ETH18990"
"1","ETH18991","ETH18991"
"1","ETH18993","ETH18993"
"1","ETH18995","ETH18995"
"1","ETH18997","ETH18997"
"1","ETH18998","ETH18998"
"1","ETH18999","ETH18999"
"1","ETH19000","ETH19000"
"1","ETH19002","ETH19002"
"1","ETH19004","ETH19004"
"1","ETH19005","ETH19005"
"1","ETH19006","ETH19006"
"1","ETH19007","ETH19007"
"1","ETH19008","ETH19008"
"1","ETH19009","ETH19009"
"1","ETH19010","ETH19010"
"1","ETH19011","ETH19011"
"1","ETH19012","ETH19012"
"1","ETH19013","ETH19013"
"1","ETH19014","ETH19014"
"1","ETH19016","ETH19016"
"1","ETH19017","ETH19017"
"1","ETH19018","ETH19018"
"1","ETH19019","ETH19019"
"1","ETH19020","ETH19020"
"1","ETH19021","ETH19021"
"1","ETH19022","ETH19022"
"1","ETH19023","ETH19023"
"1","ETH19024","ETH19024"
"1","ETH19026","ETH19026"
"1","ETH19027","ETH19027"
"1","ETH19028","ETH19028"
"1","ETH19029","ETH19029"
"1","ETH19030","ETH19030"
"1","ETH19031","ETH19031"
"1","ETH19033","ETH19033"
"1","ETH19034","ETH19034"
"1","ETH19035","ETH19035"
"1","ETH19037","ETH19037"
"1","ETH19038","ETH19038"
"1","ETH19039","ETH19039"
"1","ETH19040","ETH19040"
"1","ETH19041","ETH19041"
"1","ETH19042","ETH19042"
"1","ETH19043","ETH19043"
"1","ETH19044","ETH19044"
"1","ETH19045","ETH19045"
"1","ETH19046","ETH19046"
"1","ETH19047","ETH19047"
"1","ETH19048","ETH19048"
"1","ETH19049","ETH19049"
"1","ETH19050","ETH19050"
"1","ETH19051","ETH19051"
"1","ETH19052","ETH19052"
"1","ETH19053","ETH19053"
"1","ETH19054","ETH19054"
"1","ETH19055","ETH19055"
"1","ETH19056","ETH19056"
"1","ETH19057","ETH19057"
"1","ETH19059","ETH19059"
"1","ETH19060","ETH19060"
"1","ETH19061","ETH19061"
"1","ETH19062","ETH19062"
"1","ETH19063","ETH19063"
"1","ETH19064","ETH19064"
"1","ETH19065","ETH19065"
"1","ETH19066","ETH19066"
"1","ETH19067","ETH19067"
"1","ETH19068","ETH19068"
"1","ETH19069","ETH19069"
"1","ETH19070","ETH19070"
"1","ETH19071","ETH19071"
"1","ETH19072","ETH19072"
"1","ETH19073","ETH19073"
"1","ETH19074","ETH19074"
"1","ETH19075","ETH19075"
"1","ETH19076","ETH19076"
"1","ETH19077","ETH19077"
"1","ETH19078","ETH19078"
"1","ETH19079","ETH19079"
"1","ETH19080","ETH19080"
"1","ETH19081","ETH19081"
"1","ETH19082","ETH19082"
"1","ETH19083","ETH19083"
"1","ETH19084","ETH19084"
"1","ETH19085","ETH19085"
"1","ETH19086","ETH19086"
"1","ETH19087","ETH19087"
"1","ETH19088","ETH19088"
"1","ETH19089","ETH19089"
"1","ETH19090","ETH19090"
"1","ETH19091","ETH19091"
"1","ETH19092","ETH19092"
"1","ETH19093","ETH19093"
"1","ETH19094","ETH19094"
"1","ETH19095","ETH19095"
"1","ETH19096","ETH19096"
"1","ETH19097","ETH19097"
"1","ETH19098","ETH19098"
"1","ETH19099","ETH19099"
"1","ETH19100","ETH19100"
"1","ETH19101","ETH19101"
"1","ETH19102","ETH19102"
"1","ETH19103","ETH19103"
"1","ETH19104","ETH19104"
"1","ETH19105","ETH19105"
"1","ETH19106","ETH19106"
"1","ETH19107","ETH19107"
"1","ETH19108","ETH19108"
"1","ETH19109","ETH19109"
"1","ETH19110","ETH19110"
"1","ETH19111","ETH19111"
"1","ETH19112","ETH19112"
"1","ETH19113","ETH19113"
"1","ETH19114","ETH19114"
"1","ETH19115","ETH19115"
"1","ETH19116","ETH19116"
"1","ETH19117","ETH19117"
"1","ETH19118","ETH19118"
"1","ETH19120","ETH19120"
"1","ETH19122","ETH19122"
"1","ETH19123","ETH19123"
"1","ETH19125","ETH19125"
"1","ETH19126","ETH19126"
"1","ETH19127","ETH19127"
"1","ETH19133","ETH19133"
"1","ETH19134","ETH19134"
"1","ETH19136","ETH19136"
"1","ETH19137","ETH19137"
"1","ETH19138","ETH19138"
"1","ETH19140","ETH19140"
"1","ETH19141","ETH19141"
"1","ETH19142","ETH19142"
"1","ETH19143","ETH19143"
"1","ETH19146","ETH19146"
"1","ETH19151","ETH19151"
"1","ETH19153","ETH19153"
"1","ETH19155","ETH19155"
"1","ETH19156","ETH19156"
"1","ETH19157","ETH19157"
