"Group_name","IU_ID","IU_ID2"
"1","COD14114","COD14114"
"1","COD14115","COD14115"
"1","COD14116","COD14116"
"1","COD14117","COD14117"
"1","COD14118","COD14118"
"1","COD14119","COD14119"
"1","COD14120","COD14120"
"1","COD14121","COD14121"
"1","COD14122","COD14122"
"1","COD14123","COD14123"
"1","COD14124","COD14124"
"1","COD14125","COD14125"
"1","COD14126","COD14126"
"1","COD14127","COD14127"
"1","COD14128","COD14128"
"1","COD14129","COD14129"
"1","COD14130","COD14130"
"1","COD14131","COD14131"
"1","COD14132","COD14132"
"1","COD14133","COD14133"
"1","COD14134","COD14134"
"1","COD14135","COD14135"
"1","COD14136","COD14136"
"1","COD14137","COD14137"
"1","COD14138","COD14138"
"1","COD14139","COD14139"
"1","COD14140","COD14140"
"1","COD14141","COD14141"
"1","COD14142","COD14142"
"1","COD14143","COD14143"
"1","COD14144","COD14144"
"1","COD14145","COD14145"
"1","COD14146","COD14146"
"1","COD14147","COD14147"
"1","COD14148","COD14148"
"1","COD14149","COD14149"
"1","COD14150","COD14150"
"1","COD14151","COD14151"
"1","COD14152","COD14152"
"1","COD14153","COD14153"
"1","COD14154","COD14154"
"1","COD14155","COD14155"
"1","COD14156","COD14156"
"1","COD14157","COD14157"
"1","COD14158","COD14158"
"1","COD14159","COD14159"
"1","COD14160","COD14160"
"1","COD14161","COD14161"
"1","COD14162","COD14162"
"1","COD14163","COD14163"
"1","COD14164","COD14164"
"1","COD14165","COD14165"
"1","COD14166","COD14166"
"1","COD14167","COD14167"
"1","COD14168","COD14168"
"1","COD14169","COD14169"
"1","COD14170","COD14170"
"1","COD14171","COD14171"
"1","COD14172","COD14172"
"1","COD14173","COD14173"
"1","COD14174","COD14174"
"1","COD14175","COD14175"
"1","COD14176","COD14176"
"1","COD14177","COD14177"
"1","COD14178","COD14178"
"1","COD14179","COD14179"
"1","COD14180","COD14180"
"1","COD14181","COD14181"
"1","COD14182","COD14182"
"1","COD14183","COD14183"
"1","COD14184","COD14184"
"1","COD14185","COD14185"
"1","COD14186","COD14186"
"1","COD14187","COD14187"
"1","COD14188","COD14188"
"1","COD14189","COD14189"
"1","COD14190","COD14190"
"1","COD14191","COD14191"
"1","COD14192","COD14192"
"1","COD14193","COD14193"
"1","COD14194","COD14194"
"1","COD14195","COD14195"
"1","COD14196","COD14196"
"1","COD14197","COD14197"
"1","COD14198","COD14198"
"1","COD14199","COD14199"
"1","COD14200","COD14200"
"1","COD14201","COD14201"
"1","COD14202","COD14202"
"1","COD14203","COD14203"
"1","COD14204","COD14204"
"1","COD14205","COD14205"
"1","COD14206","COD14206"
"1","COD14207","COD14207"
"1","COD14208","COD14208"
"1","COD14209","COD14209"
"1","COD14210","COD14210"
"1","COD14211","COD14211"
"1","COD14212","COD14212"
"1","COD14213","COD14213"
"1","COD14214","COD14214"
"1","COD14215","COD14215"
"1","COD14216","COD14216"
"1","COD14217","COD14217"
"1","COD14218","COD14218"
"1","COD14219","COD14219"
"1","COD14220","COD14220"
"1","COD14221","COD14221"
"1","COD14222","COD14222"
"1","COD14223","COD14223"
"1","COD14224","COD14224"
"1","COD14225","COD14225"
"1","COD14226","COD14226"
"1","COD14227","COD14227"
"1","COD14228","COD14228"
"1","COD14229","COD14229"
"1","COD14230","COD14230"
"1","COD14231","COD14231"
"1","COD14232","COD14232"
"1","COD14233","COD14233"
"1","COD14234","COD14234"
"1","COD14235","COD14235"
"1","COD14236","COD14236"
"1","COD14237","COD14237"
"1","COD14238","COD14238"
"1","COD14239","COD14239"
"1","COD14240","COD14240"
"1","COD14241","COD14241"
"1","COD14242","COD14242"
"1","COD14243","COD14243"
"1","COD14244","COD14244"
"1","COD14245","COD14245"
"1","COD14246","COD14246"
"1","COD14247","COD14247"
"1","COD14248","COD14248"
"1","COD14249","COD14249"
"1","COD14250","COD14250"
"1","COD14251","COD14251"
"1","COD14252","COD14252"
"1","COD14253","COD14253"
"1","COD14254","COD14254"
"1","COD14255","COD14255"
"1","COD14256","COD14256"
"1","COD14257","COD14257"
"1","COD14258","COD14258"
"1","COD14259","COD14259"
"1","COD14260","COD14260"
"1","COD14261","COD14261"
"1","COD14262","COD14262"
"1","COD14263","COD14263"
"1","COD14264","COD14264"
"1","COD14266","COD14266"
"1","COD14267","COD14267"
"1","COD14268","COD14268"
"1","COD14269","COD14269"
"1","COD14270","COD14270"
"1","COD14271","COD14271"
"1","COD14272","COD14272"
"1","COD14273","COD14273"
"1","COD14274","COD14274"
"1","COD14275","COD14275"
"1","COD14276","COD14276"
"1","COD14277","COD14277"
"1","COD14278","COD14278"
"1","COD14279","COD14279"
"1","COD14280","COD14280"
"1","COD14281","COD14281"
"1","COD14282","COD14282"
"1","COD14283","COD14283"
"1","COD14284","COD14284"
"1","COD14285","COD14285"
"1","COD14286","COD14286"
"1","COD14287","COD14287"
"1","COD14288","COD14288"
"1","COD14289","COD14289"
"1","COD14290","COD14290"
"1","COD14291","COD14291"
"1","COD14292","COD14292"
"1","COD14293","COD14293"
"1","COD14294","COD14294"
"1","COD14295","COD14295"
"1","COD14296","COD14296"
"1","COD14297","COD14297"
"1","COD14298","COD14298"
"1","COD14299","COD14299"
"1","COD14300","COD14300"
"1","COD14301","COD14301"
"1","COD14302","COD14302"
"1","COD14303","COD14303"
"1","COD14304","COD14304"
"1","COD14305","COD14305"
"1","COD14306","COD14306"
"1","COD14307","COD14307"
"1","COD14308","COD14308"
"1","COD14309","COD14309"
"1","COD14310","COD14310"
"1","COD14311","COD14311"
"1","COD14312","COD14312"
"1","COD14313","COD14313"
"1","COD14314","COD14314"
"1","COD14315","COD14315"
"1","COD14316","COD14316"
"1","COD14317","COD14317"
"1","COD14318","COD14318"
"1","COD14319","COD14319"
"1","COD14320","COD14320"
"1","COD14321","COD14321"
"1","COD14322","COD14322"
"1","COD14323","COD14323"
"1","COD14324","COD14324"
"1","COD14325","COD14325"
"1","COD14326","COD14326"
"1","COD14327","COD14327"
"1","COD14328","COD14328"
"1","COD14329","COD14329"
"1","COD14330","COD14330"
"1","COD14332","COD14332"
"1","COD14335","COD14335"
"1","COD14336","COD14336"
"1","COD14338","COD14338"
"1","COD14340","COD14340"
"1","COG12763","COG12763"
"1","COG12765","COG12765"
"1","COG12768","COG12768"
"1","COG12773","COG12773"
"1","COG12775","COG12775"
"1","COG12777","COG12777"
"1","COG12778","COG12778"
"1","COG12780","COG12780"
"1","COG12784","COG12784"
"1","COG12785","COG12785"
"1","COG12786","COG12786"
"1","COG12789","COG12789"
"1","COG12791","COG12791"
"1","COG12798","COG12798"
"1","COG12800","COG12800"
"1","COG12802","COG12802"
"1","COG12803","COG12803"
"1","COG12805","COG12805"
"1","COG12806","COG12806"
"1","COG12807","COG12807"
"1","COG12808","COG12808"
"1","COG12810","COG12810"
"1","COG12811","COG12811"
"1","COG12813","COG12813"
"1","COG12814","COG12814"
"1","COG12822","COG12822"
"1","COG12823","COG12823"
"1","COG12824","COG12824"
"1","COG12825","COG12825"
"1","COG12826","COG12826"
"1","COG12828","COG12828"
"1","COG12829","COG12829"
"1","COG12830","COG12830"
"1","DJI58001","DJI58001"
"1","DJI58002","DJI58002"
"1","DJI58003","DJI58003"
"1","DJI58004","DJI58004"
"1","DJI58005","DJI58005"
"1","ERI17429","ERI17429"
"1","ERI17430","ERI17430"
"1","ERI17431","ERI17431"
"1","ERI17432","ERI17432"
"1","ERI17433","ERI17433"
"1","ERI17434","ERI17434"
"1","ERI17435","ERI17435"
"1","ERI17436","ERI17436"
"1","ERI17437","ERI17437"
"1","ERI17438","ERI17438"
"1","ERI17439","ERI17439"
"1","ERI17440","ERI17440"
"1","ERI17441","ERI17441"
"1","ERI17442","ERI17442"
"1","ERI17443","ERI17443"
"1","ERI17444","ERI17444"
"1","ERI17445","ERI17445"
"1","ERI17446","ERI17446"
"1","ERI17447","ERI17447"
"1","ERI17448","ERI17448"
"1","ERI17449","ERI17449"
"1","ERI17450","ERI17450"
"1","ERI17451","ERI17451"
"1","ERI17452","ERI17452"
"1","ERI17453","ERI17453"
"1","ERI17454","ERI17454"
"1","ERI17455","ERI17455"
"1","ERI17456","ERI17456"
"1","ERI17457","ERI17457"
"1","ERI17458","ERI17458"
"1","ERI17459","ERI17459"
"1","ERI17460","ERI17460"
"1","ERI17461","ERI17461"
"1","ERI17462","ERI17462"
"1","ERI17463","ERI17463"
"1","ERI17464","ERI17464"
"1","ERI17465","ERI17465"
"1","ERI17466","ERI17466"
"1","ERI17467","ERI17467"
"1","ERI17468","ERI17468"
"1","ERI17469","ERI17469"
"1","ERI17470","ERI17470"
"1","ERI17471","ERI17471"
"1","ERI17472","ERI17472"
"1","ERI17473","ERI17473"
"1","ERI17474","ERI17474"
"1","ERI17475","ERI17475"
"1","ERI17476","ERI17476"
"1","ERI17477","ERI17477"
"1","ERI17478","ERI17478"
"1","ERI17479","ERI17479"
"1","ERI17480","ERI17480"
"1","ERI17481","ERI17481"
"1","ERI17482","ERI17482"
"1","ERI17483","ERI17483"
"1","ERI17484","ERI17484"
"1","ERI17485","ERI17485"
"1","ERI17486","ERI17486"
"1","ETH18487","ETH18487"
"1","ETH18488","ETH18488"
"1","ETH18489","ETH18489"
"1","ETH18491","ETH18491"
"1","ETH18492","ETH18492"
"1","ETH18493","ETH18493"
"1","ETH18494","ETH18494"
"1","ETH18495","ETH18495"
"1","ETH18496","ETH18496"
"1","ETH18497","ETH18497"
"1","ETH18498","ETH18498"
"1","ETH18499","ETH18499"
"1","ETH18500","ETH18500"
"1","ETH18501","ETH18501"
"1","ETH18502","ETH18502"
"1","ETH18503","ETH18503"
"1","ETH18505","ETH18505"
"1","ETH18506","ETH18506"
"1","ETH18507","ETH18507"
"1","ETH18508","ETH18508"
"1","ETH18509","ETH18509"
"1","ETH18510","ETH18510"
"1","ETH18511","ETH18511"
"1","ETH18512","ETH18512"
"1","ETH18513","ETH18513"
"1","ETH18514","ETH18514"
"1","ETH18515","ETH18515"
"1","ETH18516","ETH18516"
"1","ETH18517","ETH18517"
"1","ETH18518","ETH18518"
"1","ETH18520","ETH18520"
"1","ETH18521","ETH18521"
"1","ETH18522","ETH18522"
"1","ETH18523","ETH18523"
"1","ETH18524","ETH18524"
"1","ETH18525","ETH18525"
"1","ETH18526","ETH18526"
"1","ETH18528","ETH18528"
"1","ETH18529","ETH18529"
"1","ETH18530","ETH18530"
"1","ETH18531","ETH18531"
"1","ETH18532","ETH18532"
"1","ETH18533","ETH18533"
"1","ETH18534","ETH18534"
"1","ETH18535","ETH18535"
"1","ETH18536","ETH18536"
"1","ETH18537","ETH18537"
"1","ETH18538","ETH18538"
"1","ETH18539","ETH18539"
"1","ETH18540","ETH18540"
"1","ETH18541","ETH18541"
"1","ETH18542","ETH18542"
"1","ETH18543","ETH18543"
"1","ETH18544","ETH18544"
"1","ETH18545","ETH18545"
"1","ETH18546","ETH18546"
"1","ETH18547","ETH18547"
"1","ETH18548","ETH18548"
"1","ETH18549","ETH18549"
"1","ETH18550","ETH18550"
"1","ETH18551","ETH18551"
"1","ETH18552","ETH18552"
"1","ETH18553","ETH18553"
"1","ETH18554","ETH18554"
"1","ETH18555","ETH18555"
"1","ETH18556","ETH18556"
"1","ETH18558","ETH18558"
"1","ETH18559","ETH18559"
"1","ETH18560","ETH18560"
"1","ETH18561","ETH18561"
"1","ETH18563","ETH18563"
"1","ETH18564","ETH18564"
"1","ETH18565","ETH18565"
"1","ETH18566","ETH18566"
"1","ETH18567","ETH18567"
"1","ETH18568","ETH18568"
"1","ETH18569","ETH18569"
"1","ETH18570","ETH18570"
"1","ETH18571","ETH18571"
"1","ETH18573","ETH18573"
"1","ETH18574","ETH18574"
"1","ETH18575","ETH18575"
"1","ETH18576","ETH18576"
"1","ETH18577","ETH18577"
"1","ETH18578","ETH18578"
"1","ETH18579","ETH18579"
"1","ETH18580","ETH18580"
"1","ETH18581","ETH18581"
"1","ETH18582","ETH18582"
"1","ETH18583","ETH18583"
"1","ETH18584","ETH18584"
"1","ETH18585","ETH18585"
"1","ETH18586","ETH18586"
"1","ETH18587","ETH18587"
"1","ETH18588","ETH18588"
"1","ETH18589","ETH18589"
"1","ETH18590","ETH18590"
"1","ETH18591","ETH18591"
"1","ETH18592","ETH18592"
"1","ETH18593","ETH18593"
"1","ETH18594","ETH18594"
"1","ETH18595","ETH18595"
"1","ETH18596","ETH18596"
"1","ETH18597","ETH18597"
"1","ETH18599","ETH18599"
"1","ETH18600","ETH18600"
"1","ETH18601","ETH18601"
"1","ETH18602","ETH18602"
"1","ETH18603","ETH18603"
"1","ETH18604","ETH18604"
"1","ETH18605","ETH18605"
"1","ETH18606","ETH18606"
"1","ETH18607","ETH18607"
"1","ETH18608","ETH18608"
"1","ETH18609","ETH18609"
"1","ETH18610","ETH18610"
"1","ETH18611","ETH18611"
"1","ETH18612","ETH18612"
"1","ETH18613","ETH18613"
"1","ETH18614","ETH18614"
"1","ETH18615","ETH18615"
"1","ETH18616","ETH18616"
"1","ETH18617","ETH18617"
"1","ETH18618","ETH18618"
"1","ETH18619","ETH18619"
"1","ETH18620","ETH18620"
"1","ETH18621","ETH18621"
"1","ETH18622","ETH18622"
"1","ETH18623","ETH18623"
"1","ETH18624","ETH18624"
"1","ETH18625","ETH18625"
"1","ETH18626","ETH18626"
"1","ETH18627","ETH18627"
"1","ETH18628","ETH18628"
"1","ETH18629","ETH18629"
"1","ETH18630","ETH18630"
"1","ETH18631","ETH18631"
"1","ETH18632","ETH18632"
"1","ETH18633","ETH18633"
"1","ETH18634","ETH18634"
"1","ETH18635","ETH18635"
"1","ETH18636","ETH18636"
"1","ETH18637","ETH18637"
"1","ETH18638","ETH18638"
