"Group_name","IU_ID","IU_ID2"
"1","ETH18639","ETH18639"
"1","ETH18640","ETH18640"
"1","ETH18641","ETH18641"
"1","ETH18642","ETH18642"
"1","ETH18643","ETH18643"
"1","ETH18644","ETH18644"
"1","ETH18645","ETH18645"
"1","ETH18646","ETH18646"
"1","ETH18647","ETH18647"
"1","ETH18648","ETH18648"
"1","ETH18649","ETH18649"
"1","ETH18650","ETH18650"
"1","ETH18651","ETH18651"
"1","ETH18652","ETH18652"
"1","ETH18653","ETH18653"
"1","ETH18654","ETH18654"
"1","ETH18655","ETH18655"
"1","ETH18656","ETH18656"
"1","ETH18657","ETH18657"
"1","ETH18658","ETH18658"
"1","ETH18659","ETH18659"
"1","ETH18660","ETH18660"
"1","ETH18661","ETH18661"
"1","ETH18662","ETH18662"
"1","ETH18663","ETH18663"
"1","ETH18664","ETH18664"
"1","ETH18665","ETH18665"
"1","ETH18666","ETH18666"
"1","ETH18667","ETH18667"
"1","ETH18668","ETH18668"
"1","ETH18669","ETH18669"
"1","ETH18670","ETH18670"
"1","ETH18671","ETH18671"
"1","ETH18672","ETH18672"
"1","ETH18673","ETH18673"
"1","ETH18674","ETH18674"
"1","ETH18675","ETH18675"
"1","ETH18676","ETH18676"
"1","ETH18678","ETH18678"
"1","ETH18680","ETH18680"
"1","ETH18681","ETH18681"
"1","ETH18682","ETH18682"
"1","ETH18683","ETH18683"
"1","ETH18684","ETH18684"
"1","ETH18686","ETH18686"
"1","ETH18688","ETH18688"
"1","ETH18689","ETH18689"
"1","ETH18690","ETH18690"
"1","ETH18691","ETH18691"
"1","ETH18692","ETH18692"
"1","ETH18695","ETH18695"
"1","ETH18699","ETH18699"
"1","ETH18700","ETH18700"
"1","ETH18701","ETH18701"
"1","ETH18702","ETH18702"
"1","ETH18703","ETH18703"
"1","ETH18704","ETH18704"
"1","ETH18707","ETH18707"
"1","ETH18714","ETH18714"
"1","ETH18715","ETH18715"
"1","ETH18717","ETH18717"
"1","ETH18718","ETH18718"
"1","ETH18721","ETH18721"
"1","ETH18723","ETH18723"
"1","ETH18725","ETH18725"
"1","ETH18726","ETH18726"
"1","ETH18732","ETH18732"
"1","ETH18736","ETH18736"
"1","ETH18738","ETH18738"
"1","ETH18739","ETH18739"
"1","ETH18740","ETH18740"
"1","ETH18741","ETH18741"
"1","ETH18742","ETH18742"
"1","ETH18743","ETH18743"
"1","ETH18744","ETH18744"
"1","ETH18746","ETH18746"
"1","ETH18747","ETH18747"
"1","ETH18748","ETH18748"
"1","ETH18750","ETH18750"
"1","ETH18751","ETH18751"
"1","ETH18753","ETH18753"
"1","ETH18754","ETH18754"
"1","ETH18755","ETH18755"
"1","ETH18756","ETH18756"
"1","ETH18757","ETH18757"
"1","ETH18759","ETH18759"
"1","ETH18760","ETH18760"
"1","ETH18762","ETH18762"
"1","ETH18763","ETH18763"
"1","ETH18764","ETH18764"
"1","ETH18766","ETH18766"
"1","ETH18767","ETH18767"
"1","ETH18770","ETH18770"
"1","ETH18771","ETH18771"
"1","ETH18772","ETH18772"
"1","ETH18773","ETH18773"
"1","ETH18774","ETH18774"
"1","ETH18775","ETH18775"
"1","ETH18777","ETH18777"
"1","ETH18778","ETH18778"
"1","ETH18780","ETH18780"
"1","ETH18781","ETH18781"
"1","ETH18783","ETH18783"
"1","ETH18785","ETH18785"
"1","ETH18786","ETH18786"
"1","ETH18787","ETH18787"
"1","ETH18790","ETH18790"
"1","ETH18791","ETH18791"
"1","ETH18792","ETH18792"
"1","ETH18793","ETH18793"
"1","ETH18794","ETH18794"
"1","ETH18795","ETH18795"
"1","ETH18796","ETH18796"
"1","ETH18799","ETH18799"
"1","ETH18801","ETH18801"
"1","ETH18802","ETH18802"
"1","ETH18803","ETH18803"
"1","ETH18805","ETH18805"
"1","ETH18806","ETH18806"
"1","ETH18807","ETH18807"
"1","ETH18808","ETH18808"
"1","ETH18809","ETH18809"
"1","ETH18810","ETH18810"
"1","ETH18811","ETH18811"
"1","ETH18812","ETH18812"
"1","ETH18813","ETH18813"
"1","ETH18814","ETH18814"
"1","ETH18815","ETH18815"
"1","ETH18816","ETH18816"
"1","ETH18817","ETH18817"
"1","ETH18818","ETH18818"
"1","ETH18820","ETH18820"
"1","ETH18821","ETH18821"
"1","ETH18822","ETH18822"
"1","ETH18823","ETH18823"
"1","ETH18825","ETH18825"
"1","ETH18826","ETH18826"
"1","ETH18827","ETH18827"
"1","ETH18828","ETH18828"
"1","ETH18829","ETH18829"
"1","ETH18830","ETH18830"
"1","ETH18831","ETH18831"
"1","ETH18832","ETH18832"
"1","ETH18833","ETH18833"
"1","ETH18834","ETH18834"
"1","ETH18835","ETH18835"
"1","ETH18836","ETH18836"
"1","ETH18837","ETH18837"
"1","ETH18838","ETH18838"
"1","ETH18839","ETH18839"
"1","ETH18840","ETH18840"
"1","ETH18842","ETH18842"
"1","ETH18843","ETH18843"
"1","ETH18844","ETH18844"
"1","ETH18845","ETH18845"
"1","ETH18847","ETH18847"
"1","ETH18848","ETH18848"
"1","ETH18849","ETH18849"
"1","ETH18850","ETH18850"
"1","ETH18852","ETH18852"
"1","ETH18853","ETH18853"
"1","ETH18855","ETH18855"
"1","ETH18856","ETH18856"
"1","ETH18857","ETH18857"
"1","ETH18858","ETH18858"
"1","ETH18859","ETH18859"
"1","ETH18860","ETH18860"
"1","ETH18861","ETH18861"
"1","ETH18863","ETH18863"
"1","ETH18864","ETH18864"
"1","ETH18865","ETH18865"
"1","ETH18866","ETH18866"
"1","ETH18867","ETH18867"
"1","ETH18868","ETH18868"
"1","ETH18869","ETH18869"
"1","ETH18871","ETH18871"
"1","ETH18872","ETH18872"
"1","ETH18873","ETH18873"
"1","ETH18875","ETH18875"
"1","ETH18876","ETH18876"
"1","ETH18877","ETH18877"
"1","ETH18878","ETH18878"
"1","ETH18881","ETH18881"
"1","ETH18882","ETH18882"
"1","ETH18883","ETH18883"
"1","ETH18884","ETH18884"
"1","ETH18885","ETH18885"
"1","ETH18886","ETH18886"
"1","ETH18887","ETH18887"
"1","ETH18888","ETH18888"
"1","ETH18889","ETH18889"
"1","ETH18890","ETH18890"
"1","ETH18891","ETH18891"
"1","ETH18892","ETH18892"
"1","ETH18894","ETH18894"
"1","ETH18895","ETH18895"
"1","ETH18896","ETH18896"
"1","ETH18897","ETH18897"
"1","ETH18898","ETH18898"
"1","ETH18899","ETH18899"
"1","ETH18901","ETH18901"
"1","ETH18902","ETH18902"
"1","ETH18903","ETH18903"
"1","ETH18904","ETH18904"
"1","ETH18905","ETH18905"
"1","ETH18908","ETH18908"
"1","ETH18909","ETH18909"
"1","ETH18910","ETH18910"
"1","ETH18912","ETH18912"
"1","ETH18913","ETH18913"
"1","ETH18914","ETH18914"
"1","ETH18915","ETH18915"
"1","ETH18916","ETH18916"
"1","ETH18917","ETH18917"
"1","ETH18918","ETH18918"
"1","ETH18919","ETH18919"
"1","ETH18920","ETH18920"
"1","ETH18921","ETH18921"
"1","ETH18922","ETH18922"
"1","ETH18923","ETH18923"
"1","ETH18924","ETH18924"
"1","ETH18925","ETH18925"
"1","ETH18926","ETH18926"
"1","ETH18928","ETH18928"
"1","ETH18930","ETH18930"
"1","ETH18931","ETH18931"
"1","ETH18932","ETH18932"
"1","ETH18933","ETH18933"
"1","ETH18935","ETH18935"
"1","ETH18936","ETH18936"
"1","ETH18937","ETH18937"
"1","ETH18938","ETH18938"
"1","ETH18939","ETH18939"
"1","ETH18940","ETH18940"
"1","ETH18941","ETH18941"
"1","ETH18943","ETH18943"
"1","ETH18944","ETH18944"
"1","ETH18945","ETH18945"
"1","ETH18946","ETH18946"
"1","ETH18947","ETH18947"
"1","ETH18948","ETH18948"
"1","ETH18949","ETH18949"
"1","ETH18952","ETH18952"
"1","ETH18953","ETH18953"
"1","ETH18954","ETH18954"
"1","ETH18955","ETH18955"
"1","ETH18956","ETH18956"
"1","ETH18957","ETH18957"
"1","ETH18958","ETH18958"
"1","ETH18959","ETH18959"
"1","ETH18960","ETH18960"
"1","ETH18961","ETH18961"
"1","ETH18963","ETH18963"
"1","ETH18964","ETH18964"
"1","GMB47630","GMB47630"
"1","GMB47631","GMB47631"
"1","GMB47632","GMB47632"
"1","GMB47633","GMB47633"
"1","GMB47634","GMB47634"
"1","GMB47635","GMB47635"
"1","GMB47636","GMB47636"
"1","GMB47637","GMB47637"
"1","GMB47638","GMB47638"
"1","GMB47639","GMB47639"
"1","GMB47641","GMB47641"
"1","GMB47642","GMB47642"
"1","GMB47643","GMB47643"
"1","GMB47644","GMB47644"
"1","GNB23722","GNB23722"
"1","GNB23723","GNB23723"
"1","GNB23724","GNB23724"
"1","GNB23725","GNB23725"
"1","GNB23726","GNB23726"
"1","GNB23727","GNB23727"
"1","GNB23728","GNB23728"
"1","GNB23730","GNB23730"
"1","GNB23731","GNB23731"
"1","GNB23732","GNB23732"
"1","GNB23733","GNB23733"
"1","GNB23734","GNB23734"
"1","GNB23735","GNB23735"
"1","GNB23736","GNB23736"
"1","GNB23737","GNB23737"
"1","GNB23738","GNB23738"
"1","GNB23739","GNB23739"
"1","GNB23740","GNB23740"
"1","GNB23741","GNB23741"
"1","GNB23742","GNB23742"
"1","GNB23743","GNB23743"
"1","GNB23744","GNB23744"
"1","GNB23745","GNB23745"
"1","GNB23746","GNB23746"
"1","GNB23747","GNB23747"
"1","GNB23748","GNB23748"
"1","GNB23749","GNB23749"
"1","GNB23750","GNB23750"
"1","GNB23751","GNB23751"
"1","GNB23752","GNB23752"
"1","GNB23753","GNB23753"
"1","GNB23754","GNB23754"
"1","GNB23755","GNB23755"
"1","GNB23756","GNB23756"
"1","GNB23757","GNB23757"
"1","GNB23758","GNB23758"
"1","GNB23759","GNB23759"
"1","GNB23760","GNB23760"
