"Group_name","IU_ID","IU_ID2"
"1","KEN54141","KEN54141"
"1","KEN54142","KEN54142"
"1","KEN54143","KEN54143"
"1","KEN54144","KEN54144"
"1","KEN54145","KEN54145"
"1","KEN54146","KEN54146"
"1","KEN54147","KEN54147"
"1","KEN54148","KEN54148"
"1","KEN54149","KEN54149"
"1","KEN54150","KEN54150"
"1","KEN54151","KEN54151"
"1","KEN54152","KEN54152"
"1","KEN54153","KEN54153"
"1","KEN54154","KEN54154"
"1","KEN54155","KEN54155"
"1","KEN54156","KEN54156"
"1","KEN54157","KEN54157"
"1","KEN54158","KEN54158"
"1","KEN54159","KEN54159"
"1","KEN54160","KEN54160"
"1","KEN54161","KEN54161"
"1","KEN54162","KEN54162"
"1","KEN54163","KEN54163"
"1","KEN54164","KEN54164"
"1","KEN54165","KEN54165"
"1","KEN54166","KEN54166"
"1","KEN54167","KEN54167"
"1","KEN54168","KEN54168"
"1","KEN54169","KEN54169"
"1","KEN54170","KEN54170"
"1","KEN54171","KEN54171"
"1","KEN54172","KEN54172"
"1","KEN54173","KEN54173"
"1","KEN54174","KEN54174"
"1","KEN54175","KEN54175"
"1","KEN54176","KEN54176"
"1","KEN54177","KEN54177"
"1","KEN54178","KEN54178"
"1","KEN54179","KEN54179"
"1","KEN54180","KEN54180"
"1","KEN54181","KEN54181"
"1","KEN54182","KEN54182"
"1","KEN54183","KEN54183"
"1","KEN54184","KEN54184"
"1","KEN54185","KEN54185"
"1","KEN54186","KEN54186"
"1","KEN54187","KEN54187"
"1","KEN54188","KEN54188"
"1","KEN54189","KEN54189"
"1","KEN54190","KEN54190"
"1","KEN54191","KEN54191"
"1","KEN54192","KEN54192"
"1","KEN54193","KEN54193"
"1","KEN54194","KEN54194"
"1","KEN54195","KEN54195"
"1","KEN54196","KEN54196"
"1","KEN54197","KEN54197"
"1","KEN54198","KEN54198"
"1","KEN54199","KEN54199"
"1","KEN54200","KEN54200"
"1","KEN54201","KEN54201"
"1","KEN54202","KEN54202"
"1","KEN54203","KEN54203"
"1","KEN54204","KEN54204"
"1","KEN54205","KEN54205"
"1","KEN54206","KEN54206"
"1","KEN54207","KEN54207"
"1","KEN54208","KEN54208"
"1","KEN54209","KEN54209"
"1","KEN54210","KEN54210"
"1","KEN54211","KEN54211"
"1","KEN54212","KEN54212"
"1","KEN54213","KEN54213"
"1","KEN54214","KEN54214"
"1","KEN54215","KEN54215"
"1","KEN54216","KEN54216"
"1","KEN54217","KEN54217"
"1","KEN54218","KEN54218"
"1","KEN54219","KEN54219"
"1","KEN54220","KEN54220"
"1","KEN54221","KEN54221"
"1","KEN54222","KEN54222"
"1","KEN54223","KEN54223"
