"Group_name","IU_ID","IU_ID2"
"1","GNB23739","GNB23739"
"1","GNB23740","GNB23740"
"1","GNB23741","GNB23741"
"1","GNB23742","GNB23742"
"1","GNB23743","GNB23743"
"1","GNB23744","GNB23744"
"1","GNB23745","GNB23745"
"1","GNB23746","GNB23746"
"1","GNB23747","GNB23747"
"1","GNB23748","GNB23748"
"1","GNB23749","GNB23749"
"1","GNB23750","GNB23750"
"1","GNB23751","GNB23751"
"1","GNB23752","GNB23752"
"1","GNB23753","GNB23753"
"1","GNB23754","GNB23754"
"1","GNB23755","GNB23755"
"1","GNB23756","GNB23756"
"1","GNB23757","GNB23757"
"1","GNB23758","GNB23758"
"1","GNB23759","GNB23759"
"1","GNB23760","GNB23760"
"1","GNB23761","GNB23761"
"1","GNB23762","GNB23762"
"1","GNQ16416","GNQ16416"
"1","GNQ16417","GNQ16417"
"1","GNQ16418","GNQ16418"
"1","GNQ16419","GNQ16419"
"1","GNQ16420","GNQ16420"
"1","GNQ16421","GNQ16421"
"1","GNQ16422","GNQ16422"
"1","GNQ16423","GNQ16423"
"1","GNQ16424","GNQ16424"
"1","GNQ16425","GNQ16425"
"1","GNQ16426","GNQ16426"
"1","GNQ16427","GNQ16427"
"1","GNQ16428","GNQ16428"
"1","KEN54001","KEN54001"
"1","KEN54002","KEN54002"
"1","KEN54003","KEN54003"
"1","KEN54004","KEN54004"
"1","KEN54005","KEN54005"
"1","KEN54006","KEN54006"
"1","KEN54007","KEN54007"
"1","KEN54008","KEN54008"
"1","KEN54009","KEN54009"
"1","KEN54010","KEN54010"
"1","KEN54011","KEN54011"
"1","KEN54012","KEN54012"
"1","KEN54013","KEN54013"
"1","KEN54014","KEN54014"
"1","KEN54015","KEN54015"
"1","KEN54016","KEN54016"
"1","KEN54017","KEN54017"
"1","KEN54018","KEN54018"
"1","KEN54019","KEN54019"
"1","KEN54020","KEN54020"
"1","KEN54021","KEN54021"
"1","KEN54022","KEN54022"
"1","KEN54023","KEN54023"
"1","KEN54024","KEN54024"
"1","KEN54025","KEN54025"
"1","KEN54026","KEN54026"
"1","KEN54027","KEN54027"
"1","KEN54028","KEN54028"
"1","KEN54029","KEN54029"
"1","KEN54030","KEN54030"
"1","KEN54031","KEN54031"
"1","KEN54032","KEN54032"
"1","KEN54033","KEN54033"
"1","KEN54034","KEN54034"
"1","KEN54035","KEN54035"
"1","KEN54036","KEN54036"
"1","KEN54037","KEN54037"
"1","KEN54038","KEN54038"
"1","KEN54039","KEN54039"
"1","KEN54040","KEN54040"
"1","KEN54041","KEN54041"
"1","KEN54042","KEN54042"
"1","KEN54043","KEN54043"
"1","KEN54044","KEN54044"
"1","KEN54045","KEN54045"
"1","KEN54046","KEN54046"
