"Group_name","IU_ID","IU_ID2"
"1","NGA36498","NGA36498"
"1","NGA36499","NGA36499"
"1","NGA36500","NGA36500"
"1","NGA36501","NGA36501"
"1","NGA36502","NGA36502"
"1","NGA36503","NGA36503"
"1","NGA36504","NGA36504"
"1","NGA36505","NGA36505"
"1","NGA36506","NGA36506"
"1","NGA36507","NGA36507"
"1","NGA36508","NGA36508"
"1","NGA36509","NGA36509"
"1","NGA36510","NGA36510"
"1","NGA36511","NGA36511"
"1","NGA36512","NGA36512"
"1","NGA36513","NGA36513"
"1","NGA36514","NGA36514"
"1","NGA36515","NGA36515"
"1","NGA36516","NGA36516"
"1","NGA36517","NGA36517"
"1","NGA36518","NGA36518"
"1","NGA36519","NGA36519"
"1","NGA36520","NGA36520"
"1","NGA36521","NGA36521"
"1","NGA36522","NGA36522"
"1","NGA36523","NGA36523"
"1","NGA36524","NGA36524"
"1","NGA36525","NGA36525"
"1","NGA36526","NGA36526"
"1","NGA36527","NGA36527"
"1","NGA36528","NGA36528"
"1","NGA36529","NGA36529"
"1","NGA36530","NGA36530"
"1","NGA36531","NGA36531"
"1","NGA36532","NGA36532"
"1","NGA36533","NGA36533"
"1","NGA36534","NGA36534"
"1","NGA36535","NGA36535"
"1","NGA36536","NGA36536"
"1","NGA36537","NGA36537"
"1","NGA36538","NGA36538"
"1","NGA36539","NGA36539"
"1","NGA36540","NGA36540"
"1","NGA36541","NGA36541"
"1","NGA36542","NGA36542"
"1","NGA36543","NGA36543"
"1","NGA36544","NGA36544"
"1","NGA36545","NGA36545"
"1","NGA36546","NGA36546"
"1","NGA36547","NGA36547"
"1","NGA36548","NGA36548"
"1","NGA36549","NGA36549"
"1","NGA36550","NGA36550"
"1","NGA36551","NGA36551"
"1","NGA36552","NGA36552"
"1","NGA36553","NGA36553"
"1","NGA36554","NGA36554"
"1","NGA36555","NGA36555"
"1","NGA36556","NGA36556"
"1","NGA36557","NGA36557"
"1","NGA36558","NGA36558"
"1","NGA36559","NGA36559"
"1","NGA36560","NGA36560"
"1","NGA36561","NGA36561"
"1","NGA36562","NGA36562"
"1","NGA36563","NGA36563"
"1","NGA36564","NGA36564"
"1","NGA36565","NGA36565"
"1","NGA36566","NGA36566"
"1","NGA36567","NGA36567"
"1","NGA36568","NGA36568"
"1","NGA36569","NGA36569"
"1","NGA36570","NGA36570"
"1","NGA36571","NGA36571"
"1","NGA36572","NGA36572"
"1","NGA36573","NGA36573"
"1","NGA36574","NGA36574"
"1","NGA36575","NGA36575"
"1","NGA36576","NGA36576"
"1","NGA36577","NGA36577"
"1","NGA36578","NGA36578"
"1","NGA36579","NGA36579"
"1","NGA36580","NGA36580"
"1","NGA36581","NGA36581"
"1","NGA36582","NGA36582"
"1","NGA36583","NGA36583"
"1","NGA36584","NGA36584"
"1","NGA36585","NGA36585"
"1","NGA36586","NGA36586"
"1","NGA36587","NGA36587"
"1","NGA36588","NGA36588"
"1","NGA36589","NGA36589"
"1","NGA36590","NGA36590"
"1","NGA36591","NGA36591"
"1","NGA36592","NGA36592"
"1","NGA36593","NGA36593"
"1","NGA36594","NGA36594"
"1","NGA36595","NGA36595"
"1","NGA36596","NGA36596"
"1","NGA36597","NGA36597"
"1","NGA36598","NGA36598"
"1","NGA36599","NGA36599"
"1","NGA36600","NGA36600"
"1","NGA36601","NGA36601"
"1","NGA36602","NGA36602"
"1","NGA36603","NGA36603"
"1","NGA36604","NGA36604"
"1","NGA36605","NGA36605"
"1","NGA36606","NGA36606"
"1","NGA36607","NGA36607"
"1","NGA36608","NGA36608"
"1","NGA36609","NGA36609"
"1","NGA36610","NGA36610"
"1","NGA36611","NGA36611"
"1","NGA36612","NGA36612"
