"Group_name","IU_ID","IU_ID2"
"1","MLI30011","MLI30011"
"1","MLI30012","MLI30012"
"1","MLI30013","MLI30013"
"1","MLI30014","MLI30014"
"1","MLI30015","MLI30015"
"1","MLI30016","MLI30016"
"1","MLI30017","MLI30017"
"1","MLI30018","MLI30018"
"1","MLI30019","MLI30019"
"1","MLI30020","MLI30020"
"1","MLI30021","MLI30021"
"1","MLI30022","MLI30022"
"1","MLI30023","MLI30023"
"1","MLI30024","MLI30024"
"1","MLI30025","MLI30025"
"1","MLI30026","MLI30026"
"1","MLI30027","MLI30027"
"1","MLI30028","MLI30028"
"1","MLI30029","MLI30029"
"1","MLI30030","MLI30030"
"1","MLI30032","MLI30032"
"1","MLI30033","MLI30033"
"1","MLI30035","MLI30035"
"1","MLI30036","MLI30036"
"1","MLI30037","MLI30037"
"1","MLI30038","MLI30038"
"1","MLI30039","MLI30039"
"1","MLI30040","MLI30040"
"1","MOZ33100","MOZ33100"
"1","MOZ33101","MOZ33101"
"1","MOZ33102","MOZ33102"
"1","MOZ33103","MOZ33103"
"1","MOZ33104","MOZ33104"
"1","MOZ33105","MOZ33105"
"1","MOZ33106","MOZ33106"
"1","MOZ33107","MOZ33107"
"1","MOZ33108","MOZ33108"
"1","MOZ33109","MOZ33109"
"1","MOZ33110","MOZ33110"
"1","MOZ33111","MOZ33111"
"1","MOZ33112","MOZ33112"
"1","MOZ33113","MOZ33113"
"1","MOZ33114","MOZ33114"
"1","MOZ33115","MOZ33115"
"1","MOZ33116","MOZ33116"
"1","MOZ33117","MOZ33117"
"1","MOZ33118","MOZ33118"
"1","MOZ33119","MOZ33119"
"1","MOZ33120","MOZ33120"
"1","MOZ33121","MOZ33121"
"1","MOZ33122","MOZ33122"
"1","MOZ33123","MOZ33123"
"1","MOZ33124","MOZ33124"
"1","MOZ33125","MOZ33125"
"1","MOZ33126","MOZ33126"
"1","MOZ33127","MOZ33127"
"1","MOZ33128","MOZ33128"
"1","MOZ33129","MOZ33129"
"1","MOZ33130","MOZ33130"
"1","MOZ33131","MOZ33131"
"1","MOZ33132","MOZ33132"
"1","MOZ33133","MOZ33133"
"1","MOZ33134","MOZ33134"
"1","MOZ33135","MOZ33135"
"1","MOZ33136","MOZ33136"
"1","MOZ33137","MOZ33137"
"1","MOZ33138","MOZ33138"
"1","MOZ33139","MOZ33139"
"1","MOZ33140","MOZ33140"
"1","MOZ33141","MOZ33141"
"1","MOZ33142","MOZ33142"
"1","MOZ33143","MOZ33143"
"1","MOZ33144","MOZ33144"
"1","MOZ33145","MOZ33145"
"1","MOZ33146","MOZ33146"
"1","MOZ33147","MOZ33147"
"1","MOZ33148","MOZ33148"
"1","MOZ33149","MOZ33149"
"1","MOZ33150","MOZ33150"
"1","MOZ33151","MOZ33151"
"1","MOZ33152","MOZ33152"
"1","MOZ33153","MOZ33153"
"1","MOZ33154","MOZ33154"
"1","MOZ33155","MOZ33155"
"1","MOZ33156","MOZ33156"
"1","MOZ33157","MOZ33157"
"1","MOZ33158","MOZ33158"
"1","MOZ33159","MOZ33159"
"1","MOZ33160","MOZ33160"
"1","MOZ33161","MOZ33161"
"1","MOZ33162","MOZ33162"
"1","MOZ33163","MOZ33163"
"1","MOZ33164","MOZ33164"
"1","MOZ33165","MOZ33165"
"1","MOZ33166","MOZ33166"
"1","MOZ33167","MOZ33167"
"1","MOZ33168","MOZ33168"
"1","MOZ33169","MOZ33169"
"1","MOZ33171","MOZ33171"
"1","MOZ33172","MOZ33172"
"1","MOZ33173","MOZ33173"
"1","MOZ33174","MOZ33174"
"1","MOZ33175","MOZ33175"
"1","MOZ33176","MOZ33176"
"1","MOZ33177","MOZ33177"
"1","MOZ33178","MOZ33178"
"1","MOZ33179","MOZ33179"
"1","MOZ33180","MOZ33180"
"1","MOZ33181","MOZ33181"
"1","MOZ33182","MOZ33182"
"1","MOZ33183","MOZ33183"
"1","MOZ33184","MOZ33184"
"1","MOZ33185","MOZ33185"
"1","MOZ33186","MOZ33186"
"1","MOZ33187","MOZ33187"
"1","MOZ33188","MOZ33188"
"1","MOZ33189","MOZ33189"
"1","MOZ33190","MOZ33190"
"1","MOZ33191","MOZ33191"
"1","MOZ33192","MOZ33192"
"1","MOZ33193","MOZ33193"
"1","MOZ33194","MOZ33194"
"1","MOZ33195","MOZ33195"
"1","MOZ33196","MOZ33196"
"1","MOZ33197","MOZ33197"
"1","MOZ33198","MOZ33198"
"1","MOZ33199","MOZ33199"
"1","MOZ33200","MOZ33200"
"1","MOZ33201","MOZ33201"
"1","MOZ33202","MOZ33202"
"1","MOZ33203","MOZ33203"
"1","MOZ33204","MOZ33204"
"1","MOZ33205","MOZ33205"
"1","MOZ33206","MOZ33206"
