"Group_name","IU_ID","IU_ID2"
"1","NGA36874","NGA36874"
"1","NGA36875","NGA36875"
"1","NGA36876","NGA36876"
"1","NGA36877","NGA36877"
"1","NGA36878","NGA36878"
"1","NGA36879","NGA36879"
"1","NGA36880","NGA36880"
"1","NGA36881","NGA36881"
"1","NGA36882","NGA36882"
"1","NGA36883","NGA36883"
"1","NGA36884","NGA36884"
"1","NGA36885","NGA36885"
"1","NGA36886","NGA36886"
"1","NGA36887","NGA36887"
"1","NGA36888","NGA36888"
"1","NGA36889","NGA36889"
"1","NGA36890","NGA36890"
"1","NGA36891","NGA36891"
"1","NGA36892","NGA36892"
"1","NGA36893","NGA36893"
"1","NGA36894","NGA36894"
"1","NGA36895","NGA36895"
"1","NGA36896","NGA36896"
"1","NGA36897","NGA36897"
"1","NGA36898","NGA36898"
"1","NGA36899","NGA36899"
"1","NGA36900","NGA36900"
"1","NGA36901","NGA36901"
"1","NGA36902","NGA36902"
"1","NGA36903","NGA36903"
"1","NGA36904","NGA36904"
"1","NGA36905","NGA36905"
"1","NGA36906","NGA36906"
"1","NGA36907","NGA36907"
"1","NGA36908","NGA36908"
"1","NGA36909","NGA36909"
"1","NGA36910","NGA36910"
"1","NGA36911","NGA36911"
"1","NGA36912","NGA36912"
"1","NGA36913","NGA36913"
"1","NGA36914","NGA36914"
"1","NGA36915","NGA36915"
"1","NGA36916","NGA36916"
"1","NGA36917","NGA36917"
"1","NGA36918","NGA36918"
"1","NGA36919","NGA36919"
"1","NGA36920","NGA36920"
"1","NGA36921","NGA36921"
"1","NGA36922","NGA36922"
"1","NGA36923","NGA36923"
"1","NGA36924","NGA36924"
"1","NGA36925","NGA36925"
"1","NGA36926","NGA36926"
"1","NGA36927","NGA36927"
"1","NGA36928","NGA36928"
"1","NGA36929","NGA36929"
"1","NGA36930","NGA36930"
"1","NGA36931","NGA36931"
"1","NGA36932","NGA36932"
"1","NGA36933","NGA36933"
"1","NGA36934","NGA36934"
"1","NGA36935","NGA36935"
"1","NGA36936","NGA36936"
"1","NGA36937","NGA36937"
"1","NGA36938","NGA36938"
"1","NGA36939","NGA36939"
"1","NGA36940","NGA36940"
"1","NGA36941","NGA36941"
"1","NGA36942","NGA36942"
"1","NGA36943","NGA36943"
"1","NGA36944","NGA36944"
"1","NGA36945","NGA36945"
"1","NGA36946","NGA36946"
"1","NGA36947","NGA36947"
"1","NGA36948","NGA36948"
"1","NGA36949","NGA36949"
"1","NGA36950","NGA36950"
"1","NGA36951","NGA36951"
"1","NGA36952","NGA36952"
"1","NGA36953","NGA36953"
"1","NGA36954","NGA36954"
"1","NGA36955","NGA36955"
"1","NGA36956","NGA36956"
"1","NGA36957","NGA36957"
"1","NGA36958","NGA36958"
"1","NGA36959","NGA36959"
"1","NGA36960","NGA36960"
"1","NGA36961","NGA36961"
"1","NGA36962","NGA36962"
"1","NGA36963","NGA36963"
"1","NGA36964","NGA36964"
"1","NGA36965","NGA36965"
"1","NGA36966","NGA36966"
"1","NGA36967","NGA36967"
"1","NGA36968","NGA36968"
"1","NGA36969","NGA36969"
"1","NGA36970","NGA36970"
"1","NGA36971","NGA36971"
"1","NGA36972","NGA36972"
"1","NGA36973","NGA36973"
"1","NGA36974","NGA36974"
"1","NGA36975","NGA36975"
"1","NGA36976","NGA36976"
"1","NGA36977","NGA36977"
"1","NGA36978","NGA36978"
"1","NGA36979","NGA36979"
"1","NGA36980","NGA36980"
"1","NGA36981","NGA36981"
"1","NGA36982","NGA36982"
"1","NGA36983","NGA36983"
"1","NGA36984","NGA36984"
"1","NGA36985","NGA36985"
"1","NGA36986","NGA36986"
"1","NGA36987","NGA36987"
"1","NGA36988","NGA36988"
"1","NGA36989","NGA36989"
"1","NGA36990","NGA36990"
"1","NGA36991","NGA36991"
"1","NGA36992","NGA36992"
"1","NGA36993","NGA36993"
"1","NGA36994","NGA36994"
"1","NGA36995","NGA36995"
"1","NGA36996","NGA36996"
"1","NGA36997","NGA36997"
"1","NGA36998","NGA36998"
"1","NGA36999","NGA36999"
"1","NGA37000","NGA37000"
"1","NGA37001","NGA37001"
"1","NGA37002","NGA37002"
"1","NGA37003","NGA37003"
"1","NGA37004","NGA37004"
"1","SEN40227","SEN40227"
"1","SEN40228","SEN40228"
"1","SEN40229","SEN40229"
"1","SEN40231","SEN40231"
"1","SLE42267","SLE42267"
"1","SLE42268","SLE42268"
"1","TCD10780","TCD10780"
"1","TCD10781","TCD10781"
"1","TCD10782","TCD10782"
"1","TCD10786","TCD10786"
"1","TCD10787","TCD10787"
"1","TCD10788","TCD10788"
"1","TCD10789","TCD10789"
"1","TCD10790","TCD10790"
"1","TGO48706","TGO48706"
"1","TGO48707","TGO48707"
"1","TGO48708","TGO48708"
"1","TGO48709","TGO48709"
"1","TGO48710","TGO48710"
"1","TGO48711","TGO48711"
"1","TGO48712","TGO48712"
"1","TGO48713","TGO48713"
"1","TZA46620","TZA46620"
"1","TZA46621","TZA46621"
"1","TZA46622","TZA46622"
"1","TZA46623","TZA46623"
"1","TZA46624","TZA46624"
"1","TZA46625","TZA46625"
"1","TZA46626","TZA46626"
"1","TZA46627","TZA46627"
"1","TZA46628","TZA46628"
"1","TZA46629","TZA46629"
"1","TZA46630","TZA46630"
"1","TZA46631","TZA46631"
"1","TZA46632","TZA46632"
"1","TZA46633","TZA46633"
"1","TZA46634","TZA46634"
"1","TZA46635","TZA46635"
"1","TZA46636","TZA46636"
"1","TZA46638","TZA46638"
"1","TZA46639","TZA46639"
"1","TZA46640","TZA46640"
"1","TZA46641","TZA46641"
"1","TZA46642","TZA46642"
"1","TZA46643","TZA46643"
"1","TZA46644","TZA46644"
"1","TZA46645","TZA46645"
"1","TZA46646","TZA46646"
"1","TZZ51892","TZZ51892"
"1","TZZ51893","TZZ51893"
"1","TZZ51894","TZZ51894"
"1","TZZ51895","TZZ51895"
"1","TZZ51896","TZZ51896"
"1","TZZ51897","TZZ51897"
"1","TZZ51898","TZZ51898"
"1","TZZ51899","TZZ51899"
"1","TZZ51900","TZZ51900"
"1","TZZ51901","TZZ51901"
"1","TZZ51902","TZZ51902"
"1","UGA49706","UGA49706"
"1","UGA49707","UGA49707"
"1","UGA49708","UGA49708"
"1","UGA49710","UGA49710"
"1","UGA49713","UGA49713"
"1","UGA49714","UGA49714"
"1","UGA49715","UGA49715"
"1","UGA49716","UGA49716"
"1","UGA49717","UGA49717"
"1","UGA49718","UGA49718"
"1","UGA49719","UGA49719"
"1","UGA49720","UGA49720"
"1","UGA49721","UGA49721"
"1","UGA49722","UGA49722"
"1","UGA49723","UGA49723"
"1","UGA49724","UGA49724"
"1","UGA49725","UGA49725"
"1","UGA49726","UGA49726"
"1","UGA49727","UGA49727"
"1","UGA49728","UGA49728"
"1","UGA49729","UGA49729"
"1","UGA49730","UGA49730"
"1","UGA49731","UGA49731"
"1","UGA49732","UGA49732"
"1","UGA49733","UGA49733"
"1","UGA49734","UGA49734"
"1","UGA49735","UGA49735"
"1","UGA49737","UGA49737"
"1","UGA49739","UGA49739"
"1","UGA49740","UGA49740"
"1","UGA49745","UGA49745"
"1","UGA49746","UGA49746"
