"Group_name","IU_ID","IU_ID2"
"1","KEN54285","KEN54285"
"1","KEN54286","KEN54286"
"1","KEN54287","KEN54287"
"1","KEN54288","KEN54288"
"1","KEN54289","KEN54289"
"1","KEN54290","KEN54290"
"1","LBR26818","LBR26818"
"1","LBR26819","LBR26819"
"1","LBR26820","LBR26820"
"1","LBR26821","LBR26821"
"1","LBR26822","LBR26822"
"1","LBR26823","LBR26823"
"1","LBR26824","LBR26824"
"1","LBR26825","LBR26825"
"1","LBR26826","LBR26826"
"1","LBR26827","LBR26827"
"1","LBR26828","LBR26828"
"1","LBR26829","LBR26829"
"1","LBR26830","LBR26830"
"1","LBR26831","LBR26831"
"1","LBR26832","LBR26832"
"1","LSO25808","LSO25808"
"1","LSO25809","LSO25809"
"1","LSO25810","LSO25810"
"1","LSO25811","LSO25811"
"1","LSO25812","LSO25812"
"1","LSO25813","LSO25813"
"1","LSO25814","LSO25814"
"1","LSO25815","LSO25815"
"1","LSO25816","LSO25816"
"1","LSO25817","LSO25817"
"1","MDG27833","MDG27833"
"1","MDG27834","MDG27834"
"1","MDG27835","MDG27835"
"1","MDG27836","MDG27836"
"1","MDG27837","MDG27837"
"1","MDG27838","MDG27838"
"1","MDG27839","MDG27839"
"1","MDG27840","MDG27840"
"1","MDG27841","MDG27841"
"1","MDG27842","MDG27842"
"1","MDG27843","MDG27843"
"1","MDG27844","MDG27844"
"1","MDG27845","MDG27845"
"1","MDG27846","MDG27846"
"1","MDG27847","MDG27847"
"1","MDG27848","MDG27848"
"1","MDG27849","MDG27849"
"1","MDG27850","MDG27850"
"1","MDG27851","MDG27851"
"1","MDG27852","MDG27852"
"1","MDG27853","MDG27853"
"1","MDG27854","MDG27854"
"1","MDG27855","MDG27855"
"1","MDG27856","MDG27856"
"1","MDG27857","MDG27857"
"1","MDG27858","MDG27858"
"1","MDG27859","MDG27859"
"1","MDG27860","MDG27860"
"1","MDG27861","MDG27861"
"1","MDG27862","MDG27862"
"1","MDG27863","MDG27863"
"1","MDG27864","MDG27864"
"1","MDG27865","MDG27865"
"1","MDG27866","MDG27866"
"1","MDG27867","MDG27867"
"1","MDG27868","MDG27868"
"1","MDG27869","MDG27869"
"1","MDG27870","MDG27870"
"1","MDG27871","MDG27871"
"1","MDG27872","MDG27872"
"1","MDG27873","MDG27873"
"1","MDG27874","MDG27874"
"1","MDG27875","MDG27875"
"1","MDG27876","MDG27876"
"1","MDG27877","MDG27877"
"1","MDG27878","MDG27878"
"1","MDG27879","MDG27879"
"1","MDG27880","MDG27880"
"1","MDG27881","MDG27881"
"1","MDG27882","MDG27882"
"1","MDG27883","MDG27883"
"1","MDG27884","MDG27884"
"1","MDG27885","MDG27885"
"1","MDG27886","MDG27886"
"1","MDG27887","MDG27887"
"1","MDG27888","MDG27888"
"1","MDG27889","MDG27889"
"1","MDG27890","MDG27890"
"1","MDG27891","MDG27891"
"1","MDG27892","MDG27892"
"1","MDG27893","MDG27893"
"1","MDG27894","MDG27894"
"1","MDG27895","MDG27895"
"1","MDG27896","MDG27896"
"1","MDG27897","MDG27897"
"1","MDG27898","MDG27898"
"1","MDG27899","MDG27899"
"1","MDG27900","MDG27900"
"1","MDG27901","MDG27901"
"1","MDG27902","MDG27902"
"1","MDG27903","MDG27903"
"1","MDG27904","MDG27904"
"1","MDG27905","MDG27905"
"1","MDG27906","MDG27906"
"1","MDG27907","MDG27907"
"1","MDG27908","MDG27908"
"1","MDG27909","MDG27909"
"1","MDG27910","MDG27910"
"1","MDG27911","MDG27911"
"1","MDG27912","MDG27912"
"1","MDG27913","MDG27913"
"1","MDG27914","MDG27914"
"1","MDG27915","MDG27915"
"1","MDG27916","MDG27916"
"1","MDG27917","MDG27917"
"1","MDG27918","MDG27918"
"1","MDG27919","MDG27919"
"1","MDG27920","MDG27920"
"1","MDG27921","MDG27921"
"1","MDG27922","MDG27922"
"1","MDG27923","MDG27923"
"1","MDG27924","MDG27924"
"1","MDG27925","MDG27925"
"1","MDG27926","MDG27926"
"1","MDG27927","MDG27927"
"1","MDG27928","MDG27928"
"1","MDG27929","MDG27929"
"1","MDG27930","MDG27930"
"1","MDG27931","MDG27931"
"1","MDG27932","MDG27932"
"1","MDG27933","MDG27933"
"1","MDG27934","MDG27934"
"1","MDG27935","MDG27935"
"1","MDG27936","MDG27936"
"1","MDG27937","MDG27937"
"1","MDG27938","MDG27938"
"1","MDG27939","MDG27939"
"1","MDG27940","MDG27940"
"1","MDG27941","MDG27941"
"1","MDG27942","MDG27942"
"1","MDG27943","MDG27943"
"1","MDG27944","MDG27944"
"1","MDG27945","MDG27945"
"1","MDG27946","MDG27946"
"1","MLI29972","MLI29972"
"1","MLI29973","MLI29973"
"1","MLI29974","MLI29974"
"1","MLI29975","MLI29975"
"1","MLI29976","MLI29976"
"1","MLI29977","MLI29977"
"1","MLI29978","MLI29978"
"1","MLI29979","MLI29979"
"1","MLI29980","MLI29980"
"1","MLI29981","MLI29981"
"1","MLI29982","MLI29982"
"1","MLI29983","MLI29983"
"1","MLI29984","MLI29984"
"1","MLI29985","MLI29985"
"1","MLI29986","MLI29986"
"1","MLI29987","MLI29987"
"1","MLI29988","MLI29988"
"1","MLI29989","MLI29989"
"1","MLI29990","MLI29990"
"1","MLI29991","MLI29991"
"1","MLI29993","MLI29993"
"1","MLI29994","MLI29994"
"1","MLI29995","MLI29995"
"1","MLI29996","MLI29996"
"1","MLI29997","MLI29997"
"1","MLI29998","MLI29998"
"1","MLI29999","MLI29999"
"1","MLI30000","MLI30000"
"1","MLI30001","MLI30001"
"1","MLI30002","MLI30002"
"1","MLI30003","MLI30003"
"1","MLI30004","MLI30004"
"1","MLI30005","MLI30005"
"1","MLI30006","MLI30006"
"1","MLI30007","MLI30007"
"1","MLI30008","MLI30008"
"1","MLI30009","MLI30009"
"1","MLI30010","MLI30010"
"1","MLI30011","MLI30011"
"1","MLI30012","MLI30012"
"1","MLI30013","MLI30013"
"1","MLI30014","MLI30014"
"1","MLI30015","MLI30015"
"1","MLI30016","MLI30016"
"1","MLI30017","MLI30017"
"1","MLI30018","MLI30018"
"1","MLI30019","MLI30019"
"1","MLI30020","MLI30020"
"1","MLI30021","MLI30021"
"1","MLI30022","MLI30022"
"1","MLI30023","MLI30023"
"1","MLI30024","MLI30024"
"1","MLI30025","MLI30025"
"1","MLI30026","MLI30026"
"1","MLI30027","MLI30027"
"1","MLI30028","MLI30028"
"1","MLI30029","MLI30029"
"1","MLI30030","MLI30030"
"1","MLI30032","MLI30032"
"1","MLI30033","MLI30033"
"1","MLI30035","MLI30035"
"1","MLI30036","MLI30036"
"1","MLI30037","MLI30037"
"1","MLI30038","MLI30038"
"1","MLI30039","MLI30039"
"1","MLI30040","MLI30040"
"1","MOZ33100","MOZ33100"
"1","MOZ33101","MOZ33101"
"1","MOZ33102","MOZ33102"
"1","MOZ33103","MOZ33103"
"1","MOZ33104","MOZ33104"
"1","MOZ33105","MOZ33105"
"1","MOZ33106","MOZ33106"
"1","MOZ33107","MOZ33107"
"1","MOZ33108","MOZ33108"
"1","MOZ33109","MOZ33109"
"1","MOZ33110","MOZ33110"
"1","MOZ33111","MOZ33111"
"1","MOZ33112","MOZ33112"
"1","MOZ33113","MOZ33113"
"1","MOZ33114","MOZ33114"
"1","MOZ33115","MOZ33115"
"1","MOZ33116","MOZ33116"
"1","MOZ33117","MOZ33117"
"1","MOZ33118","MOZ33118"
"1","MOZ33119","MOZ33119"
"1","MOZ33120","MOZ33120"
"1","MOZ33121","MOZ33121"
"1","MOZ33122","MOZ33122"
"1","MOZ33123","MOZ33123"
"1","MOZ33124","MOZ33124"
"1","MOZ33125","MOZ33125"
"1","MOZ33126","MOZ33126"
"1","MOZ33127","MOZ33127"
"1","MOZ33128","MOZ33128"
"1","MOZ33129","MOZ33129"
"1","MOZ33130","MOZ33130"
"1","MOZ33131","MOZ33131"
"1","MOZ33132","MOZ33132"
"1","MOZ33133","MOZ33133"
"1","MOZ33134","MOZ33134"
"1","MOZ33135","MOZ33135"
"1","MOZ33136","MOZ33136"
"1","MOZ33137","MOZ33137"
"1","MOZ33138","MOZ33138"
"1","MOZ33139","MOZ33139"
"1","MOZ33140","MOZ33140"
"1","MOZ33141","MOZ33141"
"1","MOZ33142","MOZ33142"
"1","MOZ33143","MOZ33143"
"1","MOZ33144","MOZ33144"
"1","MOZ33145","MOZ33145"
"1","MOZ33146","MOZ33146"
"1","MOZ33147","MOZ33147"
"1","MOZ33148","MOZ33148"
"1","MOZ33149","MOZ33149"
"1","MOZ33150","MOZ33150"
"1","MOZ33151","MOZ33151"
"1","MOZ33152","MOZ33152"
"1","MOZ33153","MOZ33153"
"1","MOZ33154","MOZ33154"
"1","MOZ33155","MOZ33155"
"1","MOZ33156","MOZ33156"
"1","MOZ33157","MOZ33157"
"1","MOZ33158","MOZ33158"
"1","MOZ33159","MOZ33159"
"1","MOZ33160","MOZ33160"
"1","MOZ33161","MOZ33161"
"1","MOZ33162","MOZ33162"
"1","MOZ33163","MOZ33163"
"1","MOZ33164","MOZ33164"
"1","MOZ33165","MOZ33165"
"1","MOZ33166","MOZ33166"
"1","MOZ33167","MOZ33167"
"1","MOZ33168","MOZ33168"
"1","MOZ33169","MOZ33169"
"1","MOZ33171","MOZ33171"
"1","MOZ33172","MOZ33172"
"1","MOZ33173","MOZ33173"
"1","MOZ33174","MOZ33174"
"1","MOZ33175","MOZ33175"
"1","MOZ33176","MOZ33176"
"1","MOZ33177","MOZ33177"
"1","MOZ33178","MOZ33178"
"1","MOZ33179","MOZ33179"
"1","MOZ33180","MOZ33180"
"1","MOZ33181","MOZ33181"
"1","MOZ33182","MOZ33182"
"1","MOZ33183","MOZ33183"
"1","MOZ33184","MOZ33184"
"1","MOZ33185","MOZ33185"
"1","MOZ33186","MOZ33186"
"1","MOZ33187","MOZ33187"
"1","MOZ33188","MOZ33188"
"1","MOZ33189","MOZ33189"
"1","MOZ33190","MOZ33190"
"1","MOZ33191","MOZ33191"
"1","MOZ33192","MOZ33192"
"1","MOZ33193","MOZ33193"
"1","MOZ33194","MOZ33194"
"1","MOZ33195","MOZ33195"
"1","MOZ33196","MOZ33196"
"1","MOZ33197","MOZ33197"
"1","MOZ33198","MOZ33198"
"1","MOZ33199","MOZ33199"
"1","MOZ33200","MOZ33200"
"1","NGA36723","NGA36723"
"1","NGA36724","NGA36724"
"1","NGA36725","NGA36725"
"1","NGA36726","NGA36726"
"1","NGA36727","NGA36727"
"1","NGA36728","NGA36728"
"1","NGA36729","NGA36729"
"1","NGA36730","NGA36730"
"1","NGA36731","NGA36731"
"1","NGA36732","NGA36732"
"1","NGA36883","NGA36883"
"1","NGA36884","NGA36884"
"1","NGA36885","NGA36885"
"1","NGA36886","NGA36886"
"1","NGA36887","NGA36887"
"1","NGA36888","NGA36888"
"1","NGA36889","NGA36889"
"1","NGA36890","NGA36890"
"1","NGA36891","NGA36891"
"1","NGA36892","NGA36892"
"1","NGA36893","NGA36893"
"1","NGA36894","NGA36894"
"1","NGA36895","NGA36895"
"1","NGA36896","NGA36896"
"1","NGA36897","NGA36897"
"1","NGA36898","NGA36898"
"1","NGA36899","NGA36899"
"1","NGA36900","NGA36900"
"1","NGA36901","NGA36901"
"1","NGA36902","NGA36902"
"1","NGA36903","NGA36903"
"1","NGA36904","NGA36904"
"1","NGA36905","NGA36905"
"1","NGA36906","NGA36906"
"1","NGA36907","NGA36907"
"1","NGA36908","NGA36908"
