"Group_name","IU_ID","IU_ID2"
"0","18526","ETH18526"
"0","18528","ETH18528"
"0","18529","ETH18529"
"0","18530","ETH18530"
"0","18531","ETH18531"
"0","18534","ETH18534"
"0","18535","ETH18535"
"0","18536","ETH18536"
"0","18537","ETH18537"
"0","18538","ETH18538"
"0","18539","ETH18539"
"0","18541","ETH18541"
"0","18542","ETH18542"
"0","18543","ETH18543"
"0","18544","ETH18544"
"0","18545","ETH18545"
"0","18546","ETH18546"
"0","18550","ETH18550"
"0","18551","ETH18551"
"0","18552","ETH18552"
"0","18553","ETH18553"
"0","18554","ETH18554"
"0","18555","ETH18555"
"0","18556","ETH18556"
"0","18558","ETH18558"
"0","18559","ETH18559"
"0","18560","ETH18560"
"0","18561","ETH18561"
"0","18564","ETH18564"
"0","18565","ETH18565"
"0","18566","ETH18566"
"0","18567","ETH18567"
"0","18568","ETH18568"
"0","18569","ETH18569"
"0","18570","ETH18570"
"0","18571","ETH18571"
"0","18572","ETH18572"
"0","18573","ETH18573"
"0","18574","ETH18574"
"0","18575","ETH18575"
"0","18577","ETH18577"
"0","18578","ETH18578"
"0","18579","ETH18579"
"0","18581","ETH18581"
"0","18583","ETH18583"
"0","18584","ETH18584"
"0","18585","ETH18585"
"0","18587","ETH18587"
"0","18588","ETH18588"
"0","18589","ETH18589"
"0","18590","ETH18590"
"0","18591","ETH18591"
"0","18592","ETH18592"
"0","18593","ETH18593"
"0","18594","ETH18594"
"0","18595","ETH18595"
"0","18596","ETH18596"
"0","18597","ETH18597"
"0","18598","ETH18598"
"0","18601","ETH18601"
"0","18603","ETH18603"
"0","18604","ETH18604"
"0","18606","ETH18606"
"0","18607","ETH18607"
"0","18611","ETH18611"
"0","18612","ETH18612"
"0","18613","ETH18613"
"0","18614","ETH18614"
"0","18615","ETH18615"
"0","18616","ETH18616"
"0","18617","ETH18617"
"0","18618","ETH18618"
"0","18619","ETH18619"
"0","18620","ETH18620"
"0","18621","ETH18621"
"0","18623","ETH18623"
"0","18624","ETH18624"
"0","18627","ETH18627"
"0","18628","ETH18628"
"0","18629","ETH18629"
"0","18630","ETH18630"
"0","18631","ETH18631"
"0","18632","ETH18632"
"0","18635","ETH18635"
"0","18636","ETH18636"
"0","18637","ETH18637"
"0","18638","ETH18638"
"0","18639","ETH18639"
"0","18640","ETH18640"
"0","18642","ETH18642"
"0","18643","ETH18643"
"0","18645","ETH18645"
"0","18646","ETH18646"
"0","18647","ETH18647"
"0","18648","ETH18648"
"0","18649","ETH18649"
"0","18650","ETH18650"
"0","18651","ETH18651"
"0","18653","ETH18653"
"0","18654","ETH18654"
"0","18656","ETH18656"
"0","18658","ETH18658"
"0","18659","ETH18659"
"0","18660","ETH18660"
"0","18662","ETH18662"
"0","18663","ETH18663"
"0","18664","ETH18664"
"0","18665","ETH18665"
"0","18666","ETH18666"
"0","18667","ETH18667"
"0","18668","ETH18668"
"0","18669","ETH18669"
"0","18670","ETH18670"
"0","18671","ETH18671"
"0","18672","ETH18672"
"0","18675","ETH18675"
"0","18676","ETH18676"
"0","18677","ETH18677"
"0","18678","ETH18678"
"0","18679","ETH18679"
"0","18681","ETH18681"
"0","18682","ETH18682"
"0","18684","ETH18684"
"0","18686","ETH18686"
"0","18688","ETH18688"
"0","18689","ETH18689"
"0","18690","ETH18690"
