"Group_name","IU_ID","IU_ID2"
"0","15390","CIV15390"
"0","15406","CIV15406"
"0","15426","CIV15426"
"0","15428","CIV15428"
"0","15453","CIV15453"
"0","15454","CIV15454"
"0","15455","CIV15455"
"0","15463","CIV15463"
"0","15464","CIV15464"
"0","15355","CIV15355"
"0","15357","CIV15357"
"0","15429","CIV15429"
"0","15430","CIV15430"
"0","15407","CIV15407"
"0","15449","CIV15449"
"0","15450","CIV15450"
"0","07476","CMR07476"
"0","07487","CMR07487"
"0","07609","CMR07609"
"0","17441","ERI17441"
"0","19557","ETH19557"
"0","19538","ETH19538"
"0","18503","ETH18503"
"0","19226","ETH19226"
"0","19272","ETH19272"
"0","18860","ETH18860"
"0","18903","ETH18903"
"0","19386","ETH19386"
"0","19489","ETH19489"
"0","19323","ETH19323"
"0","19063","ETH19063"
"0","19067","ETH19067"
"0","19083","ETH19083"
"0","19088","ETH19088"
"0","19101","ETH19101"
"0","19397","ETH19397"
"0","19079","ETH19079"
"0","19170","ETH19170"
"0","19393","ETH19393"
"0","19395","ETH19395"
"0","19396","ETH19396"
"0","19490","ETH19490"
"0","19249","ETH19249"
"0","19140","ETH19140"
"0","19141","ETH19141"
"0","19150","ETH19150"
"0","19151","ETH19151"
"0","19167","ETH19167"
"0","19184","ETH19184"
"0","19186","ETH19186"
"0","19188","ETH19188"
"0","19192","ETH19192"
"0","19221","ETH19221"
"0","19228","ETH19228"
"0","19229","ETH19229"
"0","19230","ETH19230"
"0","19245","ETH19245"
"0","19248","ETH19248"
"0","19254","ETH19254"
"0","19255","ETH19255"
"0","19256","ETH19256"
"0","19531","ETH19531"
"0","19533","ETH19533"
