"Group_name","IU_ID","IU_ID2"
"0","19555","ETH19555"
"0","19556","ETH19556"
"0","19276","ETH19276"
"0","19284","ETH19284"
"0","19293","ETH19293"
"0","19294","ETH19294"
"0","19302","ETH19302"
"0","19183","ETH19183"
"0","19539","ETH19539"
"0","19243","ETH19243"
"0","19394","ETH19394"
"0","19087","ETH19087"
"0","19111","ETH19111"
"0","19166","ETH19166"
"0","19174","ETH19174"
"0","19178","ETH19178"
"0","19203","ETH19203"
"0","19223","ETH19223"
"0","19237","ETH19237"
"0","19260","ETH19260"
"0","19494","ETH19494"
"0","19536","ETH19536"
"0","19537","ETH19537"
"0","18800","ETH18800"
"0","18805","ETH18805"
"0","18839","ETH18839"
"0","18872","ETH18872"
"0","18880","ETH18880"
"0","18902","ETH18902"
"0","18926","ETH18926"
"0","18958","ETH18958"
"0","19022","ETH19022"
"0","19368","ETH19368"
"0","19378","ETH19378"
"0","19380","ETH19380"
"0","19464","ETH19464"
"0","19474","ETH19474"
"0","19484","ETH19484"
"0","19518","ETH19518"
"0","18744","ETH18744"
"0","18759","ETH18759"
"0","18834","ETH18834"
"0","18840","ETH18840"
"0","18842","ETH18842"
"0","18858","ETH18858"
"0","18915","ETH18915"
"0","18930","ETH18930"
"0","18957","ETH18957"
"0","18975","ETH18975"
"0","18997","ETH18997"
"0","19002","ETH19002"
"0","19004","ETH19004"
"0","19010","ETH19010"
"0","19013","ETH19013"
"0","19032","ETH19032"
"0","19040","ETH19040"
"0","19244","ETH19244"
"0","19358","ETH19358"
"0","18689","ETH18689"
"0","18691","ETH18691"
"0","18761","ETH18761"
"0","18793","ETH18793"
